date,sh_volume,vix_close,target_5d,target_21d
2004-01-02,3213291345.0,18.22,23599794266.0,95803189566.0
2004-01-05,4529997306.0,17.49,23356606959.0,95794662609.0
2004-01-06,4308224839.0,16.73,23606179282.0,95549321479.0
2004-01-07,4697460900.0,15.5,23111094025.0,94677594488.0
2004-01-08,5293303509.0,15.61,22424735724.0,92855392876.0
2004-01-09,4770807712.0,16.75,22712830464.0,91613530168.0
2004-01-12,4286809999.0,16.82,23406407681.0,91873271412.0
2004-01-13,4557797162.0,18.04,23778176075.0,91259393809.0
2004-01-14,4202375643.0,16.75,24289206925.0,90641629893.0
2004-01-15,4606945208.0,15.56,24043853039.0,89589358433.0
2004-01-16,5058902452.0,15.0,22930377941.0,88221743278.0
2004-01-20,4980387216.0,15.21,22375619481.0,87406782724.0
2004-01-21,4929565556.0,14.34,22284811129.0,86414448367.0
2004-01-22,4713406493.0,14.71,22830268995.0,85573913734.0
2004-01-23,4361591322.0,14.84,22595378173.0,85374436084.0
2004-01-26,3945427354.0,14.55,22717194100.0,84953211814.0
2004-01-27,4425628756.0,15.35,22134558139.0,84146656685.0
2004-01-28,4838757204.0,16.78,21817271284.0,83215491183.0
2004-01-29,5258864359.0,17.14,20621290634.0,81608038630.0
2004-01-30,4126700500.0,16.63,20320324043.0,81290453796.0
2004-02-02,4067243281.0,17.11,19724182659.0,80677574707.0
2004-02-03,3842992795.0,17.34,19410134868.0,80292375964.0
2004-02-04,4521470349.0,17.87,19435215762.0,79707755257.0
2004-02-05,4062883709.0,17.71,19316251612.0,79411484511.0
2004-02-06,3825733909.0,16.0,19075129430.0,79688809500.0
2004-02-09,3471101897.0,16.39,19158701281.0,80575678519.0
2004-02-10,3528945004.0,15.94,19321043574.0,81772573919.0
2004-02-11,4546551243.0,15.39,18939918993.0,80784669742.0
2004-02-12,3943919559.0,15.31,18933230633.0,80678898463.0
2004-02-13,3584611727.0,15.58,19221490766.0,81058121455.0
2004-02-17,3554673748.0,15.4,19828930690.0,81198357703.0
2004-02-18,3691287297.0,15.59,19661846477.0,80984211036.0
2004-02-19,4165426662.0,15.8,19115493442.0,80380507777.0
2004-02-20,3937231199.0,16.04,19085853945.0,80410814885.0
2004-02-23,3872871860.0,16.29,18864393891.0,80390367400.0
2004-02-24,4162113672.0,15.9,18511395885.0,80088729868.0
2004-02-25,3524203084.0,14.93,18441556993.0,80607504026.0
2004-02-26,3619073627.0,14.83,18280277418.0,80381415210.0
2004-02-27,3907591702.0,14.55,18309535358.0,80038221448.0
2004-03-01,3651411806.0,14.44,18424736515.0,79775155383.0
2004-03-02,3809115666.0,14.86,18718679747.0,79885966246.0
2004-03-03,3454364192.0,14.55,19622286471.0,80295042238.0
2004-03-04,3457794052.0,14.4,20890332823.0,81231982664.0
2004-03-05,3936849642.0,14.48,20512130247.0,80936824159.0
2004-03-08,3766612963.0,15.79,20583665564.0,80898396636.0
2004-03-09,4103058898.0,16.6,20444441385.0,80556567503.0
2004-03-10,4357970916.0,18.67,19781380465.0,79479711512.0
2004-03-11,4725840404.0,20.67,18532680691.0,77766424748.0
2004-03-12,3558647066.0,18.3,18535757028.0,78148855060.0
2004-03-15,3838148280.0,21.13,18665147055.0,78174195677.0
2004-03-16,3963834719.0,20.34,18553736711.0,78251570594.0
2004-03-17,3694909996.0,18.11,18719302855.0,78363678819.0
2004-03-18,3477140630.0,18.53,19285139467.0,78163020052.0
2004-03-19,3561723403.0,19.15,19116400875.0,78638326748.0
2004-03-22,3967538307.0,21.58,18713260508.0,79031439442.0
2004-03-23,3852424375.0,20.67,18249181874.0,79736669576.0
2004-03-24,3860476140.0,19.81,18308632263.0,79643815353.0
2004-03-25,4042977242.0,17.88,18129095205.0,79019329381.0
2004-03-26,3392984811.0,17.33,19130844872.0,79599033212.0
