date,actual,pred
2023-01-03,8099883911274.946,7708153500000.0
2023-01-04,8216489012625.982,7763780000000.0
2023-01-05,8262160380643.825,7841450000000.0
2023-01-06,8333149613174.889,7907611000000.0
2023-01-09,8360577745867.116,7990789000000.0
2023-01-10,8468969267192.007,8080279500000.0
2023-01-11,8487921772362.319,8185638000000.0
2023-01-12,8467558839501.219,8154346700000.0
2023-01-13,8528272270651.024,7973113000000.0
2023-01-17,8533144359678.842,8193666700000.0
2023-01-18,8561506312219.71,8184279300000.0
2023-01-19,8615023134070.287,8140733500000.0
2023-01-20,8606481328185.884,8056487300000.0
2023-01-23,8593218061085.051,7954763000000.0
2023-01-24,8655845572102.946,7776303000000.0
2023-01-25,8654521587473.224,7534163000000.0
2023-01-26,8613976092473.502,7352436000000.0
2023-01-27,8622117897091.473,7269592300000.0
2023-01-30,8627209750181.582,7439034000000.0
2023-01-31,8572995395175.349,7452425000000.0
2023-02-01,8466606827494.018,7490575000000.0
2023-02-02,8245336360716.474,7902002000000.0
2023-02-03,8129031010415.793,7949545600000.0
2023-02-06,8084797146170.608,7975637000000.0
2023-02-07,8036410705874.218,7947453700000.0
2023-02-08,8108597080230.643,7946120000000.0
2023-02-09,8198060367888.714,7962854000000.0
2023-02-10,8293217191390.542,7971577300000.0
2023-02-13,8448350184383.345,7958815000000.0
2023-02-14,8552259381342.093,7930282000000.0
2023-02-15,8911449195937.002,7930493500000.0
2023-02-16,8906762576883.512,7908983600000.0
2023-02-17,8907026852891.45,7900254700000.0
2023-02-21,8916798224213.068,7932294000000.0
2023-02-22,8953596158057.738,7940786400000.0
2023-02-23,8929605260701.123,7943771000000.0
2023-02-24,8898166704334.088,8173001400000.0
2023-02-27,8867127264976.318,8330639600000.0
2023-02-28,8792899706602.288,8379291400000.0
2023-03-01,8752088329482.589,8476123700000.0
2023-03-02,8784318376806.74,8455019000000.0
2023-03-03,8785563831935.92,8417752600000.0
2023-03-06,8763545246061.002,8379306600000.0
2023-03-07,8762327866905.922,8335312600000.0
2023-03-08,8754861635302.509,8289792300000.0
2023-03-09,8664619995978.494,8207134000000.0
2023-03-10,8500347493594.11,8182812000000.0
2023-03-13,8329529169394.2,8258608000000.0
2023-03-14,8195714411103.186,8428259400000.0
2023-03-15,8011016253889.801,8597836700000.0
2023-03-16,7835016067048.71,8815456000000.0
2023-03-17,7427590613262.8125,9041824000000.0
2023-03-20,7347874267086.17,9449452000000.0
2023-03-21,7299486203320.197,9527091000000.0
2023-03-22,7241789086934.198,9729162000000.0
2023-03-23,7134338736134.156,9609360000000.0
2023-03-24,7130251503418.881,9615428000000.0
2023-03-27,7180486488065.648,9417013000000.0
2023-03-28,7280568193975.828,9433587000000.0
2023-03-29,7327656690015.436,9474990000000.0
2023-03-30,7329609056130.3,9341145000000.0
2023-03-31,7311879440106.99,9251690000000.0
2023-04-03,7325304612948.525,9186735000000.0
2023-04-04,7377407923525.817,9127943000000.0
2023-04-05,7386760734863.338,9049345000000.0
2023-04-06,7381242028884.785,8962019000000.0
2023-04-10,7392704293514.875,8791393000000.0
2023-04-11,7456405885919.867,8554701000000.0
2023-04-12,7458800690876.361,8277879400000.0
2023-04-13,7436068020306.84,8090596400000.0
2023-04-14,7425769673904.032,7904549700000.0
2023-04-17,7439059761573.263,7723547600000.0
2023-04-18,7480621241477.633,7571113000000.0
2023-04-19,7562548273470.363,7449484000000.0
2023-04-20,7581020926639.163,7348931300000.0
2023-04-21,7592445290056.44,7289655300000.0
2023-04-24,7669704020394.289,7251077000000.0
2023-04-25,7680119630116.693,7250593000000.0
2023-04-26,7762637674848.008,7363945000000.0
2023-04-27,7788034268058.771,7508670300000.0
2023-04-28,7849370911009.155,7739385000000.0
2023-05-01,8165378370792.168,7920714000000.0
2023-05-02,8215484158206.751,8133238000000.0
2023-05-03,8260014263599.913,8128322000000.0
2023-05-04,8254173105702.081,8126182500000.0
2023-05-05,8264896987743.909,8121812500000.0
2023-05-08,8410938357900.267,8108408600000.0
2023-05-09,8481869525138.125,8066097500000.0
2023-05-10,8488797480811.607,8025538000000.0
2023-05-11,8536473525553.659,8008227600000.0
2023-05-12,8662595360267.004,7985455700000.0
2023-05-15,8830422984783.71,7949211700000.0
2023-05-16,8963761759054.584,7938000000000.0
2023-05-17,9304733328297.52,7937531000000.0
2023-05-18,9332188583780.205,7948879000000.0
2023-05-19,9379558876991.248,7978620000000.0
2023-05-22,9405049542817.762,7995636300000.0
2023-05-23,9593642514076.826,7998244700000.0
2023-05-24,9596348292564.635,8008900300000.0
2023-05-25,9518091832496.693,8014615000000.0
2023-05-26,9475919943888.146,8057118000000.0
2023-05-30,9385371595970.4,8090874000000.0
2023-05-31,9157907269123.883,8125360400000.0
2023-06-01,8946648536305.514,8240465000000.0
2023-06-02,8879690505791.875,8275369000000.0
2023-06-05,8873634650573.463,8267890700000.0
2023-06-06,8859774407875.945,8220936500000.0
2023-06-07,8779313137023.045,8169400600000.0
2023-06-08,8764110976026.76,8142240400000.0
2023-06-09,8813592529500.248,8079894000000.0
2023-06-12,8837356948184.77,8011573600000.0
2023-06-13,8819139335308.904,7962854000000.0
2023-06-14,8738489318064.353,7969919500000.0
2023-06-15,8717745587853.41,7993029600000.0
2023-06-16,8478708361620.594,8025491400000.0
2023-06-20,8533998698449.688,8210782000000.0
2023-06-21,8688097526080.067,8330766500000.0
2023-06-22,8698567398747.064,8662362000000.0
2023-06-23,8522205553455.357,9542130000000.0
2023-06-26,8580017629364.466,10073424000000.0
2023-06-27,8674816128043.186,10159191000000.0
2023-06-28,8714223319069.283,9705401000000.0
2023-06-29,8777221337340.757,9369194000000.0
2023-06-30,8744100654249.883,9194553000000.0
2023-07-03,8982889197926.852,9118338000000.0
2023-07-05,9040920044460.89,8980893000000.0
2023-07-06,9099885060528.578,8872826000000.0
2023-07-07,9102917778054.076,8790437000000.0
2023-07-10,9115989601747.89,8726589000000.0
2023-07-11,9137040792832.18,8666625300000.0
2023-07-12,9101805336733.041,8607106600000.0
