date,actual,pred
2023-01-03,1768937238254.2961,1832237400000.0
2023-01-04,1765618001828.293,1836663600000.0
2023-01-05,1806395170363.2634,1846857800000.0
2023-01-06,1768637427869.9138,1857105000000.0
2023-01-09,1762084415462.3208,1868107700000.0
2023-01-10,1820119273556.559,1884361700000.0
2023-01-11,1810707464257.466,1891668500000.0
2023-01-12,1837503126959.2876,1901199600000.0
2023-01-13,1894817651292.8752,1904117300000.0
2023-01-17,1852213365936.7478,1898058200000.0
2023-01-18,1845928944715.851,1905109000000.0
2023-01-19,1874883476088.4211,1918323300000.0
2023-01-20,1887124792747.576,1928706000000.0
2023-01-23,1864535595638.0881,1939685000000.0
2023-01-24,1961998153697.6091,1950372900000.0
2023-01-25,2076270975303.1125,1947934100000.0
2023-01-26,2282253283656.1675,1948874300000.0
2023-01-27,2354771907364.149,1952066300000.0
2023-01-30,2361268880312.657,1955259700000.0
2023-01-31,2377595021552.465,1962766500000.0
2023-02-01,2298596496729.671,1974801800000.0
2023-02-02,2138022594171.373,1986046900000.0
2023-02-03,2037050761564.6084,2024125200000.0
2023-02-06,2011793629220.6458,2055314500000.0
2023-02-07,1963760085346.04,2071493900000.0
2023-02-08,1934651029274.0386,2083559800000.0
2023-02-09,1912656318584.2734,2094257400000.0
2023-02-10,1937808825965.436,2110417300000.0
2023-02-13,1976425615643.9546,2112584000000.0
2023-02-14,1959763441726.9014,2099933300000.0
2023-02-15,1974914578360.8481,2086502500000.0
2023-02-16,1938944219969.346,2068288000000.0
2023-02-17,1873836434491.6353,2064272000000.0
2023-02-21,1902761361653.175,2066289000000.0
2023-02-22,1898527284734.61,2075132000000.0
2023-02-23,1879147976770.0088,2075824900000.0
2023-02-24,1888356215323.8953,2068789000000.0
2023-02-27,1913613551899.1501,2062689600000.0
2023-02-28,1861685020688.4792,2038790900000.0
2023-03-01,1818856276301.6978,2034172600000.0
2023-03-02,1841010332251.3198,2029076700000.0
2023-03-03,1940586749466.3225,2019975500000.0
2023-03-06,2090746601343.617,2010626900000.0
2023-03-07,2201236942539.362,1999746200000.0
2023-03-08,2375346667433.365,1998434500000.0
2023-03-09,2479608760813.9277,1992930400000.0
2023-03-10,2737503144980.38,2010527400000.0
2023-03-13,2621358527579.053,2048602400000.0
2023-03-14,2551618487466.315,2099617000000.0
2023-03-15,2444873655473.7007,2133413300000.0
2023-03-16,2361100218442.541,2171710200000.0
2023-03-17,1993070643124.987,2173342800000.0
2023-03-20,1930348347419.9324,2223151500000.0
2023-03-21,1833936846576.5222,2231435800000.0
2023-03-22,1778862844042.3982,2214053500000.0
2023-03-23,1697019456159.4475,2187453700000.0
2023-03-24,1733861092875.6057,2168903600000.0
2023-03-27,1775753342925.726,2134691700000.0
2023-03-28,1810031532983.834,2089573300000.0
2023-03-29,1831113180992.103,2043723900000.0
2023-03-30,1821629582121.624,2001997800000.0
2023-03-31,1721311951423.0808,1974722600000.0
2023-04-03,1655370411124.507,1970681500000.0
2023-04-04,1656730524676.8196,1971102700000.0
2023-04-05,1634623486736.6223,1981166300000.0
2023-04-06,1631501286020.6682,1988540900000.0
2023-04-10,1650004831884.1565,1984350500000.0
2023-04-11,1664746264649.0752,1983340200000.0
2023-04-12,1639703625271.0032,1980984900000.0
2023-04-13,1655390279683.3335,1978741800000.0
2023-04-14,1675646488518.0876,1976075400000.0
2023-04-17,1660422887527.9739,1967931900000.0
2023-04-18,1695731533281.0703,1961232300000.0
2023-04-19,1762960568399.425,1960285800000.0
2023-04-20,1815018837232.1628,1959949400000.0
2023-04-21,1864730447123.624,1968157200000.0
2023-04-24,1892289776155.5962,1976855600000.0
2023-04-25,1915489029563.707,1971666600000.0
2023-04-26,1920571467808.6074,1977002600000.0
2023-04-27,1906871262533.8008,1978598300000.0
2023-04-28,1890217225840.0122,1983381800000.0
2023-05-01,1873262554876.1045,1976248700000.0
2023-05-02,1802136804830.9648,1967113900000.0
2023-05-03,1786471684095.832,1973788600000.0
2023-05-04,1738123292027.361,1980863900000.0
2023-05-05,1683930772180.127,1996167700000.0
2023-05-08,1676028931039.9395,1990514200000.0
2023-05-09,1696360299942.5388,1975679500000.0
2023-05-10,1688961620206.8428,1962238700000.0
2023-05-11,1743451207865.0251,1955972300000.0
2023-05-12,1800343186015.656,1949305700000.0
2023-05-15,1842322104670.494,1941187600000.0
2023-05-16,1891067146349.0105,1930792900000.0
2023-05-17,1895229921920.145,1927974100000.0
2023-05-18,1963049969777.0552,1928143300000.0
2023-05-19,2022032178651.7695,1932848900000.0
2023-05-22,2121656068076.319,1941180100000.0
2023-05-23,2387964126553.4727,1947960100000.0
2023-05-24,2450853557653.7583,1960895600000.0
2023-05-25,2417948056560.5166,1974398600000.0
2023-05-26,2373010100177.12,1991969000000.0
2023-05-30,2305743302574.766,2003487400000.0
2023-05-31,2118822541984.206,2016264700000.0
2023-06-01,2068522171762.3354,2056373100000.0
2023-06-02,2015254901307.5227,2068947000000.0
2023-06-05,2020423711878.938,2073580900000.0
2023-06-06,2081629144703.2488,2070992000000.0
2023-06-07,2095513557923.3752,2062567900000.0
2023-06-08,2178252533859.012,2067861900000.0
2023-06-09,2504897467692.758,2062701700000.0
2023-06-12,2539166266091.5796,2054785300000.0
2023-06-13,2517306702739.894,2056494600000.0
2023-06-14,2416948662704.519,2066994400000.0
2023-06-15,2520947901371.2427,2082101800000.0
2023-06-16,2186844886187.286,2103216200000.0
2023-06-20,2148953218493.5232,2150510900000.0
2023-06-21,2118393245548.6472,2172381300000.0
2023-06-22,2101978121228.9702,2185443500000.0
2023-06-23,1952228881600.5425,2184918500000.0
2023-06-26,1801153801394.6123,2206553600000.0
2023-06-27,1779546729855.707,2214581500000.0
2023-06-28,1770724806862.4468,2213627000000.0
2023-06-29,1780146114480.298,2210732700000.0
2023-06-30,1740228409883.354,2203054800000.0
2023-07-03,1885984611483.6057,2193650000000.0
2023-07-05,1949156925015.9001,2141485500000.0
2023-07-06,1984146009490.2434,2125927200000.0
2023-07-07,2040994072136.2131,2128844400000.0
2023-07-10,2054689738964.674,2126989900000.0
2023-07-11,2131887145685.6565,2132896800000.0
2023-07-12,2170013299813.1008,2109238100000.0
2023-07-13,2235808016356.5254,2094189500000.0
2023-07-14,2386264893511.0435,2086821000000.0
2023-07-17,2377026743387.2495,2070372000000.0
2023-07-18,2325407866973.1714,2062398500000.0
2023-07-19,2288154153931.1475,2065650400000.0
2023-07-20,2289770648087.0205,2084287200000.0
2023-07-21,2144519038537.8887,2104877600000.0
2023-07-24,2180632059822.6484,2132180900000.0
2023-07-25,2174123982395.0627,2142506800000.0
2023-07-26,2204025369956.9937,2143443000000.0
2023-07-27,2145650646273.4043,2143512400000.0
2023-07-28,2156386548321.73,2150285300000.0
2023-07-31,2105842555193.6326,2139562800000.0
2023-08-01,2112117357381.372,2134146000000.0
2023-08-02,2040136206388.9558,2109286400000.0
2023-08-03,2010042217288.0437,2121111300000.0
2023-08-04,1909683191127.1877,2122552000000.0
2023-08-07,1897259221747.9187,2133206000000.0
2023-08-08,1856616659025.649,2112825900000.0
2023-08-09,1828424257422.0774,2104291500000.0
2023-08-10,1822800398497.4214,2091714700000.0
2023-08-11,1877981004565.9404,2080871200000.0
2023-08-14,1906859301607.95,2060185200000.0
2023-08-15,1899315995885.58,2041168300000.0
2023-08-16,1917649417899.6702,2046079700000.0
2023-08-17,1934537938761.0466,2043443200000.0
2023-08-18,1907204115049.2148,2051319800000.0
2023-08-21,1827623349901.1165,2052756200000.0
2023-08-22,1857521691890.9001,2054467900000.0
2023-08-23,1830594920400.141,2047594500000.0
2023-08-24,1847305021452.706,2031408000000.0
2023-08-25,1830610380362.0212,2034564500000.0
2023-08-28,1889229302001.1804,2024642700000.0
2023-08-29,1876536675397.6106,2007014000000.0
2023-08-30,1919714447714.5254,1994086300000.0
2023-08-31,1839595450285.8982,1982269900000.0
2023-09-01,1860761540475.9646,1982769000000.0
2023-09-05,1854857604883.832,1973901700000.0
2023-09-06,1859854686218.9546,1980180200000.0
2023-09-07,1851860055658.3936,1985774100000.0
2023-09-08,2213231696057.533,1991858800000.0
2023-09-11,2175250962599.727,1989072000000.0
2023-09-12,2151765484579.4792,1987828000000.0
2023-09-13,2122321867314.1943,1989075900000.0
2023-09-14,2141380128901.4626,1988571300000.0
2023-09-15,1792277620408.8582,1989295700000.0
2023-09-18,1771248367228.9773,2029131100000.0
2023-09-19,1789241416488.8503,2038184400000.0
2023-09-20,1837775600208.4067,2033648900000.0
2023-09-21,1807367976449.7058,2027719000000.0
2023-09-22,1843748264537.7146,2036882500000.0
2023-09-25,1903073305253.4353,2032725700000.0
2023-09-26,1927215997584.8013,2016661000000.0
2023-09-27,1910439803710.1204,2012307400000.0
2023-09-28,1886786346239.7412,2010362400000.0
2023-09-29,1903432989860.2273,2003407300000.0
2023-10-02,1853703516956.5706,2001379300000.0
2023-10-03,1839892132501.5776,1996289600000.0
2023-10-04,1831251688846.8562,2000619800000.0
2023-10-05,1865444132612.3667,1997199900000.0
