date,actual,pred
2023-01-03,366421685444.583,299497300000.0
2023-01-04,330694015191.7134,310174100000.0
2023-01-05,372900825530.29346,315685440000.0
2023-01-06,379258656525.76697,324299230000.0
2023-01-09,319662055561.93866,325082000000.0
2023-01-10,363102449018.5793,337459120000.0
2023-01-11,371471183726.68274,334329480000.0
2023-01-12,335143083036.9447,340137600000.0
2023-01-13,372705644118.1733,332970160000.0
2023-01-17,377696913656.18256,330832350000.0
2023-01-18,353690639719.4868,342891660000.0
2023-01-19,398266846428.50397,358612700000.0
2023-01-20,392457607370.5275,366658600000.0
2023-01-23,330101358762.0445,368041000000.0
2023-01-24,371412492435.28625,371935000000.0
2023-01-25,382645171092.05817,367730160000.0
2023-01-26,410508163087.6619,366743900000.0
2023-01-27,369868410261.03375,367000030000.0
2023-01-30,427563916821.5688,370904960000.0
2023-01-31,485685314040.7866,384489500000.0
2023-02-01,588627479445.1163,388558260000.0
2023-02-02,483026786795.6452,387159330000.0
2023-02-03,376365383209.54236,405750320000.0
2023-02-06,443890058061.37213,417971200000.0
2023-02-07,406686789217.9954,431334500000.0
2023-02-08,428053576886.8182,430575800000.0
2023-02-09,382054954188.8812,437111200000.0
2023-02-10,351108250865.5791,445392450000.0
2023-02-13,395856514186.7634,441794950000.0
2023-02-14,377577733145.99835,431883550000.0
2023-02-15,406058866197.0521,414348480000.0
2023-02-16,407207461570.0421,402448420000.0
2023-02-17,389725040544.1023,413165550000.0
2023-02-21,379194340269.70435,415568950000.0
2023-02-22,392728869779.9461,434734900000.0
2023-02-23,370088507805.55096,430355780000.0
2023-02-24,342099676092.3339,416858960000.0
2023-02-27,418649967705.6412,412826800000.0
2023-02-28,374960263351.1346,400573660000.0
2023-03-01,373349561815.3444,396235440000.0
2023-03-02,379296746359.44,394443100000.0
2023-03-03,367357012667.58936,387362500000.0
2023-03-06,366721436494.9701,380007150000.0
2023-03-07,332131518964.35345,381109760000.0
2023-03-08,395503617764.96844,390020240000.0
2023-03-09,478873163574.44086,387329980000.0
2023-03-10,517516864544.8864,410734460000.0
2023-03-13,477211777690.7132,434165580000.0
2023-03-14,506241243858.3554,453911200000.0
2023-03-15,499765711145.5265,437536600000.0
2023-03-16,736767547740.8927,449154680000.0
2023-03-17,401372247143.5621,428564350000.0
2023-03-20,407471737577.979,445074000000.0
2023-03-21,399496411865.7385,438643750000.0
2023-03-22,415992274114.36725,414708240000.0
2023-03-23,368737972423.33923,411563360000.0
2023-03-24,338649951438.5082,411930920000.0
2023-03-27,311060236734.5674,403399050000.0
2023-03-28,344422409331.61584,389136740000.0
2023-03-29,334148886231.4185,375350800000.0
2023-03-30,405579609139.4932,364915800000.0
2023-03-31,380542201488.6286,362084930000.0
2023-04-03,345338426792.674,366267900000.0
2023-04-04,365504057339.88745,372740330000.0
2023-04-05,324665287360.93774,380012270000.0
2023-04-06,305261978440.9528,384684650000.0
2023-04-10,314600661190.0587,379354680000.0
2023-04-11,346698540344.98584,377316840000.0
2023-04-12,343397019399.6878,373449850000.0
2023-04-13,321543086644.9851,371591800000.0
2023-04-14,323765524304.4371,362563170000.0
2023-04-17,329342093954.9813,354871020000.0
2023-04-18,321655900966.9133,352699580000.0
2023-04-19,359083673812.0182,353147220000.0
2023-04-20,341799295479.73816,352040260000.0
2023-04-21,308541923314.3221,361056730000.0
2023-04-24,364650739708.0753,362959630000.0
2023-04-25,388884936085.2681,362244500000.0
2023-04-26,411141942644.75867,376191520000.0
2023-04-27,391510905371.1983,383003700000.0
2023-04-28,336101252346.2915,375771270000.0
2023-05-01,387849993116.19135,369652070000.0
2023-05-02,393967374330.1714,369855900000.0
2023-05-03,397441737369.9509,385131700000.0
2023-05-04,374856868677.4047,396315600000.0
2023-05-05,319146581382.3841,412977230000.0
2023-05-08,316724243071.0545,393877780000.0
2023-05-09,378302253595.03906,381751430000.0
2023-05-10,349093345301.4786,378062440000.0
2023-05-11,320664348830.1723,372453200000.0
2023-05-12,311244740242.1935,371820800000.0
2023-05-15,337055611973.6547,370543600000.0
2023-05-16,370903573859.34393,367213580000.0
2023-05-17,403582932959.6633,371290700000.0
2023-05-18,377556326980.8022,366773300000.0
2023-05-19,353223658897.0286,366424400000.0
2023-05-22,385800653652.17096,376911130000.0
2023-05-23,375066349430.4821,384497580000.0
2023-05-24,471402980816.5732,398131660000.0
2023-05-25,436538535855.5134,412313750000.0
2023-05-26,452847548321.58044,412953580000.0
2023-05-30,652108712129.3252,408179150000.0
2023-05-31,437955780530.76666,408250780000.0
2023-06-01,438497479723.33014,423842900000.0
2023-06-02,391600579472.12134,418795550000.0
2023-06-05,385580750719.22217,415206870000.0
2023-06-06,465187951538.7633,417862030000.0
2023-06-07,387655410308.8996,414378520000.0
2023-06-08,385230209268.5184,419021650000.0
2023-06-09,396769390043.5354,421176280000.0
2023-06-12,446786183543.5291,424159900000.0
2023-06-13,479072364758.89545,434332100000.0
2023-06-14,470394386244.52936,436742000000.0
2023-06-15,711875143102.2666,436964500000.0
2023-06-16,431038188442.35864,446567250000.0
2023-06-20,424926620191.83936,454324400000.0
2023-06-21,378714324723.52704,464758730000.0
2023-06-22,574393624911.2495,463310750000.0
2023-06-23,377772127918.3098,457519300000.0
2023-06-26,393146520748.6012,464176700000.0
2023-06-27,394366647246.9637,471029800000.0
2023-06-28,362299200403.84906,464485780000.0
2023-06-29,424644385282.81836,456053820000.0
2023-06-30,226697047712.38104,448835220000.0
2023-07-03,371539449209.69653,445710340000.0
2023-07-05,385544724253.70123,426101180000.0
2023-07-06,371720508021.70337,419068050000.0
2023-07-07,384726680685.8697,425927280000.0
2023-07-10,372453249312.6318,421414140000.0
2023-07-11,434711762741.99695,421819450000.0
2023-07-12,420533808728.0416,419076000000.0
2023-07-13,428568570667.67554,412656760000.0
2023-07-14,398422347514.32935,416446550000.0
2023-07-17,449650656033.6139,420490000000.0
2023-07-18,472837916869.4394,425889070000.0
2023-07-19,486328525271.46606,430979200000.0
2023-07-20,579025447822.1926,441907900000.0
2023-07-21,389184197390.54175,452504780000.0
2023-07-24,398031779619.5343,460752500000.0
2023-07-25,435584203827.4178,466512740000.0
2023-07-26,487945019427.3354,464603600000.0
2023-07-27,433773838273.0596,457219180000.0
2023-07-28,425297218675.30225,465855700000.0
2023-07-31,391523702191.9463,459832430000.0
2023-08-01,465485591389.3529,459549150000.0
2023-08-02,429570295743.74567,458374400000.0
2023-08-03,444509740321.3839,473065500000.0
2023-08-04,374753225547.20514,473050150000.0
2023-08-07,397798504379.6815,479136940000.0
2023-08-08,393504440396.93774,462950300000.0
2023-08-09,399476306642.8337,454401500000.0
2023-08-10,344150714160.52954,447107560000.0
2023-08-11,362329256167.9346,441142350000.0
2023-08-14,357155941657.4157,426175950000.0
2023-08-15,365312038793.36304,418437070000.0
2023-08-16,393852447718.17725,425614640000.0
2023-08-17,399331320229.05176,426586640000.0
2023-08-18,391207553209.93866,433663250000.0
2023-08-21,349612635935.0503,429689730000.0
2023-08-22,383645460807.44995,426067000000.0
2023-08-23,410740968579.55865,419711940000.0
2023-08-24,371997496517.21936,409147200000.0
2023-08-25,311626788061.8368,417079300000.0
2023-08-28,379510977924.8356,407549020000.0
2023-08-29,356718689316.6943,395503080000.0
2023-08-30,427451069632.1224,389002430000.0
2023-08-31,355302855426.5323,385120700000.0
2023-09-01,370245709700.9933,389796400000.0
2023-09-05,366818351321.268,391126500000.0
2023-09-06,399896461633.61066,401356060000.0
2023-09-07,347332072203.49133,408857840000.0
2023-09-08,376468945616.5986,412959900000.0
2023-09-11,364341774108.8636,408105940000.0
2023-09-12,371815432656.3913,406473050000.0
2023-09-13,391901831073.04504,408734630000.0
2023-09-14,708703712602.6359,403630720000.0
2023-09-15,338488212158.79193,399586260000.0
2023-09-18,340856296088.6158,421837140000.0
2023-09-19,342371815391.1078,432458070000.0
2023-09-20,410960092660.30756,432111800000.0
2023-09-21,359601204110.0307,433397830000.0
2023-09-22,317458958978.9116,448355240000.0
2023-09-25,358849345348.4908,442648530000.0
2023-09-26,390905999110.66693,427607400000.0
2023-09-27,380552468901.6064,430554450000.0
2023-09-28,395981492198.0412,420483600000.0
2023-09-29,376783999694.62885,408396400000.0
2023-10-02,382992037679.86127,406314120000.0
2023-10-03,374129805235.9813,405854800000.0
2023-10-04,356899011431.23065,420349670000.0
2023-10-05,412628135818.5249,412268920000.0
2023-10-06,327054526790.9746,405974060000.0
2023-10-09,369180653224.8631,397842400000.0
2023-10-10,365489361581.2605,394452860000.0
2023-10-11,391091455196.7395,388493050000.0
2023-10-12,378109048861.1663,381560700000.0
2023-10-13,353998148145.096,388112400000.0
2023-10-16,411169297363.1595,410218530000.0
2023-10-17,392456688507.46985,398266070000.0
2023-10-18,442885627467.4189,401850100000.0
2023-10-19,419186153007.4966,413472200000.0
2023-10-20,384771496613.4807,433411880000.0
2023-10-23,380987287833.08167,439868600000.0
2023-10-24,427178228715.9345,426991220000.0
2023-10-25,455991256091.8965,409062930000.0
2023-10-26,401576151888.6358,412718140000.0
2023-10-27,385499436183.3657,419426240000.0
2023-10-30,399183001875.5596,424633500000.0
2023-10-31,437879063548.8818,413004800000.0
2023-11-01,462993722764.52795,398201520000.0
2023-11-02,446356011183.0232,390173500000.0
2023-11-03,372057986674.89813,388456000000.0
2023-11-06,388338293164.09436,392553270000.0
2023-11-07,367066845400.5713,398614170000.0
2023-11-08,407022755743.2863,403646120000.0
2023-11-09,395197484775.9606,404453030000.0
2023-11-10,344050334327.257,414271860000.0
2023-11-13,466828635067.5311,411419000000.0
2023-11-14,453745735366.8487,413595240000.0
2023-11-15,412480669794.21277,415168860000.0
2023-11-16,395382417963.36646,422644150000.0
2023-11-17,390956461276.2159,429679100000.0
2023-11-20,370733890384.9325,428977300000.0
2023-11-21,353328060349.0106,426347460000.0
2023-11-22,170810333841.46683,424133230000.0
2023-11-24,363755520919.219,417165200000.0
2023-11-27,381525785173.2973,382422600000.0
2023-11-28,430591842214.91736,373161460000.0
2023-11-29,561052740528.8568,377478800000.0
2023-11-30,440683362242.67834,391038470000.0
2023-12-01,442109634310.9223,410299920000.0
2023-12-04,408883077362.7934,423257240000.0
2023-12-05,411049280516.4802,436670400000.0
2023-12-06,415342819516.4092,441259330000.0
2023-12-07,405963413907.81696,444301380000.0
2023-12-08,440868780609.2981,445926300000.0
2023-12-11,411090916766.99255,440369800000.0
2023-12-12,533065315289.8014,442803950000.0
2023-12-13,653383192476.3853,440216940000.0
2023-12-14,917595876809.1812,447046160000.0
2023-12-15,448920876804.3597,462444630000.0
2023-12-18,432085865474.015,481126000000.0
2023-12-19,459786510322.4384,495648340000.0
2023-12-20,384416586503.5162,499474760000.0
2023-12-21,331214043727.0629,506241300000.0
2023-12-22,276525112562.83514,500831300000.0
2023-12-26,315375636737.65063,481472970000.0
2023-12-27,296108060349.02454,456395800000.0
2023-12-28,338926619094.7067,429889750000.0
2023-12-29,446321514804.9862,410909180000.0
2024-01-02,434268707281.07666,401650900000.0
2024-01-03,409577853862.0828,411949760000.0
2024-01-04,390779706692.0821,427818680000.0
2024-01-05,436783426768.75183,436240800000.0
2024-01-08,411005374595.19196,433165530000.0
2024-01-09,398005894365.5506,433596240000.0
2024-01-10,439999397498.4273,433960300000.0
2024-01-11,378769375938.81146,434516030000.0
2024-01-12,458379091280.8095,436157640000.0
2024-01-16,420377431517.82086,438564260000.0
2024-01-17,466553138848.5229,450238000000.0
2024-01-18,523667479881.27136,461193840000.0
2024-01-19,490080411822.17303,460069270000.0
2024-01-22,419073823035.4877,458177700000.0
2024-01-23,504265613860.7141,461364530000.0
2024-01-24,512701014525.3214,458151530000.0
2024-01-25,420456691968.4462,464837640000.0
2024-01-26,435717906107.28406,473012240000.0
2024-01-29,455984736841.7803,473788800000.0
2024-01-30,558554796364.0011,474680660000.0
2024-01-31,499133996079.2093,471325440000.0
2024-02-01,539817487413.0154,480628870000.0
2024-02-02,507828890005.8113,482080400000.0
2024-02-05,486774264555.5068,485301060000.0
2024-02-06,485584725082.42035,487099240000.0
2024-02-07,475326639599.2643,484283020000.0
2024-02-08,462855982441.15466,482887470000.0
2024-02-09,481872352927.5098,482869000000.0
2024-02-12,536499096152.2144,483822270000.0
2024-02-13,479720853520.21313,491309240000.0
2024-02-14,510772288234.76385,507510650000.0
2024-02-15,509831318553.01324,498753140000.0
2024-02-16,527627309683.0908,493162560000.0
2024-02-20,471785296374.6175,493534250000.0
2024-02-21,572678664659.0433,502440620000.0
2024-02-22,484798034333.4922,502315100000.0
2024-02-23,464193434064.37573,497057040000.0
2024-02-26,449974058207.4335,490133620000.0
2024-02-27,441786177880.0241,487197700000.0
2024-02-28,635908956391.6246,482321370000.0
2024-02-29,528591729469.89685,481941600000.0
2024-03-01,570571963103.3043,483125170000.0
2024-03-04,550609463615.664,486019900000.0
2024-03-05,544304443270.82056,494079570000.0
2024-03-06,526943078791.5879,506354240000.0
2024-03-07,604911167243.1106,511436500000.0
2024-03-08,488958504357.9569,512634800000.0
2024-03-11,503282957741.99884,516384520000.0
2024-03-12,498226777120.8815,519712470000.0
2024-03-13,549849164808.1195,507851500000.0
2024-03-14,905309456673.6737,502272920000.0
2024-03-15,503563302877.48804,505358550000.0
2024-03-18,475777647386.8964,512799080000.0
2024-03-19,479118561561.1202,517664570000.0
2024-03-20,521365932735.57196,514251650000.0
2024-03-21,429574371767.8266,505073340000.0
2024-03-22,433188026336.16254,500868550000.0
2024-03-25,451995787288.1973,497899600000.0
2024-03-26,460787307060.27576,493821460000.0
2024-03-27,467534449197.2095,489806560000.0
2024-03-28,419709656130.5367,483421980000.0
2024-04-01,463584761579.67957,482707900000.0
2024-04-02,436781648469.9068,484684040000.0
2024-04-03,500898387976.21,490173860000.0
2024-04-04,441372651252.115,486385250000.0
2024-04-05,387516475191.3404,498732170000.0
2024-04-08,413691516165.49695,495463070000.0
2024-04-09,451323696961.20044,480915000000.0
2024-04-10,442068652683.05597,469530020000.0
2024-04-11,462681182746.67975,469997700000.0
2024-04-12,468127561175.4689,461790600000.0
2024-04-15,442370925945.80927,476553970000.0
2024-04-16,448091419679.23987,492451040000.0
2024-04-17,435904773845.8851,485566780000.0
2024-04-18,556974693132.6084,478241230000.0
2024-04-19,453877285116.556,470441700000.0
2024-04-22,445952649516.7604,474245370000.0
2024-04-23,487559033853.57654,461463100000.0
2024-04-24,521500268087.4559,448885720000.0
2024-04-25,472847439363.3336,450200200000.0
2024-04-26,459218203915.6699,451401350000.0
2024-04-29,505427446286.808,453597040000.0
2024-04-30,537097156235.92865,454528900000.0
2024-05-01,491236896818.0778,465751740000.0
2024-05-02,486885945062.10956,471585360000.0
2024-05-03,429981618340.6074,471408180000.0
2024-05-06,455863073499.0228,465522560000.0
2024-05-07,407952488363.54156,464554030000.0
