date,actual,pred
2023-01-03,366421685444.583,337310093907.65796
2023-01-04,330694015191.7134,368512414566.05865
2023-01-05,372900825530.29346,376237572604.92694
2023-01-06,379258656525.76697,363846739171.21356
2023-01-09,319662055561.93866,367468104247.6694
2023-01-10,363102449018.5793,368514949965.0486
2023-01-11,371471183726.68274,354706859173.29645
2023-01-12,335143083036.9447,358588023504.851
2023-01-13,372705644118.1733,381588954029.2245
2023-01-17,377696913656.18256,370369124696.2986
2023-01-18,353690639719.4868,369618874924.39105
2023-01-19,398266846428.50397,388973934538.82654
2023-01-20,392457607370.5275,385318773468.2079
2023-01-23,330101358762.0445,400952131145.8746
2023-01-24,371412492435.28625,333060210155.1531
2023-01-25,382645171092.05817,362736812784.97253
2023-01-26,410508163087.6619,370369778257.4316
2023-01-27,369868410261.03375,406119616151.9398
2023-01-30,427563916821.5688,380205700255.5604
2023-01-31,485685314040.7866,424413258701.3217
2023-02-01,588627479445.1163,423771084260.43964
2023-02-02,483026786795.6452,476743157996.0515
2023-02-03,376365383209.54236,518163938291.47473
2023-02-06,443890058061.37213,390620273798.9591
2023-02-07,406686789217.9954,447614255922.52924
2023-02-08,428053576886.8182,440239613423.3889
2023-02-09,382054954188.8812,413015725199.89374
2023-02-10,351108250865.5791,398775812174.0483
2023-02-13,395856514186.7634,369418073291.6515
2023-02-14,377577733145.99835,387733030156.11536
2023-02-15,406058866197.0521,401896793516.7059
2023-02-16,407207461570.0421,416568509668.02905
2023-02-17,389725040544.1023,418223954700.1475
2023-02-21,379194340269.70435,390029775115.61475
2023-02-22,392728869779.9461,393138473353.14374
2023-02-23,370088507805.55096,399989942573.76385
2023-02-24,342099676092.3339,388135559046.90393
2023-02-27,418649967705.6412,361814477682.7677
2023-02-28,374960263351.1346,390686805865.1319
2023-03-01,373349561815.3444,393763738884.9624
2023-03-02,379296746359.43994,376825983185.94916
2023-03-03,367357012667.58936,379196964692.34125
2023-03-06,366721436494.9701,381273260793.2492
2023-03-07,332131518964.35345,381302740983.4398
2023-03-08,395503617764.96844,369027144769.09467
2023-03-09,478873163574.44086,372385448581.6878
2023-03-10,517516864544.8864,411742915441.01685
2023-03-13,477211777690.7132,462797509278.6866
2023-03-14,506241243858.3554,455336849905.2125
2023-03-15,499765711145.5265,517914651207.3517
2023-03-16,736767547740.8927,515603389544.94354
2023-03-17,401372247143.5621,555893201256.8652
2023-03-20,407471737577.979,425421570853.05
2023-03-21,399496411865.7385,418089066315.219
2023-03-22,415992274114.36725,428231207575.6905
2023-03-23,368737972423.33923,422789589388.21185
2023-03-24,338649951438.5082,398341967040.4133
2023-03-27,311060236734.5674,372100081003.91907
2023-03-28,344422409331.61584,333789339863.3641
2023-03-29,334148886231.4185,360183054461.6333
2023-03-30,405579609139.4932,329316087574.35675
2023-03-31,380542201488.6286,380252914859.1192
2023-04-03,345338426792.674,372521802738.8502
2023-04-04,365504057339.88745,368871950825.5329
2023-04-05,324665287360.93774,361348298268.6216
2023-04-06,305261978440.9528,367569678590.3961
2023-04-10,314600661190.0587,329250057207.3164
2023-04-11,346698540344.98584,342755930505.3295
2023-04-12,343397019399.6878,361975327669.7469
2023-04-13,321543086644.9851,349700831272.47595
2023-04-14,323765524304.4371,327615146164.82776
2023-04-17,329342093954.9813,322336078147.73785
2023-04-18,321655900966.9133,313930277536.6231
2023-04-19,359083673812.0182,339252744144.15295
2023-04-20,341799295479.73816,366064139061.59045
2023-04-21,308541923314.3221,341038807598.0323
2023-04-24,364650739708.0753,334427521641.3052
2023-04-25,388884936085.2681,358393078956.1143
2023-04-26,411141942644.75867,366810580655.44934
2023-04-27,391510905371.1983,411735596805.71063
2023-04-28,336101252346.2915,386331248657.3237
2023-05-01,387849993116.19135,348662753680.82324
2023-05-02,393967374330.1714,363725991127.8497
2023-05-03,397441737369.9509,400695480190.54553
2023-05-04,374856868677.4047,416732177263.3284
2023-05-05,319146581382.3841,387762909984.49146
2023-05-08,316724243071.0545,359511475055.9884
2023-05-09,378302253595.03906,334444812247.2347
2023-05-10,349093345301.4786,348514754878.7597
2023-05-11,320664348830.1723,359325145153.88763
2023-05-12,311244740242.1935,327948213380.79224
2023-05-15,337055611973.6547,328798648536.88617
2023-05-16,370903573859.34393,320057919945.444
2023-05-17,403582932959.6633,359052108539.00256
2023-05-18,377556326980.8022,393007654377.31854
2023-05-19,353223658897.0286,391094637194.0076
2023-05-22,385800653652.17096,379085954237.35077
2023-05-23,375066349430.4821,376942667108.7701
2023-05-24,471402980816.5732,395133527199.2165
2023-05-25,436538535855.5134,418166770013.43024
2023-05-26,452847548321.58044,410608606330.8925
2023-05-30,652108712129.3252,451204857072.499
2023-05-31,437955780530.76666,520891292443.4431
2023-06-01,438497479723.33014,444751007497.7252
2023-06-02,391600579472.12134,449575989285.1621
2023-06-05,385580750719.22217,398149252794.47424
2023-06-06,465187951538.7633,388151694581.63153
2023-06-07,387655410308.8996,437730720325.28906
2023-06-08,385230209268.5184,385591976363.7472
2023-06-09,396769390043.5354,401328694339.71893
2023-06-12,446786183543.5291,410783958725.20166
2023-06-13,479072364758.89545,420823985173.79315
2023-06-14,470394386244.52936,438917895253.52466
2023-06-15,711875143102.2666,451948528421.7794
2023-06-16,431038188442.35864,522582840682.95483
2023-06-20,424926620191.83936,459774756871.1236
2023-06-21,378714324723.52704,437381921025.4288
2023-06-22,574393624911.2495,394178128503.2801
2023-06-23,377772127918.3098,472901773258.5958
2023-06-26,393146520748.6012,401755296594.4347
2023-06-27,394366647246.9637,406205779455.17596
2023-06-28,362299200403.84906,411102449948.93506
2023-06-29,424644385282.81836,370830461601.6239
2023-06-30,226697047712.38104,411566860368.6169
2023-07-03,371539449209.69653,339711407876.99554
2023-07-05,385544724253.70123,360177287479.71564
2023-07-06,371720508021.70337,369506168396.6514
2023-07-07,384726680685.8697,391121836460.2153
2023-07-10,372453249312.6318,373283977348.65936
2023-07-11,434711762741.99695,393302993445.30597
2023-07-12,420533808728.0416,421205542899.1017
2023-07-13,428568570667.67554,416703814931.42664
2023-07-14,398422347514.32935,419408616490.50006
2023-07-17,449650656033.6139,416091432450.3837
2023-07-18,472837916869.4394,434916718417.55164
2023-07-19,486328525271.46606,476357561594.98083
2023-07-20,579025447822.1926,457819331725.4374
2023-07-21,389184197390.54175,529853755149.8737
2023-07-24,398031779619.5343,406198630173.05695
2023-07-25,435584203827.4178,418890064017.329
2023-07-26,487945019427.3354,438240302769.79395
2023-07-27,433773838273.0596,444197148064.6698
2023-07-28,425297218675.30225,416838680217.6078
2023-07-31,391523702191.9463,443659240236.44666
2023-08-01,465485591389.3529,395667277563.35046
2023-08-02,429570295743.74567,455814471257.6281
2023-08-03,444509740321.3839,437455514402.5857
2023-08-04,374753225547.20514,444599965774.26166
2023-08-07,397798504379.6815,396265771089.3593
2023-08-08,393504440396.93774,414381603087.37555
2023-08-09,399476306642.8337,405091065737.12415
2023-08-10,344150714160.52954,425577451097.25653
2023-08-11,362329256167.9346,341824966033.2073
2023-08-14,357155941657.4157,360796280703.9414
2023-08-15,365312038793.36304,368419883938.6144
2023-08-16,393852447718.17725,374799501861.3275
2023-08-17,399331320229.05176,394473958857.90717
2023-08-18,391207553209.93866,419774394974.2178
2023-08-21,349612635935.0503,396337053741.0017
2023-08-22,383645460807.44995,339005273895.06036
2023-08-23,410740968579.55865,367526478929.84485
2023-08-24,371997496517.21936,416138116856.2367
2023-08-25,311626788061.8368,384595288529.04376
2023-08-28,379510977924.8356,366842775943.8959
2023-08-29,356718689316.6943,360523431974.33417
2023-08-30,427451069632.1224,362766619208.38324
2023-08-31,355302855426.5323,396429570986.16425
2023-09-01,370245709700.9933,385459825716.0217
2023-09-05,366818351321.268,374459985262.7854
2023-09-06,399896461633.61066,391359079656.3704
2023-09-07,347332072203.49133,399645471015.2433
2023-09-08,376468945616.5986,346837625534.1645
2023-09-11,364341774108.8636,367105557480.32196
2023-09-12,371815432656.3913,380149716571.3388
2023-09-13,391901831073.04504,380396206774.1102
2023-09-14,708703712602.6359,382696851884.75806
2023-09-15,338488212158.79193,404688996643.52264
2023-09-18,340856296088.6158,340937597015.47614
2023-09-19,342371815391.1078,356201711538.82074
2023-09-20,410960092660.30756,345837050198.56177
2023-09-21,359601204110.0307,382084314520.45294
2023-09-22,317458958978.9116,381864250368.6144
2023-09-25,358849345348.4908,351433678008.8591
2023-09-26,390905999110.66693,356437999400.985
2023-09-27,380552468901.6064,366217962752.1554
2023-09-28,395981492198.0412,391748480171.10004
2023-09-29,376783999694.62885,413241965812.06226
2023-10-02,382992037679.86127,385603871839.1567
2023-10-03,374129805235.9813,372339588663.568
2023-10-04,356899011431.23065,392761824112.7341
2023-10-05,412628135818.5249,369716529771.3232
2023-10-06,327054526790.9746,397945620831.0943
2023-10-09,369180653224.8631,344765179681.10406
2023-10-10,365489361581.2605,362806356436.822
2023-10-11,391091455196.7395,366953975944.6871
