date,actual,pred
2023-01-03,1768937238254.2961,1821268251115.5034
2023-01-04,1765618001828.293,1827223050311.756
2023-01-05,1806395170363.2634,1842966857900.6604
2023-01-06,1768637427869.9138,1814858832259.297
2023-01-09,1762084415462.3208,1832258459826.9412
2023-01-10,1820119273556.559,1765655995051.1438
2023-01-11,1810707464257.466,1829157482812.8516
2023-01-12,1837503126959.2876,1879314329061.8975
2023-01-13,1894817651292.8752,1845269125717.885
2023-01-17,1852213365936.7478,1874080944504.9343
2023-01-18,1845928944715.851,1860842150788.2493
2023-01-19,1874883476088.4211,1888263410487.787
2023-01-20,1887124792747.576,1972875821376.011
2023-01-23,1864535595638.0881,1991677929219.453
2023-01-24,1961998153697.6091,1752085926878.381
2023-01-25,2076270975303.1125,1893084917160.1453
2023-01-26,2282253283656.1675,1879820469026.1045
2023-01-27,2354771907364.149,1967983400656.4443
2023-01-30,2361268880312.657,1999412063577.1848
2023-01-31,2377595021552.465,2162342032450.925
2023-02-01,2298596496729.671,2192379742270.3513
2023-02-02,2138022594171.373,2322848372204.1846
2023-02-03,2037050761564.6084,2351700057083.8
2023-02-06,2011793629220.6458,2010160013260.4888
2023-02-07,1963760085346.04,2194635334035.5166
2023-02-08,1934651029274.0386,2105560898727.8503
2023-02-09,1912656318584.2734,2103112009490.8708
2023-02-10,1937808825965.436,2062171477881.1902
2023-02-13,1976425615643.9546,1893110244472.389
2023-02-14,1959763441726.9014,1982111237907.2876
2023-02-15,1974914578360.8481,1946771411093.302
2023-02-16,1938944219969.346,2011284704173.7275
2023-02-17,1873836434491.6353,2132331931587.0918
2023-02-21,1902761361653.175,2001169756666.402
2023-02-22,1898527284734.61,2017847071940.213
2023-02-23,1879147976770.0088,2081359475775.3137
2023-02-24,1888356215323.8953,1988479248355.1118
2023-02-27,1913613551899.1501,1846249292986.6458
2023-02-28,1861685020688.4792,1992290451298.7317
2023-03-01,1818856276301.6978,1904517633162.055
2023-03-02,1841010332251.3198,1874552344709.635
2023-03-03,1940586749466.3225,1963033849355.6091
2023-03-06,2090746601343.617,1964732154829.4739
2023-03-07,2201236942539.362,1974553911697.9019
2023-03-08,2375346667433.365,1832456716910.018
2023-03-09,2479608760813.9277,1861876195984.1936
2023-03-10,2737503144980.38,2110899967123.693
2023-03-13,2621358527579.053,2251060548597.559
2023-03-14,2551618487466.315,2339900573027.7134
2023-03-15,2444873655473.7007,2646033698241.962
2023-03-16,2361100218442.541,2625862118621.5747
2023-03-17,1993070643124.987,2681157519369.1514
2023-03-20,1930348347419.9324,2248608369511.0693
2023-03-21,1833936846576.5222,2179333441229.5432
2023-03-22,1778862844042.3982,2108602550283.953
2023-03-23,1697019456159.4475,2168961385542.4343
2023-03-24,1733861092875.6057,2080500572261.2734
2023-03-27,1775753342925.726,1812860050688.3806
2023-03-28,1810031532983.834,1735133463935.0476
2023-03-29,1831113180992.103,1822976409589.951
2023-03-30,1821629582121.624,1790993775662.0662
2023-03-31,1721311951423.0808,1853591204741.4575
2023-04-03,1655370411124.507,1836352002290.4973
2023-04-04,1656730524676.8196,1794975028252.217
2023-04-05,1634623486736.6223,1893905552430.3271
2023-04-06,1631501286020.6682,1797857487198.1245
2023-04-10,1650004831884.1565,1792411149862.5637
2023-04-11,1664746264649.0752,1792684769276.6206
2023-04-12,1639703625271.0032,1802674797131.5247
2023-04-13,1655390279683.3335,1787554175242.319
2023-04-14,1675646488518.0876,1758711479726.859
2023-04-17,1660422887527.9739,1798581409061.6814
2023-04-18,1695731533281.0703,1804177111401.0825
2023-04-19,1762960568399.425,1760905690062.634
2023-04-20,1815018837232.1628,1821205835121.0276
2023-04-21,1864730447123.624,1811356432725.4873
2023-04-24,1892289776155.5962,1785992695273.3628
2023-04-25,1915489029563.707,1857637231968.5603
2023-04-26,1920571467808.6074,1829913220492.3545
2023-04-27,1906871262533.8008,1959190710972.1301
2023-04-28,1890217225840.0122,2013092895704.8994
2023-05-01,1873262554876.1045,1802884400918.699
2023-05-02,1802136804830.9648,1885398236050.182
2023-05-03,1786471684095.832,1981079255595.8257
2023-05-04,1738123292027.361,1958666943603.057
2023-05-05,1683930772180.127,2012785862327.4495
2023-05-08,1676028931039.9395,1831962401632.5227
2023-05-09,1696360299942.5388,1746599894392.6587
2023-05-10,1688961620206.8428,1804055447470.501
2023-05-11,1743451207865.0251,1764171222826.992
2023-05-12,1800343186015.656,1731802133587.1536
2023-05-15,1842322104670.494,1733298989405.808
2023-05-16,1891067146349.0105,1778451650199.7441
2023-05-17,1895229921920.145,1797256495203.1765
2023-05-18,1963049969777.0552,1900433260655.3628
2023-05-19,2022032178651.7695,1913150559506.005
2023-05-22,2121656068076.319,1985565972433.2522
2023-05-23,2387964126553.4727,1986351069708.3506
2023-05-24,2450853557653.7583,1974214938178.4297
2023-05-25,2417948056560.5166,2068536542961.4165
2023-05-26,2373010100177.12,2130444660722.5674
2023-05-30,2305743302574.766,2259733723289.0654
2023-05-31,2118822541984.206,2543951726222.007
