date,actual,pred
2023-01-03,1768937238254.2961,1840043700000.0
2023-01-04,1765618001828.293,1852308300000.0
2023-01-05,1806395170363.2634,1821963800000.0
2023-01-06,1768637427869.9138,1803053700000.0
2023-01-09,1762084415462.3208,1855841100000.0
2023-01-10,1820119273556.559,1705690900000.0
2023-01-11,1810707464257.466,1798622800000.0
2023-01-12,1837503126959.2876,1800054000000.0
2023-01-13,1894817651292.8752,1822415700000.0
2023-01-17,1852213365936.7478,1859150200000.0
2023-01-18,1845928944715.851,1899626500000.0
2023-01-19,1874883476088.4211,1918345200000.0
2023-01-20,1887124792747.576,1973145000000.0
2023-01-23,1864535595638.0881,1963680100000.0
2023-01-24,1961998153697.6091,1821800500000.0
2023-01-25,2076270975303.1125,1926426500000.0
2023-01-26,2282253283656.1675,1914613000000.0
2023-01-27,2354771907364.149,1910972000000.0
2023-01-30,2361268880312.657,1982962000000.0
2023-01-31,2377595021552.465,2153347200000.0
2023-02-01,2298596496729.671,2193620500000.0
2023-02-02,2138022594171.373,2321507700000.0
2023-02-03,2037050761564.6084,2334607000000.0
2023-02-06,2011793629220.6458,2006210200000.0
2023-02-07,1963760085346.04,2238067800000.0
2023-02-08,1934651029274.0386,2060979100000.0
2023-02-09,1912656318584.2734,2074795400000.0
2023-02-10,1937808825965.436,2090637600000.0
2023-02-13,1976425615643.9546,1872388400000.0
2023-02-14,1959763441726.9014,2031993200000.0
2023-02-15,1974914578360.8481,2014611800000.0
2023-02-16,1938944219969.346,1984172700000.0
2023-02-17,1873836434491.6353,2097015600000.0
2023-02-21,1902761361653.175,1997634100000.0
2023-02-22,1898527284734.61,2022033900000.0
2023-02-23,1879147976770.0088,2130168600000.0
2023-02-24,1888356215323.8953,2008649200000.0
2023-02-27,1913613551899.1501,1841841400000.0
2023-02-28,1861685020688.4792,1980327500000.0
2023-03-01,1818856276301.6978,1946277800000.0
2023-03-02,1841010332251.3198,1881477900000.0
2023-03-03,1940586749466.3225,1997367500000.0
2023-03-06,2090746601343.617,1937858200000.0
2023-03-07,2201236942539.362,1935837400000.0
2023-03-08,2375346667433.365,1817084300000.0
2023-03-09,2479608760813.9277,1853453400000.0
2023-03-10,2737503144980.38,2112580000000.0
2023-03-13,2621358527579.053,2269504000000.0
2023-03-14,2551618487466.315,2302260000000.0
2023-03-15,2444873655473.7007,2577686000000.0
2023-03-16,2361100218442.541,2594481400000.0
2023-03-17,1993070643124.987,2786984000000.0
2023-03-20,1930348347419.9324,2202302700000.0
2023-03-21,1833936846576.5222,2049770900000.0
2023-03-22,1778862844042.3982,2013954700000.0
2023-03-23,1697019456159.4475,2102634600000.0
2023-03-24,1733861092875.6057,2036999000000.0
2023-03-27,1775753342925.726,1843605800000.0
2023-03-28,1810031532983.834,1746310100000.0
2023-03-29,1831113180992.103,1774575300000.0
2023-03-30,1821629582121.624,1773242200000.0
2023-03-31,1721311951423.0808,1847812700000.0
2023-04-03,1655370411124.507,1841479500000.0
2023-04-04,1656730524676.8196,1812881700000.0
2023-04-05,1634623486736.6223,1867067600000.0
2023-04-06,1631501286020.6682,1774142100000.0
2023-04-10,1650004831884.1565,1752767100000.0
2023-04-11,1664746264649.0752,1773976300000.0
2023-04-12,1639703625271.0032,1769363600000.0
2023-04-13,1655390279683.3335,1767157900000.0
2023-04-14,1675646488518.0876,1732878800000.0
2023-04-17,1660422887527.9739,1759973000000.0
2023-04-18,1695731533281.0703,1781130100000.0
2023-04-19,1762960568399.425,1755286300000.0
2023-04-20,1815018837232.1628,1810179700000.0
2023-04-21,1864730447123.624,1790428700000.0
2023-04-24,1892289776155.5962,1767275900000.0
2023-04-25,1915489029563.707,1878028700000.0
2023-04-26,1920571467808.6074,1842758500000.0
2023-04-27,1906871262533.8008,1918019600000.0
2023-04-28,1890217225840.0122,1938989500000.0
2023-05-01,1873262554876.1045,1882274700000.0
2023-05-02,1802136804830.9648,1882860000000.0
2023-05-03,1786471684095.832,2045073000000.0
2023-05-04,1738123292027.361,1926114200000.0
2023-05-05,1683930772180.127,2034649800000.0
2023-05-08,1676028931039.9395,1819942500000.0
2023-05-09,1696360299942.5388,1731669500000.0
2023-05-10,1688961620206.8428,1718819600000.0
