date,actual,pred
2023-01-03,366421685444.583,331406400000.0
2023-01-04,330694015191.7134,362110520000.0
2023-01-05,372900825530.29346,365729640000.0
2023-01-06,379258656525.76697,355260470000.0
2023-01-09,319662055561.93866,372519300000.0
2023-01-10,363102449018.5793,345212750000.0
2023-01-11,371471183726.68274,352530760000.0
2023-01-12,335143083036.9447,326713080000.0
2023-01-13,372705644118.1733,381027600000.0
2023-01-17,377696913656.18256,362635130000.0
2023-01-18,353690639719.4868,370552100000.0
2023-01-19,398266846428.50397,371911600000.0
2023-01-20,392457607370.5275,382361370000.0
2023-01-23,330101358762.0445,387156400000.0
2023-01-24,371412492435.28625,324837180000.0
2023-01-25,382645171092.05817,374440530000.0
2023-01-26,410508163087.6619,389109320000.0
2023-01-27,369868410261.03375,413599200000.0
2023-01-30,427563916821.5688,378501100000.0
2023-01-31,485685314040.7866,419836070000.0
2023-02-01,588627479445.1163,460729600000.0
2023-02-02,483026786795.6452,457325580000.0
2023-02-03,376365383209.54236,506564870000.0
2023-02-06,443890058061.37213,394594400000.0
2023-02-07,406686789217.9954,444605700000.0
2023-02-08,428053576886.8182,430281900000.0
2023-02-09,382054954188.8812,423665100000.0
2023-02-10,351108250865.5791,392268870000.0
2023-02-13,395856514186.7634,372100330000.0
2023-02-14,377577733145.99835,407540470000.0
2023-02-15,406058866197.0521,386062100000.0
2023-02-16,407207461570.0421,406456000000.0
2023-02-17,389725040544.1023,416910670000.0
2023-02-21,379194340269.70435,411010330000.0
2023-02-22,392728869779.9461,383871780000.0
2023-02-23,370088507805.55096,396326960000.0
2023-02-24,342099676092.3339,393744800000.0
2023-02-27,418649967705.6412,349992220000.0
2023-02-28,374960263351.1346,387692900000.0
2023-03-01,373349561815.3444,387035300000.0
2023-03-02,379296746359.43994,372925960000.0
2023-03-03,367357012667.58936,397643700000.0
2023-03-06,366721436494.9701,398725220000.0
2023-03-07,332131518964.35345,376159200000.0
2023-03-08,395503617764.96844,384901150000.0
2023-03-09,478873163574.44086,389563780000.0
2023-03-10,517516864544.8864,401473200000.0
2023-03-13,477211777690.7132,474315950000.0
2023-03-14,506241243858.3554,437630070000.0
2023-03-15,499765711145.5265,569442960000.0
2023-03-16,736767547740.8927,513239450000.0
2023-03-17,401372247143.5621,616197500000.0
2023-03-20,407471737577.979,427918230000.0
2023-03-21,399496411865.7385,405902850000.0
2023-03-22,415992274114.36725,414722500000.0
2023-03-23,368737972423.33923,422921540000.0
2023-03-24,338649951438.5082,383525620000.0
2023-03-27,311060236734.5674,355589900000.0
2023-03-28,344422409331.61584,316010760000.0
2023-03-29,334148886231.4185,322924000000.0
2023-03-30,405579609139.4932,326252900000.0
2023-03-31,380542201488.6286,399264780000.0
2023-04-03,345338426792.674,385566100000.0
2023-04-04,365504057339.88745,380989830000.0
2023-04-05,324665287360.93774,364723730000.0
2023-04-06,305261978440.9528,342333600000.0
2023-04-10,314600661190.0587,338717870000.0
2023-04-11,346698540344.98584,335314850000.0
2023-04-12,343397019399.6878,343193300000.0
