date,actual,pred
2023-01-03,366421685444.583,294731400000.0
2023-01-04,330694015191.7134,317972700000.0
2023-01-05,372900825530.29346,337887400000.0
2023-01-06,379258656525.76697,338326600000.0
2023-01-09,319662055561.93866,347034850000.0
2023-01-10,363102449018.5793,355253680000.0
2023-01-11,371471183726.68274,345536860000.0
2023-01-12,335143083036.9447,349730640000.0
2023-01-13,372705644118.1733,356411500000.0
2023-01-17,377696913656.18256,349518560000.0
2023-01-18,353690639719.4868,355052500000.0
2023-01-19,398266846428.50397,360798550000.0
2023-01-20,392457607370.5275,357226870000.0
2023-01-23,330101358762.0445,365764500000.0
2023-01-24,371412492435.28625,370465180000.0
2023-01-25,382645171092.05817,354875080000.0
2023-01-26,410508163087.6619,358098000000.0
2023-01-27,369868410261.03375,364868470000.0
2023-01-30,427563916821.5688,374569100000.0
2023-01-31,485685314040.7866,369508250000.0
2023-02-01,588627479445.1163,379705800000.0
2023-02-02,483026786795.6452,398657520000.0
2023-02-03,376365383209.54236,427389680000.0
2023-02-06,443890058061.37213,426258860000.0
2023-02-07,406686789217.9954,395544560000.0
2023-02-08,428053576886.8182,400751760000.0
2023-02-09,382054954188.8812,400734900000.0
2023-02-10,351108250865.5791,407133360000.0
2023-02-13,395856514186.7634,399673900000.0
2023-02-14,377577733145.99835,386811700000.0
2023-02-15,406058866197.0521,396032250000.0
2023-02-16,407207461570.0421,396624130000.0
2023-02-17,389725040544.1023,403751630000.0
2023-02-21,379194340269.70435,407861620000.0
2023-02-22,392728869779.9461,404311100000.0
2023-02-23,370088507805.55096,399292200000.0
2023-02-24,342099676092.3339,401396630000.0
2023-02-27,418649967705.6412,396419200000.0
2023-02-28,374960263351.1346,384823330000.0
2023-03-01,373349561815.3444,401287940000.0
2023-03-02,379296746359.44,399120860000.0
2023-03-03,367357012667.58936,395391430000.0
2023-03-06,366721436494.9701,395527950000.0
2023-03-07,332131518964.35345,392208970000.0
2023-03-08,395503617764.96844,390172770000.0
2023-03-09,478873163574.44086,378379830000.0
2023-03-10,517516864544.8864,390913230000.0
2023-03-13,477211777690.7132,416688870000.0
2023-03-14,506241243858.3554,437072000000.0
2023-03-15,499765711145.5265,438077700000.0
2023-03-16,736767547740.8927,442064700000.0
2023-03-17,401372247143.5621,443439480000.0
2023-03-20,407471737577.979,478407230000.0
2023-03-21,399496411865.7385,437822100000.0
2023-03-22,415992274114.36725,415515050000.0
2023-03-23,368737972423.33923,409348600000.0
2023-03-24,338649951438.5082,414094070000.0
2023-03-27,311060236734.5674,403508360000.0
2023-03-28,344422409331.61584,388323400000.0
2023-03-29,334148886231.4185,372508620000.0
2023-03-30,405579609139.4932,378459950000.0
2023-03-31,380542201488.6286,378181420000.0
2023-04-03,345338426792.674,396984420000.0
2023-04-04,365504057339.88745,399241900000.0
2023-04-05,324665287360.93774,386900260000.0
2023-04-06,305261978440.9528,386773320000.0
2023-04-10,314600661190.0587,374460550000.0
2023-04-11,346698540344.98584,361155850000.0
2023-04-12,343397019399.6878,359013060000.0
2023-04-13,321543086644.9851,368416750000.0
2023-04-14,323765524304.4371,371564150000.0
2023-04-17,329342093954.9813,364280200000.0
2023-04-18,321655900966.9133,360192770000.0
2023-04-19,359083673812.0182,359875500000.0
2023-04-20,341799295479.73816,356849580000.0
2023-04-21,308541923314.3221,365558070000.0
2023-04-24,364650739708.0753,364726520000.0
2023-04-25,388884936085.2681,351430400000.0
2023-04-26,411141942644.75867,360194870000.0
2023-04-27,391510905371.1983,371843500000.0
2023-04-28,336101252346.2915,381876700000.0
2023-05-01,387849993116.19135,381125750000.0
2023-05-02,393967374330.1714,363312900000.0
2023-05-03,397441737369.9509,368791500000.0
2023-05-04,374856868677.4047,375718250000.0
2023-05-05,319146581382.3841,379962230000.0
2023-05-08,316724243071.0545,376015750000.0
2023-05-09,378302253595.03906,356694430000.0
2023-05-10,349093345301.4786,347281800000.0
2023-05-11,320664348830.1723,363087800000.0
2023-05-12,311244740242.1935,364344080000.0
2023-05-15,337055611973.6547,353880830000.0
2023-05-16,370903573859.34393,344927730000.0
2023-05-17,403582932959.6633,349649930000.0
2023-05-18,377556326980.8022,362250730000.0
2023-05-19,353223658897.0286,376613670000.0
2023-05-22,385800653652.17096,377251330000.0
2023-05-23,375066349430.4821,369380000000.0
2023-05-24,471402980816.5732,374515500000.0
2023-05-25,436538535855.5134,375906040000.0
2023-05-26,452847548321.58044,398062600000.0
2023-05-30,652108712129.3252,404827300000.0
2023-05-31,437955780530.76666,409976000000.0
2023-06-01,438497479723.33014,444899200000.0
2023-06-02,391600579472.12134,429518450000.0
2023-06-05,385580750719.22217,416816040000.0
2023-06-06,465187951538.7633,401847800000.0
2023-06-07,387655410308.8996,395663050000.0
2023-06-08,385230209268.5184,414742250000.0
2023-06-09,396769390043.5354,406302500000.0
2023-06-12,446786183543.5291,399579380000.0
2023-06-13,479072364758.89545,401329260000.0
2023-06-14,470394386244.52936,415783780000.0
2023-06-15,711875143102.2666,430308950000.0
2023-06-16,431038188442.35864,435015250000.0
2023-06-20,424926620191.83936,473705680000.0
2023-06-21,378714324723.52704,446937040000.0
2023-06-22,574393624911.2495,427278000000.0
2023-06-23,377772127918.3098,409444680000.0
2023-06-26,393146520748.6012,446589340000.0
2023-06-27,394366647246.9637,423367840000.0
2023-06-28,362299200403.84906,413454830000.0
2023-06-29,424644385282.81836,412865430000.0
2023-06-30,226697047712.38104,403552200000.0
2023-07-03,371539449209.69653,416874070000.0
2023-07-05,385544724253.70123,344055840000.0
2023-07-06,371720508021.70337,372855540000.0
2023-07-07,384726680685.8697,395012280000.0
2023-07-10,372453249312.6318,397690700000.0
2023-07-11,434711762741.99695,399872920000.0
2023-07-12,420533808728.0416,396571970000.0
2023-07-13,428568570667.67554,410224030000.0
2023-07-14,398422347514.32935,414300300000.0
2023-07-17,449650656033.6139,416524400000.0
2023-07-18,472837916869.4394,409918960000.0
2023-07-19,486328525271.46606,418917740000.0
2023-07-20,579025447822.1926,429986550000.0
2023-07-21,389184197390.54175,438015070000.0
2023-07-24,398031779619.5343,457961050000.0
2023-07-25,435584203827.4178,426529720000.0
2023-07-26,487945019427.3354,411590070000.0
2023-07-27,433773838273.0596,418646230000.0
2023-07-28,425297218675.30225,435333960000.0
2023-07-31,391523702191.9463,430879770000.0
2023-08-01,465485591389.3529,424513630000.0
2023-08-02,429570295743.74567,412630000000.0
2023-08-03,444509740321.3839,426650100000.0
2023-08-04,374753225547.20514,426764080000.0
2023-08-07,397798504379.6815,428992900000.0
2023-08-08,393504440396.93774,410835550000.0
2023-08-09,399476306642.8337,409417320000.0
2023-08-10,344150714160.52954,409612600000.0
2023-08-11,362329256167.9346,411444120000.0
2023-08-14,357155941657.4157,395080100000.0
2023-08-15,365312038793.36304,393295920000.0
2023-08-16,393852447718.17725,392870070000.0
2023-08-17,399331320229.05176,394276900000.0
2023-08-18,391207553209.93866,402582770000.0
2023-08-21,349612635935.0503,407611180000.0
2023-08-22,383645460807.44995,406666120000.0
2023-08-23,410740968579.55865,392819150000.0
2023-08-24,371997496517.21936,395980100000.0
2023-08-25,311626788061.8368,405817700000.0
2023-08-28,379510977924.8356,399565700000.0
2023-08-29,356718689316.6943,374604140000.0
2023-08-30,427451069632.1224,384645760000.0
2023-08-31,355302855426.5323,384897480000.0
2023-09-01,370245709700.9933,401325460000.0
2023-09-05,366818351321.268,390317200000.0
2023-09-06,399896461633.61066,387050800000.0
2023-09-07,347332072203.49133,385405100000.0
2023-09-08,376468945616.5986,393290700000.0
2023-09-11,364341774108.8636,382194400000.0
2023-09-12,371815432656.3913,384046070000.0
2023-09-13,391901831073.04504,382626920000.0
2023-09-14,708703712602.6359,383456150000.0
2023-09-15,338488212158.79193,389046960000.0
2023-09-18,340856296088.6158,441135630000.0
2023-09-19,342371815391.1078,400675340000.0
2023-09-20,410960092660.30756,373806860000.0
2023-09-21,359601204110.0307,367896430000.0
2023-09-22,317458958978.9116,387205900000.0
2023-09-25,358849345348.4908,383763400000.0
2023-09-26,390905999110.66693,365749900000.0
2023-09-27,380552468901.6064,371328940000.0
2023-09-28,395981492198.0412,384576780000.0
2023-09-29,376783999694.62885,387786080000.0
2023-10-02,382992037679.86127,391889680000.0
2023-10-03,374129805235.9813,388606460000.0
2023-10-04,356899011431.23065,388296740000.0
2023-10-05,412628135818.5249,386375900000.0
2023-10-06,327054526790.9746,380331300000.0
2023-10-09,369180653224.8631,392464170000.0
2023-10-10,365489361581.2605,374798480000.0
2023-10-11,391091455196.7395,377921830000.0
2023-10-12,378109048861.1663,380249340000.0
2023-10-13,353998148145.096,387794930000.0
2023-10-16,411169297363.1595,387835630000.0
2023-10-17,392456688507.46985,380001400000.0
2023-10-18,442885627467.4189,391292160000.0
2023-10-19,419186153007.4966,393674980000.0
2023-10-20,384771496613.4807,405632750000.0
2023-10-23,380987287833.08167,407096850000.0
2023-10-24,427178228715.9345,397501100000.0
2023-10-25,455991256091.8965,391859800000.0
2023-10-26,401576151888.6358,402206700000.0
2023-10-27,385499436183.3657,414878330000.0
2023-10-30,399183001875.5596,407409100000.0
2023-10-31,437879063548.8818,398554860000.0
2023-11-01,462993722764.52795,399398000000.0
2023-11-02,446356011183.0232,410804200000.0
2023-11-03,372057986674.89813,422623940000.0
2023-11-06,388338293164.09436,424605160000.0
2023-11-07,367066845400.5713,404622020000.0
2023-11-08,407022755743.2863,400050700000.0
2023-11-09,395197484775.9606,394083660000.0
2023-11-10,344050334327.257,402948460000.0
2023-11-13,466828635067.5311,404909950000.0
2023-11-14,453745735366.8487,389087760000.0
2023-11-15,412480669794.21277,413105620000.0
2023-11-16,395382417963.36646,425122920000.0
2023-11-17,390956461276.2159,418504080000.0
2023-11-20,370733890384.9325,409467320000.0
2023-11-21,353328060349.0106,405192700000.0
2023-11-22,170810333841.46683,398280560000.0
2023-11-24,363755520919.219,390044800000.0
2023-11-27,381525785173.2973,294877040000.0
2023-11-28,430591842214.91736,343465030000.0
2023-11-29,561052740528.8568,377185860000.0
2023-11-30,440683362242.67834,400124700000.0
2023-12-01,442109634310.9223,432576100000.0
2023-12-04,408883077362.7934,427286130000.0
2023-12-05,411049280516.4802,420234260000.0
2023-12-06,415342819516.4092,409913500000.0
2023-12-07,405963413907.81696,406615700000.0
2023-12-08,440868780609.2981,407773740000.0
2023-12-11,411090916766.99255,406769270000.0
2023-12-12,533065315289.8014,415120600000.0
2023-12-13,653383192476.3853,412683500000.0
2023-12-14,917595876809.1812,435944700000.0
2023-12-15,448920876804.3597,467779800000.0
2023-12-18,432085865474.015,511057200000.0
2023-12-19,459786510322.4384,465282900000.0
2023-12-20,384416586503.5162,430947140000.0
2023-12-21,331214043727.0629,430246600000.0
2023-12-22,276525112562.83514,413861970000.0
2023-12-26,315375636737.65063,388814000000.0
2023-12-27,296108060349.02454,357670680000.0
2023-12-28,338926619094.7067,364383700000.0
2023-12-29,446321514804.9862,360687080000.0
2024-01-02,434268707281.07666,372246580000.0
2024-01-03,409577853862.0828,404260200000.0
2024-01-04,390779706692.0821,417146900000.0
2024-01-05,436783426768.75183,414047500000.0
2024-01-08,411005374595.19196,406297050000.0
2024-01-09,398005894365.5506,415099200000.0
2024-01-10,439999397498.4273,415887720000.0
2024-01-11,378769375938.81146,411262840000.0
2024-01-12,458379091280.8095,419706340000.0
2024-01-16,420377431517.82086,408422880000.0
2024-01-17,466553138848.5229,421414140000.0
2024-01-18,523667479881.27136,420934580000.0
2024-01-19,490080411822.17303,429696320000.0
2024-01-22,419073823035.4877,446118560000.0
2024-01-23,504265613860.7141,447911600000.0
2024-01-24,512701014525.3214,430098100000.0
2024-01-25,420456691968.4462,441073400000.0
2024-01-26,435717906107.28406,451153460000.0
2024-01-29,455984736841.7803,433715300000.0
2024-01-30,558554796364.0011,428119850000.0
2024-01-31,499133996079.2093,432349220000.0
2024-02-01,539817487413.0154,455265550000.0
2024-02-02,507828890005.8113,456758100000.0
2024-02-05,486774264555.5068,463292170000.0
2024-02-06,485584725082.42035,461339900000.0
2024-02-07,475326639599.2643,456012960000.0
2024-02-08,462855982441.15466,454588730000.0
2024-02-09,481872352927.5098,453298650000.0
2024-02-12,536499096152.2144,450553250000.0
2024-02-13,479720853520.21313,454460400000.0
2024-02-14,510772288234.76385,468124300000.0
2024-02-15,509831318553.01324,462875260000.0
2024-02-16,527627309683.0908,465751740000.0
2024-02-20,471785296374.6175,468096650000.0
2024-02-21,572678664659.0433,472805700000.0
2024-02-22,484798034333.4922,462990970000.0
2024-02-23,464193434064.37573,478264000000.0
2024-02-26,449974058207.4335,470008500000.0
2024-02-27,441786177880.0241,459337140000.0
2024-02-28,635908956391.6246,452196760000.0
2024-02-29,528591729469.89685,447827050000.0
2024-03-01,570571963103.3043,482504440000.0
2024-03-04,550609463615.664,483516940000.0
2024-03-05,544304443270.82056,487631850000.0
2024-03-06,526943078791.5879,486705430000.0
2024-03-07,604911167243.1106,484868030000.0
2024-03-08,488958504357.9569,480948000000.0
2024-03-11,503282957741.99884,493745140000.0
2024-03-12,498226777120.8815,478421840000.0
2024-03-13,549849164808.1195,472983400000.0
2024-03-14,905309456673.6737,471380300000.0
2024-03-15,503563302877.48804,481486730000.0
2024-03-18,475777647386.8964,529665750000.0
2024-03-19,479118561561.1202,499777770000.0
2024-03-20,521365932735.57196,471625800000.0
2024-03-21,429574371767.8266,464264360000.0
2024-03-22,433188026336.16254,473209900000.0
2024-03-25,451995787288.1973,455865100000.0
2024-03-26,460787307060.27576,448099600000.0
2024-03-27,467534449197.2095,451174140000.0
2024-03-28,419709656130.5367,454934000000.0
2024-04-01,463584761579.67957,457548100000.0
2024-04-02,436781648469.9068,445593030000.0
2024-04-03,500898387976.21,450636640000.0
2024-04-04,441372651252.115,447262820000.0
2024-04-05,387516475191.3404,459413320000.0
2024-04-08,413691516165.49695,451729560000.0
2024-04-09,451323696961.20044,431085260000.0
2024-04-10,442068652683.05597,430133380000.0
2024-04-11,462681182746.67975,440827800000.0
2024-04-12,468127561175.4689,443270370000.0
2024-04-15,442370925945.80927,447687000000.0
2024-04-16,448091419679.23987,450691660000.0
2024-04-17,435904773845.8851,445209020000.0
2024-04-18,556974693132.6084,443453900000.0
2024-04-19,453877285116.556,440014640000.0
2024-04-22,445952649516.7604,463144650000.0
2024-04-23,487559033853.57654,454421400000.0
2024-04-24,521500268087.4559,445304140000.0
2024-04-25,472847439363.3336,451776970000.0
2024-04-26,459218203915.6699,462905340000.0
2024-04-29,505427446286.808,457351760000.0
2024-04-30,537097156235.92865,449950400000.0
2024-05-01,491236896818.0778,457679860000.0
2024-05-02,486885945062.10956,468791800000.0
2024-05-03,429981618340.6074,464391860000.0
2024-05-06,455863073499.0228,460214900000.0
2024-05-07,407952488363.54156,445088460000.0
2024-05-08,405573360733.5833,445245550000.0
2024-05-09,386944753718.9667,434295640000.0
2024-05-10,389979864921.3793,428342840000.0
2024-05-13,424817708794.23065,421059820000.0
2024-05-14,487714456391.92896,418785170000.0
2024-05-15,443485115618.5192,427327700000.0
2024-05-16,407859520423.1644,445465530000.0
2024-05-17,383828434576.92993,443394700000.0
2024-05-20,400798459864.81366,430717860000.0
2024-05-21,437484448511.11633,418015840000.0
2024-05-22,516434563589.20483,418180960000.0
2024-05-23,389655995113.6695,428630540000.0
2024-05-24,480635916379.1712,450186480000.0
2024-05-28,457875637334.2955,429456230000.0
2024-05-29,483706839620.71075,439747020000.0
2024-05-30,730803981131.4653,442502500000.0
2024-05-31,473808700436.66516,448310740000.0
2024-06-03,443035953569.70404,488402550000.0
2024-06-04,478240388210.0772,468988530000.0
2024-06-05,462556070774.63916,446121150000.0
2024-06-06,401735937910.435,447237200000.0
2024-06-07,421454508939.2783,446930220000.0
2024-06-10,416074486775.68866,430490350000.0
2024-06-11,504059966366.229,428858700000.0
2024-06-12,451756772136.9113,428344480000.0
2024-06-13,411059322460.21436,448055150000.0
2024-06-14,465379873945.1811,446408850000.0
2024-06-17,460777113212.50977,432390470000.0
2024-06-18,540213226166.2492,439830100000.0
2024-06-20,918053608395.6307,444040400000.0
2024-06-21,497317858754.7601,461505360000.0
2024-06-24,458208685601.0138,514306570000.0
2024-06-25,449569748574.3916,487698800000.0
2024-06-26,424671777680.38586,456833000000.0
2024-06-27,786149259740.5497,445237900000.0
2024-06-28,437688335070.0144,437162020000.0
2024-07-01,421752564167.9554,491947820000.0
2024-07-02,299610116464.7983,464806580000.0
2024-07-03,417169541126.46387,440496620000.0
