date,actual,pred
2023-01-03,8099883911274.946,6393685300000.0
2023-01-04,8216489012625.982,6478534500000.0
2023-01-05,8262160380643.825,6676757300000.0
2023-01-06,8333149613174.889,6821859300000.0
2023-01-09,8360577745867.116,6991365000000.0
2023-01-10,8468969267192.007,7155413400000.0
2023-01-11,8487921772362.319,7238337000000.0
2023-01-12,8467558839501.219,7278166000000.0
2023-01-13,8528272270651.024,7343439000000.0
2023-01-17,8533144359678.842,7281623700000.0
2023-01-18,8561506312219.71,7294787500000.0
2023-01-19,8615023134070.287,7341268300000.0
2023-01-20,8606481328185.884,7342766000000.0
2023-01-23,8593218061085.051,7412095400000.0
2023-01-24,8655845572102.946,7494390000000.0
2023-01-25,8654521587473.224,7450933000000.0
2023-01-26,8613976092473.502,7459180000000.0
2023-01-27,8622117897091.473,7511951000000.0
2023-01-30,8627209750181.582,7610392000000.0
2023-01-31,8572995395175.349,7662944600000.0
2023-02-01,8466606827494.018,7799937400000.0
2023-02-02,8245336360716.474,7991276000000.0
2023-02-03,8129031010415.793,8391190600000.0
2023-02-06,8084797146170.608,8661387700000.0
2023-02-07,8036410705874.218,8658760500000.0
2023-02-08,8108597080230.643,8685574000000.0
2023-02-09,8198060367888.714,8701575400000.0
2023-02-10,8293217191390.542,8734966000000.0
2023-02-13,8448350184383.345,8690164300000.0
2023-02-14,8552259381342.093,8563124600000.0
2023-02-15,8911449195937.002,8533125000000.0
2023-02-16,8906762576883.512,8486817000000.0
2023-02-17,8907026852891.45,8503684000000.0
2023-02-21,8916798224213.068,8553672000000.0
2023-02-22,8953596158057.738,8564741500000.0
2023-02-23,8929605260701.123,8539654000000.0
2023-02-24,8898166704334.088,8545601300000.0
2023-02-27,8867127264976.318,8503489500000.0
2023-02-28,8792899706602.288,8388294000000.0
2023-03-01,8752088329482.589,8429818600000.0
2023-03-02,8784318376806.74,8425061000000.0
2023-03-03,8785563831935.92,8400190000000.0
2023-03-06,8763545246061.002,8387526400000.0
2023-03-07,8762327866905.922,8345111000000.0
2023-03-08,8754861635302.509,8295929000000.0
2023-03-09,8664619995978.494,8183093400000.0
2023-03-10,8500347493594.11,8188854300000.0
2023-03-13,8329529169394.2,8378828000000.0
2023-03-14,8195714411103.186,8660280400000.0
2023-03-15,8011016253889.801,8885002000000.0
2023-03-16,7835016067048.71,9094437000000.0
2023-03-17,7427590613262.8125,9258062000000.0
2023-03-20,7347874267086.17,9647320000000.0
2023-03-21,7299486203320.197,9628183000000.0
2023-03-22,7241789086934.198,9494220000000.0
2023-03-23,7134338736134.156,9312202000000.0
2023-03-24,7130251503418.881,9185962000000.0
2023-03-27,7180486488065.648,8996083000000.0
2023-03-28,7280568193975.828,8755766000000.0
2023-03-29,7327656690015.436,8473505000000.0
2023-03-30,7329609056130.3,8297590600000.0
2023-03-31,7311879440106.99,8165880500000.0
2023-04-03,7325304612948.525,8214321600000.0
2023-04-04,7377407923525.817,8268111400000.0
2023-04-05,7386760734863.338,8239050700000.0
2023-04-06,7381242028884.785,8227305000000.0
2023-04-10,7392704293514.875,8123951000000.0
2023-04-11,7456405885919.867,7955036500000.0
2023-04-12,7458800690876.361,7813338000000.0
2023-04-13,7436068020306.84,7759057600000.0
2023-04-14,7425769673904.032,7739119500000.0
2023-04-17,7439059761573.263,7676769600000.0
2023-04-18,7480621241477.633,7605690300000.0
2023-04-19,7562548273470.363,7550491000000.0
2023-04-20,7581020926639.163,7485119000000.0
2023-04-21,7592445290056.44,7508512500000.0
2023-04-24,7669704020394.289,7512137000000.0
2023-04-25,7680119630116.693,7422394500000.0
2023-04-26,7762637674848.008,7425892000000.0
2023-04-27,7788034268058.771,7512051000000.0
2023-04-28,7849370911009.155,7649145400000.0
2023-05-01,8165378370792.168,7752800300000.0
2023-05-02,8215484158206.751,7678190000000.0
2023-05-03,8260014263599.913,7702715600000.0
2023-05-04,8254173105702.081,7756202000000.0
2023-05-05,8264896987743.909,7822136000000.0
2023-05-08,8410938357900.267,7835948700000.0
2023-05-09,8481869525138.125,7720336400000.0
2023-05-10,8488797480811.607,7576978000000.0
2023-05-11,8536473525553.659,7584974000000.0
2023-05-12,8662595360267.004,7581271600000.0
2023-05-15,8830422984783.71,7520680700000.0
2023-05-16,8963761759054.584,7413537000000.0
2023-05-17,9304733328297.52,7372363000000.0
2023-05-18,9332188583780.205,7434508700000.0
2023-05-19,9379558876991.248,7576732300000.0
2023-05-22,9405049542817.762,7690766000000.0
2023-05-23,9593642514076.826,7730385000000.0
2023-05-24,9596348292564.635,7798702700000.0
2023-05-25,9518091832496.693,7840433400000.0
2023-05-26,9475919943888.146,8035815000000.0
2023-05-30,9385371595970.4,8212191400000.0
2023-05-31,9157907269123.883,8383063700000.0
2023-06-01,8946648536305.514,8790135000000.0
