date,actual,pred
2023-01-03,8099883911274.946,6887005000000.0
2023-01-04,8216489012625.982,6895220000000.0
2023-01-05,8262160380643.825,6929222000000.0
2023-01-06,8333149613174.889,7002855600000.0
2023-01-09,8360577745867.116,7061765600000.0
2023-01-10,8468969267192.007,7181789000000.0
2023-01-11,8487921772362.319,7291296300000.0
2023-01-12,8467558839501.219,7267374000000.0
2023-01-13,8528272270651.024,7227493600000.0
2023-01-17,8533144359678.842,7066009700000.0
2023-01-18,8561506312219.71,7087985000000.0
2023-01-19,8615023134070.287,7177570400000.0
2023-01-20,8606481328185.884,7205800000000.0
2023-01-23,8593218061085.051,7216708000000.0
2023-01-24,8655845572102.946,7263050300000.0
2023-01-25,8654521587473.224,7290990600000.0
2023-01-26,8613976092473.502,7311294000000.0
2023-01-27,8622117897091.473,7296444000000.0
2023-01-30,8627209750181.582,7302054700000.0
2023-01-31,8572995395175.349,7406894000000.0
2023-02-01,8466606827494.018,7456094000000.0
2023-02-02,8245336360716.474,7437628700000.0
2023-02-03,8129031010415.793,7702980000000.0
2023-02-06,8084797146170.608,7996947600000.0
2023-02-07,8036410705874.218,8315161000000.0
2023-02-08,8108597080230.643,8477821000000.0
2023-02-09,8198060367888.714,8796610000000.0
2023-02-10,8293217191390.542,9047015000000.0
2023-02-13,8448350184383.345,9233602000000.0
2023-02-14,8552259381342.093,9391899000000.0
2023-02-15,8911449195937.002,9443327000000.0
2023-02-16,8906762576883.512,9390198000000.0
2023-02-17,8907026852891.45,9488554000000.0
2023-02-21,8916798224213.068,9558087000000.0
2023-02-22,8953596158057.738,9729238000000.0
2023-02-23,8929605260701.123,9758303000000.0
2023-02-24,8898166704334.088,9797562000000.0
2023-02-27,8867127264976.318,9773335000000.0
2023-02-28,8792899706602.288,9757074000000.0
2023-03-01,8752088329482.589,9731556000000.0
2023-03-02,8784318376806.74,9665221000000.0
2023-03-03,8785563831935.92,9567061000000.0
2023-03-06,8763545246061.002,9479057000000.0
2023-03-07,8762327866905.922,9434342000000.0
2023-03-08,8754861635302.509,9444498000000.0
2023-03-09,8664619995978.494,9454465000000.0
2023-03-10,8500347493594.11,9563703000000.0
2023-03-13,8329529169394.2,9738055000000.0
2023-03-14,8195714411103.186,9909763000000.0
