date,actual,pred
2023-01-03,366421685444.583,306066200000.0
2023-01-04,330694015191.7134,322397180000.0
2023-01-05,372900825530.29346,331750470000.0
2023-01-06,379258656525.76697,340270600000.0
2023-01-09,319662055561.93866,340896870000.0
2023-01-10,363102449018.5793,351457900000.0
2023-01-11,371471183726.68274,346729150000.0
2023-01-12,335143083036.9447,350831670000.0
2023-01-13,372705644118.1733,344522720000.0
2023-01-17,377696913656.18256,341548340000.0
2023-01-18,353690639719.4868,351905320000.0
2023-01-19,398266846428.50397,366391530000.0
2023-01-20,392457607370.5275,373794730000.0
2023-01-23,330101358762.0445,375582100000.0
2023-01-24,371412492435.28625,379116680000.0
2023-01-25,382645171092.05817,373754100000.0
2023-01-26,410508163087.6619,371793130000.0
2023-01-27,369868410261.03375,372295570000.0
2023-01-30,427563916821.5688,376394650000.0
2023-01-31,485685314040.7866,387939930000.0
2023-02-01,588627479445.1163,392953270000.0
2023-02-02,483026786795.6452,393462550000.0
2023-02-03,376365383209.54236,410418120000.0
2023-02-06,443890058061.37213,421431870000.0
2023-02-07,406686789217.9954,429496370000.0
2023-02-08,428053576886.8182,426939900000.0
2023-02-09,382054954188.8812,430362300000.0
2023-02-10,351108250865.5791,436742800000.0
2023-02-13,395856514186.7634,433873400000.0
2023-02-14,377577733145.99835,423809800000.0
2023-02-15,406058866197.0521,409101960000.0
2023-02-16,407207461570.0421,398968620000.0
2023-02-17,389725040544.1023,408264770000.0
2023-02-21,379194340269.70435,413209620000.0
2023-02-22,392728869779.9461,429833200000.0
2023-02-23,370088507805.55096,428478500000.0
2023-02-24,342099676092.3339,416732580000.0
2023-02-27,418649967705.6412,411767540000.0
2023-02-28,374960263351.1346,399818000000.0
2023-03-01,373349561815.3444,396281580000.0
2023-03-02,379296746359.44,395077840000.0
2023-03-03,367357012667.58936,389158300000.0
2023-03-06,366721436494.9701,382758320000.0
2023-03-07,332131518964.35345,382867830000.0
2023-03-08,395503617764.96844,390232340000.0
2023-03-09,478873163574.44086,388025780000.0
2023-03-10,517516864544.8864,408596600000.0
2023-03-13,477211777690.7132,432513420000.0
2023-03-14,506241243858.3554,452035540000.0
2023-03-15,499765711145.5265,440365580000.0
2023-03-16,736767547740.8927,447287560000.0
2023-03-17,401372247143.5621,431457900000.0
2023-03-20,407471737577.979,442302500000.0
2023-03-21,399496411865.7385,437737780000.0
2023-03-22,415992274114.36725,414473400000.0
2023-03-23,368737972423.33923,406372250000.0
2023-03-24,338649951438.5082,404499300000.0
2023-03-27,311060236734.5674,396735350000.0
2023-03-28,344422409331.61584,383207570000.0
2023-03-29,334148886231.4185,369450500000.0
2023-03-30,405579609139.4932,361439820000.0
2023-03-31,380542201488.6286,360697430000.0
2023-04-03,345338426792.674,368697930000.0
2023-04-04,365504057339.88745,377409670000.0
2023-04-05,324665287360.93774,384973100000.0
2023-04-06,305261978440.9528,390031400000.0
2023-04-10,314600661190.0587,385496250000.0
2023-04-11,346698540344.98584,382630560000.0
2023-04-12,343397019399.6878,379218660000.0
2023-04-13,321543086644.9851,379055240000.0
2023-04-14,323765524304.4371,372500100000.0
2023-04-17,329342093954.9813,365121140000.0
2023-04-18,321655900966.9133,362337830000.0
2023-04-19,359083673812.0182,362660720000.0
2023-04-20,341799295479.73816,361658420000.0
2023-04-21,308541923314.3221,370439030000.0
2023-04-24,364650739708.0753,373407100000.0
2023-04-25,388884936085.2681,371920080000.0
2023-04-26,411141942644.75867,385188300000.0
2023-04-27,391510905371.1983,393486500000.0
2023-04-28,336101252346.2915,388635360000.0
2023-05-01,387849993116.19135,381814050000.0
2023-05-02,393967374330.1714,378855030000.0
2023-05-03,397441737369.9509,391078770000.0
2023-05-04,374856868677.4047,401877730000.0
2023-05-05,319146581382.3841,417023600000.0
2023-05-08,316724243071.0545,400493480000.0
2023-05-09,378302253595.03906,384786600000.0
2023-05-10,349093345301.4786,377495360000.0
2023-05-11,320664348830.1723,373644330000.0
2023-05-12,311244740242.1935,373556670000.0
2023-05-15,337055611973.6547,371763350000.0
2023-05-16,370903573859.34393,368029760000.0
2023-05-17,403582932959.6633,372932350000.0
2023-05-18,377556326980.8022,372143620000.0
2023-05-19,353223658897.0286,374328400000.0
2023-05-22,385800653652.17096,384307700000.0
2023-05-23,375066349430.4821,390932600000.0
2023-05-24,471402980816.5732,403185240000.0
2023-05-25,436538535855.5134,416384580000.0
2023-05-26,452847548321.58044,418765240000.0
2023-05-30,652108712129.3252,414409360000.0
2023-05-31,437955780530.76666,412922870000.0
2023-06-01,438497479723.33014,425738040000.0
2023-06-02,391600579472.12134,421753500000.0
2023-06-05,385580750719.22217,414832500000.0
2023-06-06,465187951538.7633,412521400000.0
2023-06-07,387655410308.8996,406925280000.0
2023-06-08,385230209268.5184,411288730000.0
2023-06-09,396769390043.5354,413959850000.0
2023-06-12,446786183543.5291,416492600000.0
2023-06-13,479072364758.89545,426271870000.0
2023-06-14,470394386244.52936,431947840000.0
2023-06-15,711875143102.2666,435163800000.0
2023-06-16,431038188442.35864,444464960000.0
2023-06-20,424926620191.83936,453376480000.0
2023-06-21,378714324723.52704,462254150000.0
2023-06-22,574393624911.2495,458468820000.0
2023-06-23,377772127918.3098,449955530000.0
2023-06-26,393146520748.6012,454436200000.0
2023-06-27,394366647246.9637,461170970000.0
2023-06-28,362299200403.84906,454960870000.0
2023-06-29,424644385282.81836,446736760000.0
2023-06-30,226697047712.38104,439360500000.0
2023-07-03,371539449209.69653,437489000000.0
2023-07-05,385544724253.70123,414830070000.0
2023-07-06,371720508021.70337,408810230000.0
2023-07-07,384726680685.8697,419763200000.0
2023-07-10,372453249312.6318,420790860000.0
2023-07-11,434711762741.99695,422906230000.0
2023-07-12,420533808728.0416,421034160000.0
2023-07-13,428568570667.67554,416192430000.0
2023-07-14,398422347514.32935,418928160000.0
2023-07-17,449650656033.6139,422307270000.0
2023-07-18,472837916869.4394,425603270000.0
2023-07-19,486328525271.46606,429506200000.0
2023-07-20,579025447822.1926,438934140000.0
2023-07-21,389184197390.54175,448406600000.0
2023-07-24,398031779619.5343,456074700000.0
2023-07-25,435584203827.4178,459605250000.0
2023-07-26,487945019427.3354,454606100000.0
2023-07-27,433773838273.0596,446738430000.0
2023-07-28,425297218675.30225,453359200000.0
2023-07-31,391523702191.9463,450226800000.0
2023-08-01,465485591389.3529,448872940000.0
2023-08-02,429570295743.74567,446791300000.0
2023-08-03,444509740321.3839,459413320000.0
2023-08-04,374753225547.20514,463009480000.0
2023-08-07,397798504379.6815,468300230000.0
2023-08-08,393504440396.93774,454858500000.0
2023-08-09,399476306642.8337,444725300000.0
2023-08-10,344150714160.52954,437382220000.0
2023-08-11,362329256167.9346,432032700000.0
2023-08-14,357155941657.4157,418003900000.0
2023-08-15,365312038793.36304,409697780000.0
2023-08-16,393852447718.17725,416130530000.0
2023-08-17,399331320229.05176,419814440000.0
2023-08-18,391207553209.93866,428474400000.0
2023-08-21,349612635935.0503,427743580000.0
2023-08-22,383645460807.44995,424827100000.0
2023-08-23,410740968579.55865,417763980000.0
2023-08-24,371997496517.21936,407593320000.0
2023-08-25,311626788061.8368,414075940000.0
2023-08-28,379510977924.8356,406833700000.0
2023-08-29,356718689316.6943,392995270000.0
2023-08-30,427451069632.1224,386602200000.0
2023-08-31,355302855426.5323,383665370000.0
2023-09-01,370245709700.9933,390035900000.0
2023-09-05,366818351321.268,392111800000.0
2023-09-06,399896461633.61066,401115740000.0
2023-09-07,347332072203.49133,408869470000.0
2023-09-08,376468945616.5986,414088560000.0
2023-09-11,364341774108.8636,410026080000.0
2023-09-12,371815432656.3913,407839050000.0
2023-09-13,391901831073.04504,409672780000.0
2023-09-14,708703712602.6359,405658200000.0
2023-09-15,338488212158.79193,402544400000.0
2023-09-18,340856296088.6158,424665870000.0
2023-09-19,342371815391.1078,435446900000.0
