date,actual,pred
2023-01-03,8099883911274.946,6789568070818.733
2023-01-04,8216489012625.982,6959929031253.374
2023-01-05,8262160380643.825,7365193124250.954
2023-01-06,8333149613174.889,7762894402809.752
2023-01-09,8360577745867.116,7917914033261.048
2023-01-10,8468969267192.007,7762276397972.1455
2023-01-11,8487921772362.319,7799817897770.23
2023-01-12,8467558839501.219,8141281031204.944
2023-01-13,8528272270651.024,8537704269160.173
2023-01-17,8533144359678.842,8511505902873.159
2023-01-18,8561506312219.71,8345546648808.077
2023-01-19,8615023134070.287,7142451965779.519
2023-01-20,8606481328185.884,7962038939887.14
2023-01-23,8593218061085.051,7966036843407.03
2023-01-24,8655845572102.946,7939645638982.542
2023-01-25,8654521587473.224,8200414964838.208
2023-01-26,8613976092473.502,8555442514230.478
2023-01-27,8622117897091.473,8698473937551.151
2023-01-30,8627209750181.582,8461654174333.979
2023-01-31,8572995395175.349,8450075696962.688
2023-02-01,8466606827494.018,8612098811116.371
2023-02-02,8245336360716.474,9072144170877.838
2023-02-03,8129031010415.793,9227126493444.291
2023-02-06,8084797146170.608,8886618651747.197
2023-02-07,8036410705874.217,9072195842257.441
2023-02-08,8108597080230.643,8871712299426.264
2023-02-09,8198060367888.714,8832743023982.285
2023-02-10,8293217191390.542,8559170595991.697
2023-02-13,8448350184383.345,8293690402880.705
2023-02-14,8552259381342.094,8613247703229.595
2023-02-15,8911449195937.002,8792270654837.344
2023-02-16,8906762576883.512,8760713879429.196
2023-02-17,8907026852891.45,8751764805309.034
2023-02-21,8916798224213.068,8681074351020.986
2023-02-22,8953596158057.738,8616452213713.616
2023-02-23,8929605260701.123,8712618101995.223
2023-02-24,8898166704334.088,8555040972456.903
2023-02-27,8867127264976.318,8322588131880.702
2023-02-28,8792899706602.288,8603128505209.617
2023-03-01,8752088329482.589,8524676153952.623
2023-03-02,8784318376806.74,8319406376183.332
2023-03-03,8785563831935.92,8711750820189.59
2023-03-06,8763545246061.002,8871210923958.848
2023-03-07,8762327866905.922,8628483479525.136
2023-03-08,8754861635302.509,8459872482414.19
2023-03-09,8664619995978.494,8365986849343.201
2023-03-10,8500347493594.11,8520548771723.637
2023-03-13,8329529169394.2,8730911888357.617
2023-03-14,8195714411103.186,8884293858294.502
2023-03-15,8011016253889.801,9296398169676.02
2023-03-16,7835016067048.71,9605967967545.496
2023-03-17,7427590613262.8125,9979014668198.998
2023-03-20,7347874267086.17,9310903694974.154
2023-03-21,7299486203320.197,9154739090029.523
2023-03-22,7241789086934.198,9049640798443.705
2023-03-23,7134338736134.156,9258595896735.441
2023-03-24,7130251503418.881,8966443045113.781
2023-03-27,7180486488065.648,8668762729240.756
2023-03-28,7280568193975.828,8623823724196.543
2023-03-29,7327656690015.436,8420002825901.801
2023-03-30,7329609056130.3,8601450626465.329
2023-03-31,7311879440106.99,9035724508332.814
2023-04-03,7325304612948.525,9031727923920.049
2023-04-04,7377407923525.817,8800895593598.094
2023-04-05,7386760734863.338,8689551796397.705
2023-04-06,7381242028884.785,8811196422060.635
2023-04-10,7392704293514.875,8833353586777.209
2023-04-11,7456405885919.867,8562886154965.041
2023-04-12,7458800690876.361,8488774804421.733
2023-04-13,7436068020306.84,8723735523162.596
2023-04-14,7425769673904.032,8857864819059.885
2023-04-17,7439059761573.263,8997797111740.771
2023-04-18,7480621241477.633,9046235859320.629
2023-04-19,7562548273470.363,9016243276875.63
2023-04-20,7581020926639.163,8955124201592.203
2023-04-21,7592445290056.44,8933866272988.36
2023-04-24,7669704020394.289,8791638864290.926
2023-04-25,7680119630116.693,8764696933230.631
2023-04-26,7762637674848.008,8787787344569.38
2023-04-27,7788034268058.771,8684567268804.655
2023-04-28,7849370911009.155,8572174516917.94
2023-05-01,8165378370792.168,8628681603468.703
2023-05-02,8215484158206.751,8694379584163.172
2023-05-03,8260014263599.913,8638279503193.47
2023-05-04,8254173105702.081,8472201816255.177
2023-05-05,8264896987743.909,8448735736038.64
2023-05-08,8410938357900.267,8406820626833.357
2023-05-09,8481869525138.125,8624496312703.212
2023-05-10,8488797480811.607,8655583420210.601
2023-05-11,8536473525553.659,8716446929949.972
