date,actual,pred
2023-01-03,1768937238254.2961,1255440101651.6492
2023-01-04,1765618001828.293,1397224800404.0632
2023-01-05,1806395170363.2634,1540081397757.8496
2023-01-06,1768637427869.9138,1768251408887.4553
2023-01-09,1762084415462.3208,1795015462580.2966
2023-01-10,1820119273556.559,1653490863912.032
2023-01-11,1810707464257.466,1776316762179.3892
2023-01-12,1837503126959.2876,1812785639854.5366
2023-01-13,1894817651292.8752,1806583034226.6206
2023-01-17,1852213365936.7478,1834049829450.4985
2023-01-18,1845928944715.851,1825688170835.9736
2023-01-19,1874883476088.4211,1869499425451.9294
2023-01-20,1887124792747.576,1959397706147.2031
2023-01-23,1864535595638.0881,1976805830900.1377
2023-01-24,1961998153697.6091,1722796989323.652
2023-01-25,2076270975303.1125,1889060316327.006
2023-01-26,2282253283656.1675,1794816440126.5977
2023-01-27,2354771907364.149,1975592577228.824
2023-01-30,2361268880312.657,2002278172779.1238
2023-01-31,2377595021552.465,2162450452212.5237
2023-02-01,2298596496729.671,2167208600461.8455
2023-02-02,2138022594171.373,2341085768614.3906
2023-02-03,2037050761564.6084,2338102298805.905
2023-02-06,2011793629220.6458,2022968315600.2402
2023-02-07,1963760085346.04,2163917273720.4988
2023-02-08,1934651029274.0386,2137441785590.2627
2023-02-09,1912656318584.2734,2094503794378.3257
2023-02-10,1937808825965.436,2052141051510.7783
2023-02-13,1976425615643.9546,1912324714664.9224
2023-02-14,1959763441726.9014,1969646895973.8748
2023-02-15,1974914578360.8481,1884377322251.2878
2023-02-16,1938944219969.346,2029507919232.8467
2023-02-17,1873836434491.6353,2155473261836.2493
2023-02-21,1902761361653.175,2012004775394.6272
2023-02-22,1898527284734.61,2016974056307.3628
2023-02-23,1879147976770.0088,2063528012347.0225
2023-02-24,1888356215323.8953,1994550068897.7053
2023-02-27,1913613551899.1501,1825705262308.2827
2023-02-28,1861685020688.4792,1988496394803.7
2023-03-01,1818856276301.6978,1861162013393.652
2023-03-02,1841010332251.3198,1886599549926.9065
2023-03-03,1940586749466.3225,1958717561567.4717
2023-03-06,2090746601343.617,1951379029909.1194
2023-03-07,2201236942539.362,1941827009720.0547
2023-03-08,2375346667433.365,1761421695132.2808
2023-03-09,2479608760813.9277,1871252942304.6187
2023-03-10,2737503144980.38,2021916803317.1428
2023-03-13,2621358527579.053,2212315057061.9214
2023-03-14,2551618487466.315,2316880653186.6284
2023-03-15,2444873655473.7007,2658386368404.3286
2023-03-16,2361100218442.541,2622104816869.078
2023-03-17,1993070643124.987,2705824956337.3926
2023-03-20,1930348347419.9324,2275936851264.9995
2023-03-21,1833936846576.5222,2221810309224.146
2023-03-22,1778862844042.3982,2135062945635.3528
2023-03-23,1697019456159.4475,2149695739407.1707
2023-03-24,1733861092875.6057,2074480096330.5732
2023-03-27,1775753342925.726,1807572703804.5212
2023-03-28,1810031532983.834,1694150363976.832
2023-03-29,1831113180992.103,1782444519332.5334
2023-03-30,1821629582121.624,1767959284811.6562
2023-03-31,1721311951423.0808,1828224924783.3354
2023-04-03,1655370411124.507,1783536324199.7468
2023-04-04,1656730524676.8196,1793055076395.1885
2023-04-05,1634623486736.6223,1851508628168.2573
2023-04-06,1631501286020.6682,1698985306554.4238
2023-04-10,1650004831884.1565,1623922796130.9517
2023-04-11,1664746264649.0752,1738856258551.4453
2023-04-12,1639703625271.0032,1773426306631.3232
2023-04-13,1655390279683.3335,1742699165473.9658
2023-04-14,1675646488518.0876,1715836815208.27
2023-04-17,1660422887527.9739,1729749262073.6929
2023-04-18,1695731533281.0703,1752461249993.9775
2023-04-19,1762960568399.425,1742147550878.427
2023-04-20,1815018837232.1628,1788851097963.6006
2023-04-21,1864730447123.624,1753904148500.0544
2023-04-24,1892289776155.5962,1635169571907.3706
2023-04-25,1915489029563.707,1807488469931.7893
2023-04-26,1920571467808.6074,1791606274828.663
2023-04-27,1906871262533.8008,1881754648237.0894
2023-04-28,1890217225840.0122,2024993545471.0889
2023-05-01,1873262554876.1045,1817350980417.9807
2023-05-02,1802136804830.9648,1900258936861.8176
2023-05-03,1786471684095.832,1950969544992.8203
2023-05-04,1738123292027.361,1991721279233.1755
2023-05-05,1683930772180.127,2024701602203.6643
2023-05-08,1676028931039.9395,1792778897239.5208
2023-05-09,1696360299942.5388,1709921541058.005
2023-05-10,1688961620206.8428,1777630262130.262
2023-05-11,1743451207865.0251,1744318527459.4084
2023-05-12,1800343186015.656,1687512963570.6123
2023-05-15,1842322104670.494,1716623577625.9028
2023-05-16,1891067146349.0105,1759148281373.1846
2023-05-17,1895229921920.145,1745778747718.3179
2023-05-18,1963049969777.0552,1834345902839.367
2023-05-19,2022032178651.7695,1881244368656.3389
2023-05-22,2121656068076.319,1978562218968.654
2023-05-23,2387964126553.4727,1978376747743.1233
2023-05-24,2450853557653.7583,1960826916416.5276
2023-05-25,2417948056560.5166,2055848465260.6157
2023-05-26,2373010100177.12,2088956640555.3015
2023-05-30,2305743302574.766,2220911657170.259
2023-05-31,2118822541984.206,2571871787024.742
2023-06-01,2068522171762.3354,2173405870350.6885
2023-06-02,2015254901307.5227,2249716016116.4243
2023-06-05,2020423711878.938,2048588782301.2986
2023-06-06,2081629144703.2488,1951885694453.8672
2023-06-07,2095513557923.3752,2078311736041.6077
2023-06-08,2178252533859.012,2023166788880.1946
2023-06-09,2504897467692.758,1942155219932.9077
2023-06-12,2539166266091.5796,2004151807839.0964
2023-06-13,2517306702739.894,2094215000341.5806
2023-06-14,2416948662704.519,2184155396605.45
2023-06-15,2520947901371.2427,2277226854181.1597
2023-06-16,2186844886187.286,2529402803921.153
2023-06-20,2148953218493.5232,2365397699140.748
2023-06-21,2118393245548.6472,2284007723907.427
2023-06-22,2101978121228.9702,2046279339441.621
2023-06-23,1952228881600.5425,2115560964641.6973
2023-06-26,1801153801394.6123,2015651241711.9038
2023-06-27,1779546729855.707,2012010055317.0608
2023-06-28,1770724806862.4468,2066223639775.3071
2023-06-29,1780146114480.298,1963098994103.0337
2023-06-30,1740228409883.354,2133161665360.756
2023-07-03,1885984611483.6057,1335011065442.1033
2023-07-05,1949156925015.9001,1583148000441.555
2023-07-06,1984146009490.2434,1713107187996.4775
2023-07-07,2040994072136.2131,1605215475545.8257
2023-07-10,2054689738964.674,1944369785619.9402
2023-07-11,2131887145685.6565,2007662004317.6108
2023-07-12,2170013299813.1008,2049837704011.015
2023-07-13,2235808016356.5254,2114767346860.0325
2023-07-14,2386264893511.0435,2131259089472.6707
2023-07-17,2377026743387.2495,2053553512476.185
2023-07-18,2325407866973.1714,2109582015221.1401
2023-07-19,2288154153931.1475,2224040496430.1426
2023-07-20,2289770648087.0205,2295392945339.4673
2023-07-21,2144519038537.8887,2551150878370.9585
2023-07-24,2180632059822.6484,2054964508309.8464
2023-07-25,2174123982395.0627,2117337438611.4045
2023-07-26,2204025369956.9937,2113972502278.218
2023-07-27,2145650646273.4043,2157049569765.2634
2023-07-28,2156386548321.73,2126855522841.1326
2023-07-31,2105842555193.6326,2195877601611.4592
2023-08-01,2112117357381.372,2055504430671.5862
2023-08-02,2040136206388.9558,2164672760055.577
2023-08-03,2010042217288.0437,2158380297532.0903
2023-08-04,1909683191127.1877,2202915383739.6914
2023-08-07,1897259221747.9187,2012457879739.7034
2023-08-08,1856616659025.649,2024662837326.619
2023-08-09,1828424257422.0774,2018198061834.5813
2023-08-10,1822800398497.4214,2030344858319.4966
2023-08-11,1877981004565.9404,1793995514175.1343
2023-08-14,1906859301607.95,1895169408931.41
2023-08-15,1899315995885.58,1803094538827.981
2023-08-16,1917649417899.6702,1815316612235.6174
2023-08-17,1934537938761.0466,1996700195095.082
2023-08-18,1907204115049.2148,2069152841259.8484
2023-08-21,1827623349901.1165,1952474601528.8948
2023-08-22,1857521691890.9001,1806724355056.1926
2023-08-23,1830594920400.141,1965430900626.1487
2023-08-24,1847305021452.706,2100554914160.2456
2023-08-25,1830610380362.0212,1933977623113.5503
2023-08-28,1889229302001.1804,1790641409004.636
2023-08-29,1876536675397.6106,1825859438900.2183
2023-08-30,1919714447714.5254,1786413005832.1372
2023-08-31,1839595450285.8982,1833467524094.927
2023-09-01,1860761540475.9646,1926098385127.8035
2023-09-05,1854857604883.832,1963507112354.4285
2023-09-06,1859854686218.9546,1966792037898.5188
2023-09-07,1851860055658.3936,2040143992853.819
2023-09-08,2213231696057.533,1753512326247.0518
2023-09-11,2175250962599.727,1865276115972.9304
2023-09-12,2151765484579.4792,1817343973655.4485
2023-09-13,2122321867314.1943,1811398914576.1902
2023-09-14,2141380128901.4626,1978092903640.8718
2023-09-15,1792277620408.8582,1979114659486.6616
2023-09-18,1771248367228.9773,1772402043306.2827
2023-09-19,1789241416488.8503,1790300003805.123
2023-09-20,1837775600208.4067,1766180592692.8865
2023-09-21,1807367976449.7058,1910409869347.8042
2023-09-22,1843748264537.7146,1775453610965.003
2023-09-25,1903073305253.4353,1663623272478.6646
2023-09-26,1927215997584.8013,1793354128156.7783
2023-09-27,1910439803710.1204,1835268993463.2363
2023-09-28,1886786346239.7412,1858514930631.761
2023-09-29,1903432989860.2273,2024889804993.8499
2023-10-02,1853703516956.5706,1947288087345.4338
2023-10-03,1839892132501.5776,1925714109648.8376
2023-10-04,1831251688846.8562,1991636209298.7932
2023-10-05,1865444132612.3667,1926149162380.3518
2023-10-06,1830925045655.0076,2053136314205.7908
2023-10-09,1857868667009.1284,1730745727977.6226
2023-10-10,1899857311147.4229,1836234456527.4958
2023-10-11,1926824638073.6318,1807652374775.9578
2023-10-12,1978618810344.3145,1818781145115.5562
2023-10-13,2019695914490.6428,1945331598946.119
2023-10-16,2050469262959.0256,1958317855909.7163
2023-10-17,2020287253428.9458,2068919241803.6147
2023-10-18,2055008793637.4084,2031657736962.068
2023-10-19,2068114422261.886,2132217006339.8079
2023-10-20,2050504421143.0261,2189590921030.0083
2023-10-23,2051232360712.9124,2006020965761.3467
2023-10-24,2069428074755.395,1974599553209.1438
2023-10-25,2080128909588.3386,2052761584189.1243
2023-10-26,2087131376260.9727,2133070985882.3977
2023-10-27,2131911235555.359,2079632996031.9639
2023-10-30,2118469786046.8909,1965882783075.3525
2023-10-31,2107625077335.4268,2013922283076.5586
2023-11-01,2036812859187.112,2062615026407.1113
2023-11-02,1980841892165.8745,2142684902197.8757
2023-11-03,1929683365758.8076,2192910881321.3179
2023-11-06,1901675713411.1707,2001064665153.41
2023-11-07,1980166055314.6074,1929190963331.6428
2023-11-08,2066844945280.885,1970757111643.2637
2023-11-09,2072302859331.8135,2034572140729.4539
2023-11-10,2072487792519.2197,2122345518340.2268
2023-11-13,2119393919468.1777,1781105521187.5715
2023-11-14,2023299174785.575,2021574547097.6704
2023-11-15,1922881499767.7405,2053767197539.9365
2023-11-16,1681211163814.9949,2134621591808.296
2023-11-17,1649584266770.845,2083537167412.3772
2023-11-20,1640153590667.9285,1989202670699.4421
