date,actual,pred
2023-01-03,8099883911274.946,7546919700000.0
2023-01-04,8216489012625.982,7658152700000.0
2023-01-05,8262160380643.825,7676213300000.0
2023-01-06,8333149613174.889,7669262000000.0
2023-01-09,8360577745867.116,8106491000000.0
2023-01-10,8468969267192.007,7975105000000.0
2023-01-11,8487921772362.319,8033302000000.0
2023-01-12,8467558839501.219,7994691000000.0
2023-01-13,8528272270651.024,7966394000000.0
2023-01-17,8533144359678.842,8072484400000.0
2023-01-18,8561506312219.71,8103399000000.0
2023-01-19,8615023134070.287,7326007300000.0
2023-01-20,8606481328185.884,7386550500000.0
2023-01-23,8593218061085.051,7328537000000.0
2023-01-24,8655845572102.946,7211451400000.0
2023-01-25,8654521587473.224,7300913000000.0
2023-01-26,8613976092473.502,8079971000000.0
2023-01-27,8622117897091.473,8199592000000.0
2023-01-30,8627209750181.582,8146201300000.0
2023-01-31,8572995395175.349,8318476600000.0
2023-02-01,8466606827494.018,8352993600000.0
2023-02-02,8245336360716.474,8976680000000.0
2023-02-03,8129031010415.793,9235857000000.0
2023-02-06,8084797146170.608,8666378000000.0
2023-02-07,8036410705874.217,9005954000000.0
2023-02-08,8108597080230.643,8755114700000.0
2023-02-09,8198060367888.714,8747570000000.0
2023-02-10,8293217191390.542,8489747000000.0
2023-02-13,8448350184383.345,8323396500000.0
2023-02-14,8552259381342.094,8450344000000.0
2023-02-15,8911449195937.002,8403603000000.0
2023-02-16,8906762576883.512,8531107000000.0
2023-02-17,8907026852891.45,8649121500000.0
2023-02-21,8916798224213.068,8525803700000.0
2023-02-22,8953596158057.738,8462505300000.0
2023-02-23,8929605260701.123,8693662000000.0
2023-02-24,8898166704334.088,8663171300000.0
2023-02-27,8867127264976.318,8359608000000.0
2023-02-28,8792899706602.288,8563189600000.0
2023-03-01,8752088329482.589,8465605500000.0
2023-03-02,8784318376806.74,8401103400000.0
2023-03-03,8785563831935.92,8447572000000.0
2023-03-06,8763545246061.002,8355846300000.0
2023-03-07,8762327866905.922,8410434000000.0
