date,actual,pred
2023-01-03,1768937238254.2961,1255657800000.0
2023-01-04,1765618001828.293,1340810600000.0
2023-01-05,1806395170363.2634,1439484200000.0
2023-01-06,1768637427869.9138,1796901400000.0
2023-01-09,1762084415462.3208,1718092000000.0
2023-01-10,1820119273556.559,1638024000000.0
2023-01-11,1810707464257.466,1817555800000.0
2023-01-12,1837503126959.2876,1830539600000.0
2023-01-13,1894817651292.8752,1772569200000.0
2023-01-17,1852213365936.7478,1831783100000.0
2023-01-18,1845928944715.851,1849268900000.0
2023-01-19,1874883476088.4211,1825445800000.0
2023-01-20,1887124792747.576,1953191000000.0
2023-01-23,1864535595638.0881,1928018100000.0
2023-01-24,1961998153697.6091,1769637000000.0
2023-01-25,2076270975303.1125,1913736800000.0
2023-01-26,2282253283656.1675,1744901800000.0
2023-01-27,2354771907364.149,1968333700000.0
2023-01-30,2361268880312.657,1933512700000.0
2023-01-31,2377595021552.465,2112285800000.0
2023-02-01,2298596496729.671,2147539200000.0
2023-02-02,2138022594171.373,2304008500000.0
2023-02-03,2037050761564.6084,2351746500000.0
2023-02-06,2011793629220.6458,1934984700000.0
2023-02-07,1963760085346.04,2254210600000.0
2023-02-08,1934651029274.0386,2198265400000.0
2023-02-09,1912656318584.2734,2073565100000.0
2023-02-10,1937808825965.436,2068359000000.0
2023-02-13,1976425615643.9546,1868228900000.0
2023-02-14,1959763441726.9014,2042862500000.0
2023-02-15,1974914578360.8481,1962152600000.0
2023-02-16,1938944219969.346,2037302200000.0
2023-02-17,1873836434491.6353,2083508000000.0
2023-02-21,1902761361653.175,1953999600000.0
2023-02-22,1898527284734.61,2010235900000.0
2023-02-23,1879147976770.0088,1994272700000.0
2023-02-24,1888356215323.8953,2020129500000.0
2023-02-27,1913613551899.1501,1827773100000.0
2023-02-28,1861685020688.4792,2051554500000.0
2023-03-01,1818856276301.6978,1873774500000.0
2023-03-02,1841010332251.3198,1855023600000.0
2023-03-03,1940586749466.3225,1963856200000.0
