date,actual,pred
2023-01-03,366421685444.583,288186370000.0
2023-01-04,330694015191.7134,299274570000.0
2023-01-05,372900825530.29346,309819930000.0
2023-01-06,379258656525.76697,368194060000.0
2023-01-09,319662055561.93866,369193350000.0
2023-01-10,363102449018.5793,334689960000.0
2023-01-11,371471183726.68274,363928060000.0
2023-01-12,335143083036.9447,362116060000.0
2023-01-13,372705644118.1733,351053250000.0
2023-01-17,377696913656.18256,371917260000.0
2023-01-18,353690639719.4868,369193350000.0
2023-01-19,398266846428.50397,368732400000.0
2023-01-20,392457607370.5275,393059000000.0
2023-01-23,330101358762.0445,391835160000.0
2023-01-24,371412492435.28625,356076550000.0
2023-01-25,382645171092.05817,371898120000.0
2023-01-26,410508163087.6619,368409020000.0
2023-01-27,369868410261.03375,406569200000.0
2023-01-30,427563916821.5688,387478500000.0
2023-01-31,485685314040.7866,421087940000.0
2023-02-01,588627479445.1163,413656000000.0
2023-02-02,483026786795.6452,480053500000.0
2023-02-03,376365383209.54236,474748600000.0
2023-02-06,443890058061.37213,398396820000.0
2023-02-07,406686789217.9954,433821250000.0
2023-02-08,428053576886.8182,430154700000.0
2023-02-09,382054954188.8812,431715550000.0
2023-02-10,351108250865.5791,395924240000.0
2023-02-13,395856514186.7634,372343140000.0
2023-02-14,377577733145.99835,395071850000.0
2023-02-15,406058866197.0521,381247880000.0
2023-02-16,407207461570.0421,404894550000.0
2023-02-17,389725040544.1023,406569200000.0
2023-02-21,379194340269.70435,397395800000.0
2023-02-22,392728869779.9461,391589330000.0
2023-02-23,370088507805.55096,387461480000.0
2023-02-24,342099676092.3339,384208730000.0
2023-02-27,418649967705.6412,354535470000.0
2023-02-28,374960263351.1346,394602680000.0
2023-03-01,373349561815.3444,380417640000.0
2023-03-02,379296746359.43994,369146170000.0
2023-03-03,367357012667.58936,371842780000.0
2023-03-06,366721436494.9701,383554880000.0
2023-03-07,332131518964.35345,377469440000.0
2023-03-08,395503617764.96844,350340200000.0
2023-03-09,478873163574.44086,391738750000.0
2023-03-10,517516864544.8864,403156040000.0
2023-03-13,477211777690.7132,489252880000.0
2023-03-14,506241243858.3554,451366940000.0
2023-03-15,499765711145.5265,517513500000.0
2023-03-16,736767547740.8927,503274100000.0
2023-03-17,401372247143.5621,558407700000.0
2023-03-20,407471737577.979,443585860000.0
2023-03-21,399496411865.7385,423192660000.0
2023-03-22,415992274114.36725,433401950000.0
2023-03-23,368737972423.33923,417314830000.0
2023-03-24,338649951438.5082,378566800000.0
2023-03-27,311060236734.5674,351872420000.0
2023-03-28,344422409331.61584,335038680000.0
2023-03-29,334148886231.4185,336884800000.0
2023-03-30,405579609139.4932,346768180000.0
2023-03-31,380542201488.6286,391265320000.0
2023-04-03,345338426792.674,375145370000.0
2023-04-04,365504057339.88745,362619200000.0
2023-04-05,324665287360.93774,374464800000.0
2023-04-06,305261978440.9528,344174620000.0
2023-04-10,314600661190.0587,321402570000.0
2023-04-11,346698540344.98584,327429880000.0
2023-04-12,343397019399.6878,351434440000.0
2023-04-13,321543086644.9851,350706570000.0
2023-04-14,323765524304.4371,331141680000.0
2023-04-17,329342093954.9813,342551100000.0
2023-04-18,321655900966.9133,346135130000.0
2023-04-19,359083673812.0182,342769400000.0
2023-04-20,341799295479.73816,362250760000.0
2023-04-21,308541923314.3221,352257180000.0
2023-04-24,364650739708.0753,333891000000.0
2023-04-25,388884936085.2681,349940800000.0
2023-04-26,411141942644.75867,376205150000.0
2023-04-27,391510905371.1983,402868540000.0
2023-04-28,336101252346.2915,388581260000.0
2023-05-01,387849993116.19135,361194460000.0
2023-05-02,393967374330.1714,375194030000.0
2023-05-03,397441737369.9509,395085400000.0
2023-05-04,374856868677.4047,403690800000.0
2023-05-05,319146581382.3841,378536500000.0
2023-05-08,316724243071.0545,339865900000.0
2023-05-09,378302253595.03906,334312900000.0
2023-05-10,349093345301.4786,359365200000.0
2023-05-11,320664348830.1723,363911400000.0
2023-05-12,311244740242.1935,344598940000.0
2023-05-15,337055611973.6547,333149270000.0
2023-05-16,370903573859.34393,344321030000.0
2023-05-17,403582932959.6633,362290840000.0
2023-05-18,377556326980.8022,381630580000.0
2023-05-19,353223658897.0286,384965020000.0
2023-05-22,385800653652.17096,366604750000.0
2023-05-23,375066349430.4821,373613700000.0
2023-05-24,471402980816.5732,387478500000.0
2023-05-25,436538535855.5134,387606380000.0
2023-05-26,452847548321.58044,403512980000.0
2023-05-30,652108712129.3252,454801230000.0
2023-05-31,437955780530.76666,508814300000.0
2023-06-01,438497479723.33014,436752000000.0
2023-06-02,391600579472.12134,444453060000.0
2023-06-05,385580750719.22217,408850800000.0
2023-06-06,465187951538.7633,380227600000.0
2023-06-07,387655410308.8996,431448850000.0
2023-06-08,385230209268.5184,378229030000.0
2023-06-09,396769390043.5354,402045630000.0
2023-06-12,446786183543.5291,410180220000.0
2023-06-13,479072364758.89545,401086700000.0
2023-06-14,470394386244.52936,427840700000.0
2023-06-15,711875143102.2666,433904840000.0
2023-06-16,431038188442.35864,491254900000.0
2023-06-20,424926620191.83936,436994470000.0
2023-06-21,378714324723.52704,446482060000.0
2023-06-22,574393624911.2495,381582540000.0
2023-06-23,377772127918.3098,491626070000.0
2023-06-26,393146520748.6012,375087430000.0
2023-06-27,394366647246.9637,409829080000.0
2023-06-28,362299200403.84906,404743980000.0
2023-06-29,424644385282.81836,374083600000.0
2023-06-30,226697047712.38104,406312580000.0
2023-07-03,371539449209.69653,239801040000.0
2023-07-05,385544724253.70123,343533850000.0
2023-07-06,371720508021.70337,325565380000.0
2023-07-07,384726680685.8697,332387650000.0
2023-07-10,372453249312.6318,365555300000.0
2023-07-11,434711762741.99695,379516780000.0
2023-07-12,420533808728.0416,383369120000.0
2023-07-13,428568570667.67554,407170600000.0
2023-07-14,398422347514.32935,426679400000.0
2023-07-17,449650656033.6139,426354000000.0
2023-07-18,472837916869.4394,435480130000.0
2023-07-19,486328525271.46606,459828900000.0
2023-07-20,579025447822.1926,434289840000.0
2023-07-21,389184197390.54175,483906300000.0
2023-07-24,398031779619.5343,392837170000.0
2023-07-25,435584203827.4178,429031330000.0
2023-07-26,487945019427.3354,416456080000.0
2023-07-27,433773838273.0596,446604700000.0
2023-07-28,425297218675.30225,403152960000.0
2023-07-31,391523702191.9463,448518620000.0
2023-08-01,465485591389.3529,406116560000.0
2023-08-02,429570295743.74567,466543050000.0
2023-08-03,444509740321.3839,428282400000.0
2023-08-04,374753225547.20514,452275270000.0
2023-08-07,397798504379.6815,392879870000.0
2023-08-08,393504440396.93774,411637970000.0
2023-08-09,399476306642.8337,411956100000.0
2023-08-10,344150714160.52954,414230770000.0
2023-08-11,362329256167.9346,352718400000.0
2023-08-14,357155941657.4157,357678220000.0
2023-08-15,365312038793.36304,364166940000.0
2023-08-16,393852447718.17725,373170000000.0
2023-08-17,399331320229.05176,396856460000.0
2023-08-18,391207553209.93866,407626740000.0
2023-08-21,349612635935.0503,394578600000.0
2023-08-22,383645460807.44995,368630430000.0
2023-08-23,410740968579.55865,364015550000.0
2023-08-24,371997496517.21936,408063930000.0
2023-08-25,311626788061.8368,375584980000.0
2023-08-28,379510977924.8356,335944120000.0
2023-08-29,356718689316.6943,357837860000.0
2023-08-30,427451069632.1224,358503970000.0
2023-08-31,355302855426.5323,379432100000.0
2023-09-01,370245709700.9933,363302500000.0
2023-09-05,366818351321.268,379418350000.0
2023-09-06,399896461633.61066,371872560000.0
2023-09-07,347332072203.49133,388293030000.0
2023-09-08,376468945616.5986,357460640000.0
2023-09-11,364341774108.8636,365443060000.0
2023-09-12,371815432656.3913,352046970000.0
2023-09-13,391901831073.04504,344914600000.0
2023-09-14,708703712602.6359,341150530000.0
2023-09-15,338488212158.79193,402514440000.0
2023-09-18,340856296088.6158,337624560000.0
2023-09-19,342371815391.1078,345364860000.0
2023-09-20,410960092660.30756,346067800000.0
2023-09-21,359601204110.0307,388660560000.0
2023-09-22,317458958978.9116,371847760000.0
2023-09-25,358849345348.4908,334210240000.0
2023-09-26,390905999110.66693,364184300000.0
2023-09-27,380552468901.6064,374561240000.0
2023-09-28,395981492198.0412,374745600000.0
2023-09-29,376783999694.62885,408641080000.0
2023-10-02,382992037679.86127,384309900000.0
2023-10-03,374129805235.9813,376306340000.0
2023-10-04,356899011431.23065,375989200000.0
2023-10-05,412628135818.5249,368732400000.0
2023-10-06,327054526790.9746,387766850000.0
2023-10-09,369180653224.8631,351639600000.0
2023-10-10,365489361581.2605,375256300000.0
2023-10-11,391091455196.7395,354850730000.0
2023-10-12,378109048861.1663,386377400000.0
2023-10-13,353998148145.096,383225820000.0
2023-10-16,411169297363.1595,367353700000.0
2023-10-17,392456688507.46985,395457070000.0
2023-10-18,442885627467.4189,396471370000.0
2023-10-19,419186153007.4966,434052170000.0
2023-10-20,384771496613.4807,421834750000.0
2023-10-23,380987287833.08167,386737930000.0
2023-10-24,427178228715.9345,389675250000.0
2023-10-25,455991256091.8965,414890230000.0
2023-10-26,401576151888.6358,409386880000.0
2023-10-27,385499436183.3657,424278100000.0
2023-10-30,399183001875.5596,386042950000.0
2023-10-31,437879063548.8818,419977850000.0
2023-11-01,462993722764.52795,402025700000.0
2023-11-02,446356011183.0232,439414160000.0
2023-11-03,372057986674.89813,422823950000.0
2023-11-06,388338293164.09436,397091960000.0
2023-11-07,367066845400.5713,389772640000.0
2023-11-08,407022755743.2863,385995080000.0
2023-11-09,395197484775.9606,395195450000.0
2023-11-10,344050334327.257,389986800000.0
2023-11-13,466828635067.5311,366069500000.0
2023-11-14,453745735366.8487,412375880000.0
2023-11-15,412480669794.21277,396626430000.0
2023-11-16,395382417963.36646,443299950000.0
2023-11-17,390956461276.2159,416554580000.0
2023-11-20,370733890384.9325,397914570000.0
2023-11-21,353328060349.0106,383238240000.0
2023-11-22,170810333841.46683,330082300000.0
2023-11-24,363755520919.219,198139950000.0
2023-11-27,381525785173.2973,267436280000.0
2023-11-28,430591842214.91736,287038200000.0
2023-11-29,561052740528.8568,346684850000.0
2023-11-30,440683362242.67834,427038470000.0
2023-12-01,442109634310.9223,353592050000.0
2023-12-04,408883077362.7934,443078500000.0
2023-12-05,411049280516.4802,425157850000.0
2023-12-06,415342819516.4092,414661600000.0
2023-12-07,405963413907.81696,417907440000.0
2023-12-08,440868780609.2981,389766680000.0
2023-12-11,411090916766.99255,408148770000.0
2023-12-12,533065315289.8014,398777680000.0
2023-12-13,653383192476.3853,444316600000.0
2023-12-14,917595876809.1812,425989050000.0
2023-12-15,448920876804.3597,393529360000.0
2023-12-18,432085865474.015,374162820000.0
2023-12-19,459786510322.4384,434278240000.0
2023-12-20,384416586503.5162,463496350000.0
2023-12-21,331214043727.0629,392805680000.0
2023-12-22,276525112562.83514,351155030000.0
2023-12-26,315375636737.65063,287377850000.0
2023-12-27,296108060349.02454,294679700000.0
2023-12-28,338926619094.7067,311450470000.0
2023-12-29,446321514804.9862,294249500000.0
2024-01-02,434268707281.07666,368609330000.0
2024-01-03,409577853862.0828,403469900000.0
2024-01-04,390779706692.0821,421767200000.0
2024-01-05,436783426768.75183,386074600000.0
2024-01-08,411005374595.19196,433206070000.0
2024-01-09,398005894365.5506,386653100000.0
2024-01-10,439999397498.4273,387755740000.0
2024-01-11,378769375938.81146,426403630000.0
2024-01-12,458379091280.8095,364135000000.0
2024-01-16,420377431517.82086,435642140000.0
2024-01-17,466553138848.5229,421064670000.0
2024-01-18,523667479881.27136,439625420000.0
2024-01-19,490080411822.17303,492212500000.0
2024-01-22,419073823035.4877,459571100000.0
2024-01-23,504265613860.7141,360352900000.0
2024-01-24,512701014525.3214,469914400000.0
2024-01-25,420456691968.4462,492834400000.0
2024-01-26,435717906107.28406,406375370000.0
2024-01-29,455984736841.7803,447508580000.0
2024-01-30,558554796364.0011,459223240000.0
2024-01-31,499133996079.2093,505794430000.0
2024-02-01,539817487413.0154,474996740000.0
2024-02-02,507828890005.8113,485454740000.0
2024-02-05,486774264555.50684,477543920000.0
2024-02-06,485584725082.42035,402687230000.0
2024-02-07,475326639599.2643,397437470000.0
2024-02-08,462855982441.15466,391703630000.0
2024-02-09,481872352927.5098,395893300000.0
2024-02-12,536499096152.2144,483184100000.0
2024-02-13,479720853520.21313,547974840000.0
2024-02-14,510772288234.76385,453947600000.0
2024-02-15,509831318553.01324,494366160000.0
2024-02-16,527627309683.0908,494965260000.0
2024-02-20,471785296374.6175,519227930000.0
2024-02-21,572678664659.0433,476433100000.0
2024-02-22,484798034333.4922,497219170000.0
2024-02-23,464193434064.37573,446156000000.0
2024-02-26,449974058207.4335,450294680000.0
2024-02-27,441786177880.0241,454177100000.0
2024-02-28,635908956391.6246,459480830000.0
2024-02-29,528591729469.89685,501139930000.0
2024-03-01,570571963103.3043,416524400000.0
2024-03-04,550609463615.664,501328280000.0
2024-03-05,544304443270.82056,495197600000.0
2024-03-06,526943078791.5879,495672900000.0
2024-03-07,604911167243.1106,496136360000.0
2024-03-08,488958504357.9569,524902730000.0
