date,exchange,sh_volume
2000-01-03,NASDAQ,1526102403.0
2000-01-04,NASDAQ,1529519728.0
2000-01-05,NASDAQ,1739978743.0
2000-01-06,NASDAQ,1607761247.0
2000-01-07,NASDAQ,1636533838.0
2000-01-10,NASDAQ,1743969024.0
2000-01-11,NASDAQ,1713560097.0
2000-01-12,NASDAQ,1544956263.0
2000-01-13,NASDAQ,1486358922.0
2000-01-14,NASDAQ,1671613197.0
2000-01-18,NASDAQ,1605119884.0
2000-01-19,NASDAQ,1677538887.0
2000-01-20,NASDAQ,1848994547.0
2000-01-21,NASDAQ,1914360713.0
2000-01-24,NASDAQ,1984130384.0
2000-01-25,NASDAQ,1740921739.0
2000-01-26,NASDAQ,1710402434.0
2000-01-27,NASDAQ,1788351704.0
2000-01-28,NASDAQ,1588896145.0
2000-01-31,NASDAQ,1507714487.0
2000-02-01,NASDAQ,1424200264.0
2000-02-02,NASDAQ,1529783105.0
2000-02-03,NASDAQ,1732608949.0
2000-02-04,NASDAQ,1804453237.0
2000-02-07,NASDAQ,1640843386.0
2000-02-08,NASDAQ,1990548497.0
2000-02-09,NASDAQ,1798548975.0
2000-02-10,NASDAQ,1832216137.0
2000-02-11,NASDAQ,1753024597.0
2000-02-14,NASDAQ,1617297382.0
2000-02-15,NASDAQ,1733222838.0
2000-02-16,NASDAQ,1781478614.0
2000-02-17,NASDAQ,1996332450.0
2000-02-18,NASDAQ,1871388456.0
2000-02-22,NASDAQ,1761297943.0
2000-02-23,NASDAQ,1853693039.0
2000-02-24,NASDAQ,1936111463.0
2000-02-25,NASDAQ,1784734920.0
2000-02-28,NASDAQ,1753220112.0
2000-02-29,NASDAQ,2089979801.0
2000-03-01,NASDAQ,2238323041.0
2000-03-02,NASDAQ,2103065832.0
2000-03-03,NASDAQ,2123057431.0
2000-03-06,NASDAQ,2032972926.0
2000-03-07,NASDAQ,2182751296.0
2000-03-08,NASDAQ,2038091563.0
2000-03-09,NASDAQ,2010033300.0
2000-03-10,NASDAQ,2018964284.0
2000-03-13,NASDAQ,1769796253.0
2000-03-14,NASDAQ,2002577899.0
2000-03-15,NASDAQ,1913298309.0
2000-03-16,NASDAQ,2057736615.0
2000-03-17,NASDAQ,1717342840.0
2000-03-20,NASDAQ,1558361935.0
2000-03-21,NASDAQ,1791138442.0
2000-03-22,NASDAQ,1805027581.0
2000-03-23,NASDAQ,1720432759.0
2000-03-24,NASDAQ,1696233454.0
2000-03-27,NASDAQ,1395257386.0
2000-03-28,NASDAQ,1487711358.0
2000-03-29,NASDAQ,1756953676.0
2000-03-30,NASDAQ,1939865469.0
2000-03-31,NASDAQ,2105437185.0
2000-04-03,NASDAQ,1768445129.0
2000-04-04,NASDAQ,2907800468.0
2000-04-05,NASDAQ,1973638336.0
2000-04-06,NASDAQ,1774289856.0
2000-04-07,NASDAQ,1583488155.0
2000-04-10,NASDAQ,1476854796.0
2000-04-11,NASDAQ,1675948655.0
2000-04-12,NASDAQ,1924970921.0
2000-04-13,NASDAQ,1982687652.0
2000-04-14,NASDAQ,2571723898.0
2000-04-17,NASDAQ,2490372355.0
2000-04-18,NASDAQ,2192740889.0
2000-04-19,NASDAQ,1777417846.0
2000-04-20,NASDAQ,1427828316.0
2000-04-24,NASDAQ,1564656737.0
2000-04-25,NASDAQ,1640190896.0
