date,exchange,sh_volume
2000-01-03,NYSE,1167858124.0
2000-01-04,NYSE,1206324855.0
2000-01-05,NYSE,1317984618.0
2000-01-06,NYSE,1299102564.0
2000-01-07,NYSE,1482203103.0
2000-01-10,NYSE,1301561126.0
2000-01-11,NYSE,1232654469.0
2000-01-12,NYSE,1185242308.0
2000-01-13,NYSE,1225079094.0
2000-01-14,NYSE,1292535078.0
2000-01-18,NYSE,1246101129.0
2000-01-19,NYSE,1271655404.0
2000-01-20,NYSE,1339951062.0
2000-01-21,NYSE,1449485666.0
2000-01-24,NYSE,1377279139.0
2000-01-25,NYSE,1280516485.0
2000-01-26,NYSE,1352950032.0
2000-01-27,NYSE,1347488363.0
2000-01-28,NYSE,1297855813.0
2000-01-31,NYSE,1177269920.0
2000-02-01,NYSE,1166022520.0
2000-02-02,NYSE,1221788401.0
2000-02-03,NYSE,1316553659.0
2000-02-04,NYSE,1204988860.0
2000-02-07,NYSE,1095356646.0
2000-02-08,NYSE,1270751199.0
2000-02-09,NYSE,1255868073.0
2000-02-10,NYSE,1275754235.0
2000-02-11,NYSE,1244823833.0
2000-02-14,NYSE,1115962716.0
2000-02-15,NYSE,1286660390.0
2000-02-16,NYSE,1249912983.0
2000-02-17,NYSE,1259145588.0
2000-02-18,NYSE,1270212912.0
2000-02-22,NYSE,1224699867.0
2000-02-23,NYSE,1252963265.0
2000-02-24,NYSE,1445971504.0
2000-02-25,NYSE,1345381674.0
2000-02-28,NYSE,1297059742.0
2000-02-29,NYSE,1429367447.0
2000-03-01,NYSE,1539790613.0
2000-03-02,NYSE,1473893718.0
2000-03-03,NYSE,1437981164.0
2000-03-06,NYSE,1276514805.0
2000-03-07,NYSE,1593601098.0
2000-03-08,NYSE,1453555446.0
2000-03-09,NYSE,1351591333.0
2000-03-10,NYSE,1369117021.0
2000-03-13,NYSE,1204567340.0
2000-03-14,NYSE,1323892414.0
2000-03-15,NYSE,1611509745.0
2000-03-16,NYSE,1799923678.0
2000-03-17,NYSE,1522623330.0
2000-03-20,NYSE,1129314569.0
2000-03-21,NYSE,1255220718.0
2000-03-22,NYSE,1286526323.0
2000-03-23,NYSE,1272456865.0
2000-03-24,NYSE,1258370414.0
2000-03-27,NYSE,1076393943.0
2000-03-28,NYSE,1167352555.0
2000-03-29,NYSE,1270837210.0
2000-03-30,NYSE,1419646959.0
2000-03-31,NYSE,1452729607.0
2000-04-03,NYSE,1259991298.0
2000-04-04,NYSE,1853820506.0
2000-04-05,NYSE,1328165316.0
2000-04-06,NYSE,1206789055.0
2000-04-07,NYSE,1081533529.0
2000-04-10,NYSE,1057231614.0
2000-04-11,NYSE,1213537331.0
2000-04-12,NYSE,1406761838.0
2000-04-13,NYSE,1227237016.0
2000-04-14,NYSE,1584325632.0
2000-04-17,NYSE,1476399481.0
2000-04-18,NYSE,1328117431.0
2000-04-19,NYSE,1206155118.0
2000-04-20,NYSE,1071340526.0
2000-04-24,NYSE,1060194117.0
2000-04-25,NYSE,1268899776.0
2000-04-26,NYSE,1198377419.0
2000-04-27,NYSE,1309062507.0
2000-04-28,NYSE,1175882092.0
2000-05-01,NYSE,1155417480.0
2000-05-02,NYSE,1208409365.0
2000-05-03,NYSE,1193346108.0
2000-05-04,NYSE,1095442567.0
2000-05-05,NYSE,960006352.0
2000-05-08,NYSE,939359117.0
2000-05-09,NYSE,1065117045.0
2000-05-10,NYSE,1174601443.0
2000-05-11,NYSE,1106179484.0
2000-05-12,NYSE,1024666350.0
2000-05-15,NYSE,1020003451.0
2000-05-16,NYSE,1140207399.0
2000-05-17,NYSE,951587753.0
2000-05-18,NYSE,974562031.0
2000-05-19,NYSE,1045769609.0
2000-05-22,NYSE,1065161185.0
2000-05-23,NYSE,1031947694.0
2000-05-24,NYSE,1359267442.0
2000-05-25,NYSE,1152475675.0
2000-05-26,NYSE,843951967.0
2000-05-30,NYSE,988005705.0
2000-05-31,NYSE,1135640576.0
2000-06-01,NYSE,1134685025.0
2000-06-02,NYSE,1375981216.0
2000-06-05,NYSE,1019344703.0
2000-06-06,NYSE,1115873045.0
2000-06-07,NYSE,1018932016.0
2000-06-08,NYSE,998028924.0
2000-06-09,NYSE,942343545.0
2000-06-12,NYSE,894116023.0
2000-06-13,NYSE,1056463216.0
2000-06-14,NYSE,1104519427.0
2000-06-15,NYSE,1182513574.0
2000-06-16,NYSE,1376792584.0
2000-06-19,NYSE,1063862807.0
2000-06-20,NYSE,1215514907.0
2000-06-21,NYSE,1224219635.0
2000-06-22,NYSE,1200178730.0
2000-06-23,NYSE,994161952.0
2000-06-26,NYSE,1058056688.0
2000-06-27,NYSE,1211759922.0
2000-06-28,NYSE,1237897128.0
2000-06-29,NYSE,1296110025.0
2000-06-30,NYSE,1588592110.0
2000-07-03,NYSE,558151744.0
2000-07-05,NYSE,1149682388.0
2000-07-06,NYSE,1113853165.0
2000-07-07,NYSE,1099034657.0
2000-07-10,NYSE,983725281.0
