date,total_sh_volume,total_dollar_volume,vix_close,target_5d,target_21d
2004-01-02,3213291345.0,71773100953.6998,18.22,522756432501.5176,2210463792209.704
2004-01-05,4529997306.0,102617655495.5233,17.49,515919257575.6942,2216186013961.6333
2004-01-06,4308224839.0,96439810562.3496,16.73,521722429547.7995,2219877395327.5654
2004-01-07,4697460900.0,104191802326.78693,15.5,511452482750.60004,2210389963563.882
2004-01-08,5293303509.0,112087151785.23424,15.61,511457935509.0453,2182911667191.021
2004-01-09,4770807712.0,107420012331.6235,16.75,514420580067.6381,2162477976662.2231
2004-01-12,4286809999.0,95780480569.69998,16.82,527086035181.8165,2180026289894.6565
2004-01-13,4557797162.0,102242982534.4549,18.04,537395020277.7853,2170145026402.7515
2004-01-14,4202375643.0,93921855529.5874,16.75,554068596394.334,2163071071520.9707
2004-01-15,4606945208.0,112092604543.6795,15.56,545799659143.8173,2136207083489.7283
2004-01-16,5058902452.0,110382656890.21632,15.0,531641748027.9463,2114576895214.974
2004-01-20,4980387216.0,108445935683.8784,15.21,528449942183.26526,2106170216087.7927
2004-01-21,4929565556.0,112551967630.42368,14.34,532840053820.8695,2090087639653.5662
2004-01-22,4713406493.0,110595431646.13606,14.71,548279491049.1334,2072488918094.93
2004-01-23,4361591322.0,103823667293.16284,14.84,542739744911.87964,2069752249278.8584
2004-01-26,3945427354.0,96224745774.34537,14.55,547250799045.04663,2061289890201.9534
2004-01-27,4425628756.0,105254129839.19724,15.35,536390901773.4047,2047736084884.6624
2004-01-28,4838757204.0,116942079268.02795,16.78,527788699752.82947,2032889439629.577
2004-01-29,5258864359.0,126034868874.4,17.14,501885022806.71094,2001826688029.3032
2004-01-30,4126700500.0,98283921155.90907,16.63,498305472213.9053,2000948852563.293
2004-02-02,4067243281.0,100735799907.5124,17.11,482178527718.76624,1986320546459.9946
2004-02-03,3842992795.0,94394232567.55531,17.34,474770616954.0366,1974920285237.525
2004-02-04,4521470349.0,108339877247.45271,17.87,479759533508.7169,1966209268627.6646
2004-02-05,4062883709.0,100131191928.2814,17.71,471990060622.98553,1955529618050.9458
2004-02-06,3825733909.0,94704370563.1034,16.0,464133590707.6887,1959779043326.6453
2004-02-09,3471101897.0,84608855412.37341,16.39,464753351807.7521,1980316496633.3066
2004-02-10,3528945004.0,86986321802.82567,15.94,466519498620.38916,2007029379713.1987
2004-02-11,4546551243.0,113328793802.13304,15.39,453229961374.95264,1982846699822.5928
2004-02-12,3943919559.0,92361719042.55,15.31,457337633528.60004,1980791788969.722
2004-02-13,3584611727.0,86847900647.80661,15.58,463486442968.29333,1987050873880.819
2004-02-17,3554673748.0,85228616512.4368,15.4,479344824932.9482,1991448442242.2593
2004-02-18,3691287297.0,88752468615.46275,15.59,478354743014.9259,1990208030268.542
2004-02-19,4165426662.0,100039256556.6965,15.8,470015810980.1357,1979905411788.0671
2004-02-20,3937231199.0,96469391196.19733,16.04,475641853796.8807,1977950830710.0496
2004-02-23,3872871860.0,92996710087.5,16.29,477617260983.5068,1979165138718.1997
2004-02-24,4162113672.0,101086998477.0916,15.9,473936348196.3142,1973882294388.137
2004-02-25,3524203084.0,87762386697.44049,14.93,472281455303.0875,1984850685941.1313
2004-02-26,3619073627.0,91700324521.90623,14.83,463575102126.26666,1975520180329.6858
2004-02-27,3907591702.0,102095434012.94232,14.55,461108528750.91724,1960386777142.687
2004-03-01,3651411806.0,94972117274.1261,14.44,455587952828.3535,1949480995589.81
2004-03-02,3809115666.0,97406085689.89902,14.86,457135662977.25757,1948073880536.3923
2004-03-03,3454364192.0,86107493804.21384,14.55,476174477892.07874,1960216980953.0647
2004-03-04,3457794052.0,82993971345.08539,14.4,506879711429.7112,1987308996996.3137
2004-03-05,3936849642.0,99628860637.5929,14.48,496396964703.64526,1979508854839.3496
2004-03-08,3766612963.0,89451541351.56241,15.79,497252231541.7618,1981876817820.8633
2004-03-09,4103058898.0,98953795838.80304,16.6,491405421261.8626,1975162249562.2117
2004-03-10,4357970916.0,105146308719.035,18.67,475885297416.7043,1953355187785.933
2004-03-11,4725840404.0,113699204882.7178,20.67,449698149175.73206,1912841774590.01
2004-03-12,3558647066.0,89146113911.52695,18.3,450288673340.42706,1919102526997.9473
2004-03-15,3838148280.0,90306808189.679,21.13,454496675268.9278,1926282757883.3804
2004-03-16,3963834719.0,93106985558.9038,20.34,455600707805.6741,1936312803116.5115
2004-03-17,3694909996.0,89626184873.87671,18.11,461778677078.82587,1943877447810.738
2004-03-18,3477140630.0,87512056641.7456,18.53,472997398687.5154,1938890693130.5925
2004-03-19,3561723403.0,89736638076.222,19.15,465630579521.7538,1946294158695.2424
2004-03-22,3967538307.0,94514810118.1797,21.58,458077800229.5178,1959782726752.5857
2004-03-23,3852424375.0,94211018095.65012,20.67,447933117855.11707,1987391502522.148
2004-03-24,3860476140.0,95804154147.0285,19.81,448127934344.56976,1988839972246.2405
2004-03-25,4042977242.0,98730778250.43507,17.88,447647750315.02075,1980866802005.772
2004-03-26,3392984811.0,82369818910.46042,17.33,475363918792.8943,2000899760721.4995
2004-03-29,3564397940.0,86962030825.9437,16.5,480230606447.5798,2024601415313.7852
2004-03-30,3388345741.0,84066335721.24939,16.28,487983775059.4067,2057790439153.2742
2004-03-31,3919926529.0,95998970636.48112,16.74,484224032003.0766,2065017215108.1882
2004-04-01,3863440184.0,98250594220.88612,16.65,469312684724.947,2067550178842.96
2004-04-02,4394734478.0,110085987388.334,15.64,432412489023.4071,2057264088165.1824
2004-04-05,3641691137.0,91828718480.62914,14.97,435990636862.24255,2052721516831.892
2004-04-06,3728185440.0,91819504333.0763,15.32,441658171604.27856,2051248844068.6313
2004-04-07,3761229765.0,92239227580.15106,15.76,452555974816.1624,2055890620021.542
2004-04-08,3281114925.0,83339246942.7565,16.26,466407557441.5089,2084702782754.289
2004-04-12,3012553640.0,73185791686.7941,15.28,475747067716.31494,2104315894361.7554
2004-04-13,3941077378.0,95406866319.4646,17.26,477480305037.72235,2116936821034.9695
2004-04-14,3863488897.0,97487039075.1123,15.62,487996644138.13293,2107546364675.9624
2004-04-15,4041209636.0,103137030792.0349,15.74,506679407211.3104,2086568859199.737
2004-04-16,3807018221.0,97190829568.103,14.94,506741201514.3287,2073721853404.65
2004-04-19,3276481863.0,82525301961.6001,15.42,514973507562.6953,2071289295728.0613
2004-04-20,4037030099.0,97140103640.872,16.67,520236181548.0112,2070839158776.1807
2004-04-21,4360651001.0,108003378175.52296,15.6,522896488790.7176,2040033472087.804
2004-04-22,4557654509.0,121819793865.2124,14.61,518332054486.2436,1996456414674.1145
2004-04-23,3767621917.0,97252623871.1212,14.01,524305177206.5174,1976890119684.1943
2004-04-26,3418491270.0,90757608009.96672,14.77,534331127152.20874,1985254153565.7258
2004-04-27,3972688642.0,102402777626.1879,15.07,531728246236.5773,1970342535309.1223
2004-04-28,4611499328.0,110663685418.22932,16.29,508350707965.68695,1952394328290.234
2004-04-29,5008719921.0,117255359560.73846,16.6,481442179974.7639,1905349978516.1448
2004-04-30,4345679961.0,103225746591.395,17.19,475097436916.4304,1882962033261.7446
2004-05-03,4181581157.0,100783557955.658,16.62,486465288636.27625,1863861261306.749
2004-05-04,4043477751.0,99799896710.55646,16.55,479464295219.9801,1843618755811.5574
2004-05-05,3546827457.0,87286147147.33899,15.77,500205941065.3197,1831700963991.2864
2004-05-06,3728100028.0,90346831569.81546,17.05,497955692211.60974,1823761236066.125
2004-05-07,3764522508.0,96881003533.06155,18.13,483234213994.3576,1806712134599.2158
2004-05-10,4425519813.0,112151409675.50378,19.77,455426628091.8698,1777397022981.688
2004-05-11,3647480228.0,92798903294.2603,18.57,442720469082.621,1757982571031.879
2004-05-12,4136188700.0,108027792992.67856,18.14,431382642778.934,1725777391550.215
2004-05-13,3428596621.0,88096582716.10559,18.86,420483751549.9746,1724119293926.0835
2004-05-14,3338327776.0,82159525315.80939,18.47,416566962685.6883,1716629403681.2104
2004-05-17,3456450490.0,84343823773.01599,19.96,409909467793.8732,1711455287391.1392
2004-05-18,3259493362.0,80092744285.0115,19.33,428938365400.36,1726678106480.9072
2004-05-19,3889312560.0,96689966688.99152,18.93,419739558080.953,1704916440751.1843
2004-05-20,3115453410.0,77197691487.14624,18.67,435257344993.1472,1717990828382.4668
2004-05-21,3066224522.0,78242736451.52301,18.49,427225618328.2735,1734710622225.5222
2004-05-24,3017663275.0,77686328881.20099,18.08,430377090784.0675,1747571442731.5283
2004-05-25,3808089604.0,99121641891.49826,15.96,412938234893.23145,1773834438792.504
