date,actual,pred
2023-01-03,366421685444.583,293969560000.0
2023-01-04,330694015191.7134,313999800000.0
2023-01-05,372900825530.29346,333417550000.0
2023-01-06,379258656525.76697,336959370000.0
2023-01-09,319662055561.93866,346322000000.0
2023-01-10,363102449018.5793,354725530000.0
2023-01-11,371471183726.68274,347583300000.0
2023-01-12,335143083036.9447,350570120000.0
2023-01-13,372705644118.1733,356135630000.0
2023-01-17,377696913656.18256,349501900000.0
2023-01-18,353690639719.4868,353771500000.0
2023-01-19,398266846428.50397,358679050000.0
2023-01-20,392457607370.5275,355561400000.0
2023-01-23,330101358762.0445,362754080000.0
2023-01-24,371412492435.28625,366998620000.0
2023-01-25,382645171092.05817,353434960000.0
2023-01-26,410508163087.6619,354505720000.0
2023-01-27,369868410261.03375,359430300000.0
2023-01-30,427563916821.5688,367836800000.0
2023-01-31,485685314040.7866,364520670000.0
2023-02-01,588627479445.1163,373842480000.0
2023-02-02,483026786795.6452,391025820000.0
2023-02-03,376365383209.54236,420611130000.0
2023-02-06,443890058061.37213,424853000000.0
2023-02-07,406686789217.9954,400323940000.0
2023-02-08,428053576886.8182,400958200000.0
2023-02-09,382054954188.8812,399315040000.0
2023-02-10,351108250865.5791,404393620000.0
2023-02-13,395856514186.7634,398853730000.0
2023-02-14,377577733145.99835,387664050000.0
2023-02-15,406058866197.0521,393853700000.0
2023-02-16,407207461570.0421,394701240000.0
2023-02-17,389725040544.1023,401436480000.0
2023-02-21,379194340269.70435,406612600000.0
2023-02-22,392728869779.9461,404970930000.0
2023-02-23,370088507805.55096,400812150000.0
2023-02-24,342099676092.3339,402176800000.0
2023-02-27,418649967705.6412,397916800000.0
2023-02-28,374960263351.1346,387517680000.0
2023-03-01,373349561815.3444,400117070000.0
2023-03-02,379296746359.44,399662450000.0
2023-03-03,367357012667.58936,397157830000.0
2023-03-06,366721436494.9701,397072960000.0
2023-03-07,332131518964.35345,393964900000.0
2023-03-08,395503617764.96844,391604240000.0
2023-03-09,478873163574.44086,381149020000.0
2023-03-10,517516864544.8864,390079740000.0
2023-03-13,477211777690.7132,413633900000.0
2023-03-14,506241243858.3554,435932200000.0
2023-03-15,499765711145.5265,441960140000.0
2023-03-16,736767547740.8927,447924440000.0
2023-03-17,401372247143.5621,450118600000.0
2023-03-20,407471737577.979,483465300000.0
2023-03-21,399496411865.7385,453265800000.0
2023-03-22,415992274114.36725,429252300000.0
2023-03-23,368737972423.33923,416686500000.0
2023-03-24,338649951438.5082,416594330000.0
2023-03-27,311060236734.5674,406746800000.0
2023-03-28,344422409331.61584,392742730000.0
2023-03-29,334148886231.4185,377265030000.0
2023-03-30,405579609139.4932,378805900000.0
2023-03-31,380542201488.6286,378281720000.0
2023-04-03,345338426792.674,394413770000.0
2023-04-04,365504057339.88745,399129200000.0
2023-04-05,324665287360.93774,390630740000.0
2023-04-06,305261978440.9528,389441950000.0
2023-04-10,314600661190.0587,378306270000.0
2023-04-11,346698540344.98584,365213100000.0
2023-04-12,343397019399.6878,360668530000.0
2023-04-13,321543086644.9851,366927220000.0
2023-04-14,323765524304.4371,370269520000.0
2023-04-17,329342093954.9813,365038270000.0
2023-04-18,321655900966.9133,360997500000.0
2023-04-19,359083673812.0182,359743100000.0
2023-04-20,341799295479.73816,356480880000.0
2023-04-21,308541923314.3221,363376640000.0
2023-04-24,364650739708.0753,363073200000.0
2023-04-25,388884936085.2681,351580600000.0
2023-04-26,411141942644.75867,357439500000.0
2023-04-27,391510905371.1983,367504360000.0
2023-04-28,336101252346.2915,377605550000.0
2023-05-01,387849993116.19135,378542260000.0
2023-05-02,393967374330.1714,362751330000.0
2023-05-03,397441737369.9509,365770800000.0
2023-05-04,374856868677.4047,371033000000.0
2023-05-05,319146581382.3841,375141070000.0
2023-05-08,316724243071.0545,372124450000.0
2023-05-09,378302253595.03906,355246900000.0
2023-05-10,349093345301.4786,344688400000.0
2023-05-11,320664348830.1723,356037130000.0
2023-05-12,311244740242.1935,357725960000.0
2023-05-15,337055611973.6547,349830700000.0
2023-05-16,370903573859.34393,341379000000.0
2023-05-17,403582932959.6633,343994800000.0
2023-05-18,377556326980.8022,354902870000.0
2023-05-19,353223658897.0286,368980030000.0
2023-05-22,385800653652.17096,372225970000.0
2023-05-23,375066349430.4821,366982530000.0
2023-05-24,471402980816.5732,371145540000.0
2023-05-25,436538535855.5134,372441840000.0
2023-05-26,452847548321.58044,392683600000.0
2023-05-30,652108712129.3252,401434900000.0
2023-05-31,437955780530.76666,408450920000.0
2023-06-01,438497479723.33014,442994000000.0
2023-06-02,391600579472.12134,434707500000.0
2023-06-05,385580750719.22217,423354070000.0
2023-06-06,465187951538.7633,407263840000.0
2023-06-07,387655410308.8996,398073200000.0
2023-06-08,385230209268.5184,412032300000.0
2023-06-09,396769390043.5354,406079370000.0
2023-06-12,446786183543.5291,399993440000.0
2023-06-13,479072364758.89545,400302540000.0
2023-06-14,470394386244.52936,412999300000.0
2023-06-15,711875143102.2666,427968820000.0
2023-06-16,431038188442.35864,435531640000.0
2023-06-20,424926620191.83936,474247170000.0
2023-06-21,378714324723.52704,458311470000.0
2023-06-22,574393624911.2495,440150600000.0
2023-06-23,377772127918.3098,420195760000.0
2023-06-26,393146520748.6012,448761630000.0
2023-06-27,394366647246.9637,432752660000.0
2023-06-28,362299200403.84906,422990120000.0
2023-06-29,424644385282.81836,419982600000.0
2023-06-30,226697047712.38104,411090300000.0
2023-07-03,371539449209.69653,420895230000.0
2023-07-05,385544724253.70123,364360800000.0
2023-07-06,371720508021.70337,377229050000.0
2023-07-07,384726680685.8697,394152050000.0
2023-07-10,372453249312.6318,399613660000.0
2023-07-11,434711762741.99695,403537600000.0
2023-07-12,420533808728.0416,401434900000.0
2023-07-13,428568570667.67554,413050500000.0
2023-07-14,398422347514.32935,418023830000.0
2023-07-17,449650656033.6139,420756320000.0
2023-07-18,472837916869.4394,415745700000.0
2023-07-19,486328525271.46606,422998970000.0
2023-07-20,579025447822.1926,433700500000.0
2023-07-21,389184197390.54175,443048070000.0
2023-07-24,398031779619.5343,463562670000.0
2023-07-25,435584203827.4178,439859380000.0
2023-07-26,487945019427.3354,423165170000.0
2023-07-27,433773838273.0596,424519300000.0
2023-07-28,425297218675.30225,437998320000.0
2023-07-31,391523702191.9463,435944700000.0
2023-08-01,465485591389.3529,430584800000.0
2023-08-02,429570295743.74567,418253540000.0
2023-08-03,444509740321.3839,428417220000.0
2023-08-04,374753225547.20514,429464420000.0
2023-08-07,397798504379.6815,432417670000.0
2023-08-08,393504440396.93774,416858180000.0
2023-08-09,399476306642.8337,413446180000.0
2023-08-10,344150714160.52954,412276000000.0
2023-08-11,362329256167.9346,413618100000.0
2023-08-14,357155941657.4157,400431600000.0
2023-08-15,365312038793.36304,396655920000.0
2023-08-16,393852447718.17725,395680380000.0
2023-08-17,399331320229.05176,396357140000.0
2023-08-18,391207553209.93866,403577630000.0
2023-08-21,349612635935.0503,409315020000.0
2023-08-22,383645460807.44995,409935400000.0
2023-08-23,410740968579.55865,398575400000.0
2023-08-24,371997496517.21936,399122370000.0
2023-08-25,311626788061.8368,406859320000.0
2023-08-28,379510977924.8356,402479100000.0
2023-08-29,356718689316.6943,381069800000.0
2023-08-30,427451069632.1224,385665400000.0
2023-08-31,355302855426.5323,384901150000.0
2023-09-01,370245709700.9933,399158100000.0
2023-09-05,366818351321.268,391451930000.0
2023-09-06,399896461633.61066,388353030000.0
2023-09-07,347332072203.49133,385936200000.0
2023-09-08,376468945616.5986,391930800000.0
2023-09-11,364341774108.8636,382726200000.0
2023-09-12,371815432656.3913,383097200000.0
2023-09-13,391901831073.04504,381235530000.0
2023-09-14,708703712602.6359,381613080000.0
2023-09-15,338488212158.79193,386156400000.0
2023-09-18,340856296088.6158,435662100000.0
2023-09-19,342371815391.1078,409270580000.0
2023-09-20,410960092660.30756,383826360000.0
2023-09-21,359601204110.0307,372197560000.0
2023-09-22,317458958978.9116,384614960000.0
2023-09-25,358849345348.4908,382365700000.0
2023-09-26,390905999110.66693,367843100000.0
2023-09-27,380552468901.6064,370179800000.0
2023-09-28,395981492198.0412,380968040000.0
2023-09-29,376783999694.62885,385358040000.0
2023-10-02,382992037679.86127,390160900000.0
2023-10-03,374129805235.9813,388280450000.0
2023-10-04,356899011431.23065,387904400000.0
2023-10-05,412628135818.5249,386090800000.0
2023-10-06,327054526790.9746,380408920000.0
2023-10-09,369180653224.8631,389883400000.0
2023-10-10,365489361581.2605,375903160000.0
2023-10-11,391091455196.7395,377131930000.0
2023-10-12,378109048861.1663,378346640000.0
2023-10-13,353998148145.096,385109700000.0
2023-10-16,411169297363.1595,386003170000.0
2023-10-17,392456688507.46985,379914400000.0
2023-10-18,442885627467.4189,389013570000.0
2023-10-19,419186153007.4966,391927070000.0
2023-10-20,384771496613.4807,403269800000.0
2023-10-23,380987287833.08167,406469900000.0
2023-10-24,427178228715.9345,399042450000.0
2023-10-25,455991256091.8965,393038000000.0
2023-10-26,401576151888.6358,400670700000.0
2023-10-27,385499436183.3657,412520600000.0
2023-10-30,399183001875.5596,407006770000.0
2023-10-31,437879063548.8818,399633480000.0
2023-11-01,462993722764.52795,399050050000.0
