date,actual,pred
2023-01-03,8099883911274.946,8248312000000.0
2023-01-04,8216489012625.982,8226489000000.0
2023-01-05,8262160380643.825,8210625300000.0
2023-01-06,8333149613174.889,8199373000000.0
2023-01-09,8360577745867.116,8192292000000.0
2023-01-10,8468969267192.007,8191213000000.0
2023-01-11,8487921772362.319,8200186000000.0
2023-01-12,8467558839501.219,8205631000000.0
2023-01-13,8528272270651.024,8217957500000.0
2023-01-17,8533144359678.842,8225705000000.0
2023-01-18,8561506312219.71,8242823400000.0
2023-01-19,8615023134070.287,8262610000000.0
2023-01-20,8606481328185.884,8280548000000.0
2023-01-23,8593218061085.051,8298477000000.0
2023-01-24,8655845572102.946,8318778600000.0
2023-01-25,8654521587473.224,8334930000000.0
2023-01-26,8613976092473.502,8350046000000.0
2023-01-27,8622117897091.473,8365605400000.0
2023-01-30,8627209750181.582,8378268500000.0
2023-01-31,8572995395175.349,8393447000000.0
2023-02-01,8466606827494.018,8410707300000.0
2023-02-02,8245336360716.474,8432183000000.0
2023-02-03,8129031010415.793,8492338000000.0
2023-02-06,8084797146170.608,8564186000000.0
2023-02-07,8036410705874.218,8628508600000.0
2023-02-08,8108597080230.643,8691887600000.0
2023-02-09,8198060367888.714,8752410400000.0
2023-02-10,8293217191390.542,8809237000000.0
2023-02-13,8448350184383.345,8844793000000.0
2023-02-14,8552259381342.093,8857235000000.0
2023-02-15,8911449195937.002,8865956000000.0
2023-02-16,8906762576883.512,8858739000000.0
2023-02-17,8907026852891.45,8852844000000.0
2023-02-21,8916798224213.068,8848574000000.0
2023-02-22,8953596158057.738,8836565000000.0
2023-02-23,8929605260701.123,8810277000000.0
2023-02-24,8898166704334.088,8788610000000.0
2023-02-27,8867127264976.318,8759908000000.0
2023-02-28,8792899706602.288,8718436500000.0
2023-03-01,8752088329482.589,8697526000000.0
2023-03-02,8784318376806.74,8673637700000.0
2023-03-03,8785563831935.92,8651942700000.0
2023-03-06,8763545246061.002,8641174000000.0
2023-03-07,8762327866905.922,8625151500000.0
2023-03-08,8754861635302.509,8614481000000.0
2023-03-09,8664619995978.494,8610686400000.0
2023-03-10,8500347493594.11,8604119700000.0
2023-03-13,8329529169394.2,8601248700000.0
2023-03-14,8195714411103.186,8600362700000.0
2023-03-15,8011016253889.801,8610916600000.0
2023-03-16,7835016067048.71,8625645000000.0
2023-03-17,7427590613262.8125,8628673000000.0
2023-03-20,7347874267086.17,8693628300000.0
2023-03-21,7299486203320.197,8759440600000.0
2023-03-22,7241789086934.198,8835368000000.0
2023-03-23,7134338736134.156,8896551000000.0
2023-03-24,7130251503418.881,8960668000000.0
2023-03-27,7180486488065.648,8993217000000.0
2023-03-28,7280568193975.828,9002709000000.0
2023-03-29,7327656690015.436,8990370000000.0
2023-03-30,7329609056130.3,8956944000000.0
2023-03-31,7311879440106.99,8921767000000.0
2023-04-03,7325304612948.525,8895991000000.0
2023-04-04,7377407923525.817,8871370000000.0
2023-04-05,7386760734863.338,8850987000000.0
2023-04-06,7381242028884.785,8826931000000.0
2023-04-10,7392704293514.875,8789649000000.0
2023-04-11,7456405885919.867,8752309000000.0
2023-04-12,7458800690876.361,8714530600000.0
2023-04-13,7436068020306.84,8664609000000.0
2023-04-14,7425769673904.032,8627159000000.0
2023-04-17,7439059761573.263,8592476300000.0
2023-04-18,7480621241477.633,8561687500000.0
2023-04-19,7562548273470.363,8539165000000.0
2023-04-20,7581020926639.163,8520829000000.0
2023-04-21,7592445290056.44,8511522000000.0
2023-04-24,7669704020394.289,8498771400000.0
2023-04-25,7680119630116.693,8474006000000.0
2023-04-26,7762637674848.008,8450827000000.0
2023-04-27,7788034268058.771,8432214600000.0
2023-04-28,7849370911009.155,8421944300000.0
2023-05-01,8165378370792.168,8417865400000.0
2023-05-02,8215484158206.751,8410643000000.0
2023-05-03,8260014263599.913,8418314000000.0
2023-05-04,8254173105702.081,8423952400000.0
2023-05-05,8264896987743.909,8430687400000.0
2023-05-08,8410938357900.267,8431041000000.0
2023-05-09,8481869525138.125,8431105700000.0
2023-05-10,8488797480811.607,8427536000000.0
2023-05-11,8536473525553.659,8426330500000.0
2023-05-12,8662595360267.004,8424097000000.0
2023-05-15,8830422984783.71,8420321000000.0
2023-05-16,8963761759054.584,8411396700000.0
2023-05-17,9304733328297.52,8403267000000.0
2023-05-18,9332188583780.205,8398540000000.0
2023-05-19,9379558876991.248,8399965000000.0
2023-05-22,9405049542817.762,8406569000000.0
2023-05-23,9593642514076.826,8412744600000.0
2023-05-24,9596348292564.635,8419294600000.0
2023-05-25,9518091832496.693,8421639000000.0
2023-05-26,9475919943888.146,8428259400000.0
2023-05-30,9385371595970.4,8441468000000.0
2023-05-31,9157907269123.883,8464894500000.0
2023-06-01,8946648536305.514,8523072000000.0
2023-06-02,8879690505791.875,8580455000000.0
2023-06-05,8873634650573.463,8648148000000.0
2023-06-06,8859774407875.945,8712087400000.0
2023-06-07,8779313137023.045,8768635000000.0
2023-06-08,8764110976026.76,8832336000000.0
2023-06-09,8813592529500.248,8874366000000.0
2023-06-12,8837356948184.77,8902932000000.0
2023-06-13,8819139335308.904,8927437000000.0
2023-06-14,8738489318064.353,8958754000000.0
2023-06-15,8717745587853.41,8992480000000.0
2023-06-16,8478708361620.594,9032791000000.0
2023-06-20,8533998698449.688,9131269000000.0
2023-06-21,8688097526080.067,9202623000000.0
2023-06-22,8698567398747.064,9273668000000.0
2023-06-23,8522205553455.357,9321798000000.0
2023-06-26,8580017629364.466,9407605000000.0
2023-06-27,8674816128043.186,9452012000000.0
2023-06-28,8714223319069.283,9488137000000.0
2023-06-29,8777221337340.757,9515904000000.0
2023-06-30,8744100654249.883,9516267000000.0
2023-07-03,8982889197926.852,9505835000000.0
2023-07-05,9040920044460.89,9406116000000.0
2023-07-06,9099885060528.578,9347490000000.0
2023-07-07,9102917778054.076,9299120000000.0
2023-07-10,9115989601747.89,9233039000000.0
2023-07-11,9137040792832.18,9177732000000.0
2023-07-12,9101805336733.041,9074252000000.0
2023-07-13,9025422242165.523,9003121000000.0
2023-07-14,8959182927665.775,8943252000000.0
2023-07-17,8917916521808.854,8853672000000.0
2023-07-18,8833577904568.611,8826710000000.0
2023-07-19,8754592435417.368,8817911000000.0
2023-07-20,8667595230374.952,8837644000000.0
2023-07-21,8479777335762.677,8868934000000.0
2023-07-24,8440205774307.196,8911563000000.0
2023-07-25,8425819455495.098,8950521000000.0
2023-07-26,8400976220247.257,8983069000000.0
2023-07-27,8285028697337.141,9012896000000.0
2023-07-28,8162881647125.921,9039960000000.0
2023-07-31,8117095406375.4375,9041203000000.0
2023-08-01,8082290393500.206,9048344000000.0
2023-08-02,8044255871742.978,9003980000000.0
2023-08-03,7969988431425.747,9027881000000.0
2023-08-04,7895724400805.347,9035185000000.0
2023-08-07,7887789526579.425,9057098000000.0
2023-08-08,7889887483833.356,9020600000000.0
2023-08-09,7843715115639.917,9018416000000.0
2023-08-10,7820707754613.665,9005610000000.0
2023-08-11,7840898814562.004,8991314000000.0
2023-08-14,7850384991050.466,8967062000000.0
2023-08-15,7885130880466.081,8933364000000.0
2023-08-16,8228522554275.371,8947911000000.0
2023-08-17,8173158318715.985,8922516000000.0
2023-08-18,8114683294575.546,8899317000000.0
2023-08-21,8065847556756.714,8875703000000.0
2023-08-22,8127195013481.98,8852439000000.0
2023-08-23,8103150756784.545,8826896000000.0
2023-08-24,8009868747183.915,8781337500000.0
2023-08-25,7996720596015.165,8757069000000.0
2023-08-28,8075999807064.008,8726672600000.0
2023-08-29,8077041298040.787,8702139000000.0
2023-08-30,8116304100922.125,8671172500000.0
2023-08-31,8065637030984.641,8640465000000.0
2023-09-01,8093326213237.963,8623227000000.0
2023-09-05,8097210308772.94,8595836000000.0
2023-09-06,8087290968882.904,8602117500000.0
2023-09-07,8100022643067.817,8603529400000.0
2023-09-08,8079745097655.301,8601429000000.0
2023-09-11,8072456805263.563,8590002000000.0
2023-09-12,8073604392735.978,8586267000000.0
2023-09-13,8092880415276.318,8582681000000.0
2023-09-14,8079087633064.425,8581043700000.0
2023-09-15,7724382068606.913,8577394700000.0
2023-09-18,7797063153811.27,8618804000000.0
2023-09-19,7848663546230.128,8630188000000.0
2023-09-20,7949177358306.4375,8638685000000.0
2023-09-21,7957403418653.631,8638009700000.0
2023-09-22,7982573711157.075,8640250000000.0
2023-09-25,8046102040011.244,8626863000000.0
2023-09-26,8114430923378.675,8607682000000.0
2023-09-27,8179516180359.914,8588904400000.0
2023-09-28,8200539863346.943,8568990300000.0
2023-09-29,8190057807332.259,8549089400000.0
2023-10-02,8212456809513.21,8533304000000.0
2023-10-03,8267343835382.221,8517823000000.0
2023-10-04,8356207752910.7705,8506020000000.0
2023-10-05,8445664752662.571,8492840000000.0
2023-10-06,8405094603518.934,8478501000000.0
2023-10-09,8466378369892.035,8470225000000.0
2023-10-10,8464264562067.753,8461602000000.0
2023-10-11,8505797956229.776,8460133000000.0
2023-10-12,8509903985809.01,8457212700000.0
2023-10-13,8475845271275.106,8462602300000.0
2023-10-16,8588675758197.525,8464459000000.0
2023-10-17,8631252196201.223,8464572000000.0
2023-10-18,8651276177487.956,8472293000000.0
2023-10-19,8603772967983.916,8480263500000.0
2023-10-20,8575543276252.615,8489212600000.0
2023-10-23,8561505670024.096,8497199000000.0
2023-10-24,8533846442540.0,8497247300000.0
2023-10-25,8277478547665.55,8498365600000.0
2023-10-26,8185242812492.853,8506279000000.0
2023-10-27,8165192445777.542,8518067000000.0
2023-10-30,8210284851809.073,8508828000000.0
2023-10-31,8372154590462.376,8519463500000.0
2023-11-01,8374958889156.176,8533922000000.0
