date,actual,pred
2023-01-03,8099883911274.946,8164437242415.062
2023-01-04,8216489012625.982,8111226514374.929
2023-01-05,8262160380643.825,8235944421325.437
2023-01-06,8333149613174.889,8020658450833.487
2023-01-09,8360577745867.116,7913215947087.553
2023-01-10,8468969267192.007,7818136631896.739
2023-01-11,8487921772362.319,7761895072214.213
2023-01-12,8467558839501.219,8024419286997.024
2023-01-13,8528272270651.024,8450610483664.506
2023-01-17,8533144359678.842,8567569182658.676
2023-01-18,8561506312219.71,8415113009184.316
2023-01-19,8615023134070.287,8237174518535.508
2023-01-20,8606481328185.884,8216889655949.127
2023-01-23,8593218061085.051,8265877673965.909
2023-01-24,8655845572102.946,8315563313406.8545
2023-01-25,8654521587473.224,8547337348054.65
2023-01-26,8613976092473.502,8702970012947.329
2023-01-27,8622117897091.473,8807423639278.287
2023-01-30,8627209750181.582,8642622887294.068
2023-01-31,8572995395175.349,8545737115518.502
2023-02-01,8466606827494.018,8633356239040.274
2023-02-02,8245336360716.474,8981264923607.148
2023-02-03,8129031010415.793,9152144910181.527
2023-02-06,8084797146170.608,8946568380999.572
2023-02-07,8036410705874.217,9134933169503.613
2023-02-08,8108597080230.643,8828266074581.67
2023-02-09,8198060367888.714,8798123269339.959
2023-02-10,8293217191390.542,8626299474871.948
2023-02-13,8448350184383.345,8619271884949.013
2023-02-14,8552259381342.094,8683850706000.245
2023-02-15,8911449195937.002,8923321162224.709
2023-02-16,8906762576883.512,8937319361894.078
2023-02-17,8907026852891.45,8829395908849.22
2023-02-21,8916798224213.068,8762979994127.754
2023-02-22,8953596158057.738,8733509342040.156
2023-02-23,8929605260701.123,8855535599935.705
2023-02-24,8898166704334.088,8828402608308.02
2023-02-27,8867127264976.318,8701048680127.89
2023-02-28,8792899706602.288,8836721787667.01
2023-03-01,8752088329482.589,8852187680302.037
2023-03-02,8784318376806.74,8739790964677.608
2023-03-03,8785563831935.92,8837694797935.814
2023-03-06,8763545246061.002,8952570654538.877
2023-03-07,8762327866905.922,8965198060300.018
2023-03-08,8754861635302.509,8771086311705.743
2023-03-09,8664619995978.494,8588445462286.122
2023-03-10,8500347493594.11,8734361725883.549
2023-03-13,8329529169394.2,8751860645745.989
2023-03-14,8195714411103.186,8833007611224.332
2023-03-15,8011016253889.801,9264897325084.617
2023-03-16,7835016067048.71,9590522474629.61
2023-03-17,7427590613262.8125,9847733033055.951
2023-03-20,7347874267086.17,9219225149986.166
2023-03-21,7299486203320.197,9067879574781.6
2023-03-22,7241789086934.198,9232250768448.025
2023-03-23,7134338736134.156,9166579645579.506
2023-03-24,7130251503418.881,9085074453668.15
2023-03-27,7180486488065.648,8973212034280.352
2023-03-28,7280568193975.828,8872754918460.547
2023-03-29,7327656690015.436,8785084832060.532
2023-03-30,7329609056130.3,8872768342482.969
2023-03-31,7311879440106.99,9203479872881.36
2023-04-03,7325304612948.525,9131305155352.754
2023-04-04,7377407923525.817,9066539947030.824
2023-04-05,7386760734863.338,8964234087217.94
2023-04-06,7381242028884.785,8977602418862.992
2023-04-10,7392704293514.875,9055649628882.877
2023-04-11,7456405885919.867,8884160523080.988
2023-04-12,7458800690876.361,9052155892146.982
2023-04-13,7436068020306.84,9053680312702.621
2023-04-14,7425769673904.032,9220464564056.812
2023-04-17,7439059761573.263,9060167400211.627
2023-04-18,7480621241477.633,9059924619984.332
2023-04-19,7562548273470.363,9114916295871.438
2023-04-20,7581020926639.163,9054536529355.676
2023-04-21,7592445290056.44,8912816503784.768
2023-04-24,7669704020394.289,8882402220315.781
2023-04-25,7680119630116.693,8849770659332.479
2023-04-26,7762637674848.008,8701277537519.286
2023-04-27,7788034268058.771,8713398732729.876
2023-04-28,7849370911009.155,8610850381516.232
2023-05-01,8165378370792.168,8593122184829.438
2023-05-02,8215484158206.751,8626867223935.003
2023-05-03,8260014263599.913,8605121377985.904
2023-05-04,8254173105702.081,8432918497572.339
2023-05-05,8264896987743.909,8489908227170.8545
2023-05-08,8410938357900.267,8516348043581.282
2023-05-09,8481869525138.125,8680062562508.417
2023-05-10,8488797480811.607,8729943978196.919
2023-05-11,8536473525553.659,8739145943739.039
2023-05-12,8662595360267.004,8829212880316.533
2023-05-15,8830422984783.71,8780775964308.473
2023-05-16,8963761759054.584,8726818189864.723
2023-05-17,9304733328297.52,8783548879602.944
2023-05-18,9332188583780.205,8748119509376.704
2023-05-19,9379558876991.248,8700344383840.0
2023-05-22,9405049542817.762,8688401086642.8545
2023-05-23,9593642514076.826,8661962609868.857
2023-05-24,9596348292564.635,8491975688245.483
2023-05-25,9518091832496.693,8456689704567.107
2023-05-26,9475919943888.146,8387898655803.384
2023-05-30,9385371595970.4,8566319939324.673
2023-05-31,9157907269123.883,8992493895807.885
2023-06-01,8946648536305.514,9203352553480.537
2023-06-02,8879690505791.875,9208051621539.174
2023-06-05,8873634650573.463,9052499027743.363
2023-06-06,8859774407875.945,9036352698972.748
2023-06-07,8779313137023.045,9249915464399.781
2023-06-08,8764110976026.76,8978100091422.363
2023-06-09,8813592529500.248,9033993326424.102
2023-06-12,8837356948184.77,8879443924468.332
2023-06-13,8819139335308.904,9300391497719.635
2023-06-14,8738489318064.353,9522209445183.02
2023-06-15,8717745587853.41,9723774429546.049
2023-06-16,8478708361620.594,10322349966433.283
2023-06-20,8533998698449.688,9842900074184.068
2023-06-21,8688097526080.067,9688066478796.652
2023-06-22,8698567398747.064,9215378930944.096
2023-06-23,8522205553455.357,9717504321220.848
2023-06-26,8580017629364.466,9462114454473.719
2023-06-27,8674816128043.186,9199756168765.766
2023-06-28,8714223319069.283,9015674515377.002
2023-06-29,8777221337340.757,8947974717088.863
2023-06-30,8744100654249.883,9096208979787.48
2023-07-03,8982889197926.852,9130396834487.28
2023-07-05,9040920044460.89,9145813284963.84
2023-07-06,9099885060528.578,9111608122773.174
2023-07-07,9102917778054.076,9105395933637.455
2023-07-10,9115989601747.89,9102247067526.39
2023-07-11,9137040792832.18,9007662797382.28
2023-07-12,9101805336733.041,9187901449920.758
2023-07-13,9025422242165.523,9266626818483.764
2023-07-14,8959182927665.775,9309194833779.512
2023-07-17,8917916521808.854,9157376449543.018
2023-07-18,8833577904568.611,9375623513643.645
2023-07-19,8754592435417.368,9583346747035.795
2023-07-20,8667595230374.952,9774312636292.537
2023-07-21,8479777335762.677,10198555387966.36
2023-07-24,8440205774307.196,9379596718746.07
2023-07-25,8425819455495.098,9119844032175.527
2023-07-26,8400976220247.257,9274713736472.2
2023-07-27,8285028697337.141,9625654734249.744
2023-07-28,8162881647125.921,9495904517523.404
2023-07-31,8117095406375.4375,9375323721523.498
2023-08-01,8082290393500.206,9078196073672.318
2023-08-02,8044255871742.978,9282925722895.574
2023-08-03,7969988431425.747,9102657940539.15
2023-08-04,7895724400805.347,9042963575149.08
2023-08-07,7887789526579.425,8777590395412.629
2023-08-08,7889887483833.356,8741759355107.43
2023-08-09,7843715115639.917,8608264012176.127
2023-08-10,7820707754613.665,8600884143569.157
2023-08-11,7840898814562.004,8754764115703.705
2023-08-14,7850384991050.466,8931390546663.08
2023-08-15,7885130880466.081,8814173151042.234
2023-08-16,8228522554275.371,8677257022445.98
2023-08-17,8173158318715.985,8646553335469.54
2023-08-18,8114683294575.546,8607112704524.109
2023-08-21,8065847556756.714,8608113845100.082
2023-08-22,8127195013481.98,8568761843646.852
2023-08-23,8103150756784.545,8548251268764.441
2023-08-24,8009868747183.915,8615457440173.176
2023-08-25,7996720596015.165,8729112981261.642
2023-08-28,8075999807064.008,8952032233801.951
2023-08-29,8077041298040.787,9112191598318.613
2023-08-30,8116304100922.125,9059870190363.818
2023-08-31,8065637030984.641,9294712702474.365
2023-09-01,8093326213237.963,9154739506413.088
2023-09-05,8097210308772.94,8926402070521.67
2023-09-06,8087290968882.904,8893360574818.127
2023-09-07,8100022643067.817,8966231287112.248
2023-09-08,8079745097655.301,8925764855671.105
2023-09-11,8072456805263.563,8940374709320.795
2023-09-12,8073604392735.978,8922515839530.951
2023-09-13,8092880415276.318,8945398989400.512
2023-09-14,8079087633064.425,8993986892462.842
2023-09-15,7724382068606.913,9259838777414.234
2023-09-18,7797063153811.27,9007849532949.24
2023-09-19,7848663546230.128,9037117827022.05
2023-09-20,7949177358306.4375,8880734379249.182
2023-09-21,7957403418653.631,8805345244709.701
2023-09-22,7982573711157.075,8895103555347.805
2023-09-25,8046102040011.244,8854732255669.6
2023-09-26,8114430923378.675,8830246925780.545
2023-09-27,8179516180359.914,8808421617301.93
2023-09-28,8200539863346.943,8870870834689.0
2023-09-29,8190057807332.259,8849016761665.201
2023-10-02,8212456809513.21,8811173149865.701
2023-10-03,8267343835382.221,8730948758504.154
2023-10-04,8356207752910.7705,8681089056531.024
2023-10-05,8445664752662.571,8742848904085.713
2023-10-06,8405094603518.934,8778929315407.097
2023-10-09,8466378369892.035,8769427327247.328
2023-10-10,8464264562067.753,8768932313751.898
2023-10-11,8505797956229.776,8763284055153.32
2023-10-12,8509903985809.01,8785577210178.981
2023-10-13,8475845271275.106,8759672068050.63
2023-10-16,8588675758197.525,8571773387597.023
2023-10-17,8631252196201.223,8495971923819.863
2023-10-18,8651276177487.956,8564424297344.803
2023-10-19,8603772967983.916,8535411107673.914
2023-10-20,8575543276252.615,8463022005411.372
2023-10-23,8561505670024.096,8435315801344.53
2023-10-24,8533846442540.0,8516616313148.316
2023-10-25,8277478547665.55,8593480092148.124
2023-10-26,8185242812492.853,8590998623008.837
2023-10-27,8165192445777.542,8490174248484.298
2023-10-30,8210284851809.073,8560810370009.831
2023-10-31,8372154590462.376,8522440186052.742
2023-11-01,8374958889156.176,8738413272004.671
2023-11-02,8354074800702.578,8958936717357.12
2023-11-03,8316601866882.347,9411499527431.363
2023-11-06,8355593160723.921,9217834030575.104
2023-11-07,8382597687076.24,9095877072484.842
2023-11-08,8421494255583.478,8949668775661.56
2023-11-09,8455340280449.498,8995842101232.629
2023-11-10,8471233712440.513,8929216664817.064
2023-11-13,8660248693403.075,8872904893813.414
2023-11-14,8846803250811.922,9251891568752.352
2023-11-15,9310653392254.246,9527956591245.504
2023-11-16,9347093599264.414,9244925486297.209
2023-11-17,9383797046775.062,8991487227820.543
2023-11-20,9452627095821.283,8935930202851.53
2023-11-21,9466309791939.857,8955543170440.668
2023-11-22,9444195775317.914,8972733307052.28
2023-11-24,9549910554039.29,9041798032508.29
2023-11-27,9501530669857.719,9154316029972.191
2023-11-28,9416112945033.424,9126136629338.742
2023-11-29,9324447721913.234,9261679877974.312
2023-11-30,9209716496189.355,9591728680422.082
