date,actual,pred
2023-01-03,366421685444.583,339783003499.01245
2023-01-04,330694015191.7134,364639522482.56714
2023-01-05,372900825530.29346,361198032502.83435
2023-01-06,379258656525.76697,355923700754.9326
2023-01-09,319662055561.93866,371378837369.2443
2023-01-10,363102449018.5793,355598309663.06775
2023-01-11,371471183726.68274,359145027267.754
2023-01-12,335143083036.9447,357714065994.48694
2023-01-13,372705644118.1733,371585636757.9274
2023-01-17,377696913656.18256,371176927352.7032
2023-01-18,353690639719.4868,374114200343.6181
2023-01-19,398266846428.50397,377073709489.45807
2023-01-20,392457607370.5275,386461795587.5721
2023-01-23,330101358762.0445,399243933575.34393
2023-01-24,371412492435.28625,338570524744.65607
2023-01-25,382645171092.05817,372443957391.2422
2023-01-26,410508163087.6619,378146432821.44275
2023-01-27,369868410261.03375,410150308279.8609
2023-01-30,427563916821.5688,392653443378.22687
2023-01-31,485685314040.7866,421501896092.06573
2023-02-01,588627479445.1163,434001863378.33466
2023-02-02,483026786795.6452,472530507331.2641
2023-02-03,376365383209.54236,498340478052.417
2023-02-06,443890058061.37213,419529849934.1252
2023-02-07,406686789217.9954,437286403363.4616
2023-02-08,428053576886.8182,437290306487.4394
2023-02-09,382054954188.8812,420139995376.5344
2023-02-10,351108250865.5791,398184102678.899
2023-02-13,395856514186.7634,376043652970.9851
2023-02-14,377577733145.99835,389741386860.4472
2023-02-15,406058866197.0521,388487324528.88385
2023-02-16,407207461570.0421,418438790649.9801
2023-02-17,389725040544.1023,416701248632.34644
2023-02-21,379194340269.70435,404994856931.15845
2023-02-22,392728869779.9461,377717485587.9531
2023-02-23,370088507805.55096,399591410099.1561
2023-02-24,342099676092.3339,399794942429.84235
2023-02-27,418649967705.6412,356285376100.29083
2023-02-28,374960263351.1346,392235056651.44763
2023-03-01,373349561815.3444,382702237682.168
2023-03-02,379296746359.43994,373790938581.9647
2023-03-03,367357012667.58936,383384482285.67053
2023-03-06,366721436494.9701,383857055512.9969
2023-03-07,332131518964.35345,382608383735.56726
2023-03-08,395503617764.96844,363141890250.56604
2023-03-09,478873163574.44086,384394003840.46826
2023-03-10,517516864544.8864,402424202546.33545
2023-03-13,477211777690.7132,463242762993.8838
2023-03-14,506241243858.3554,444442312850.8302
2023-03-15,499765711145.5265,560695457437.9037
2023-03-16,736767547740.8927,512636527133.6064
2023-03-17,401372247143.5621,593776826433.7179
2023-03-20,407471737577.979,433486492781.2933
2023-03-21,399496411865.7385,416249873120.9081
2023-03-22,415992274114.36725,423671939041.4499
2023-03-23,368737972423.33923,419139635679.61816
2023-03-24,338649951438.5082,386531933892.15826
2023-03-27,311060236734.5674,366153901224.881
2023-03-28,344422409331.61584,335547034876.5868
2023-03-29,334148886231.4185,348568194916.7512
