date,actual,pred
2023-01-03,366421685444.583,335858270000.0
2023-01-04,330694015191.7134,395524200000.0
2023-01-05,372900825530.29346,385367600000.0
2023-01-06,379258656525.76697,360150200000.0
2023-01-09,319662055561.93866,372032900000.0
2023-01-10,363102449018.5793,361788800000.0
2023-01-11,371471183726.68274,342651730000.0
2023-01-12,335143083036.9447,340634270000.0
2023-01-13,372705644118.1733,398002620000.0
2023-01-17,377696913656.18256,364583220000.0
2023-01-18,353690639719.4868,370713260000.0
2023-01-19,398266846428.50397,386094500000.0
2023-01-20,392457607370.5275,381654600000.0
2023-01-23,330101358762.0445,394188900000.0
2023-01-24,371412492435.28625,333753480000.0
2023-01-25,382645171092.05817,367343900000.0
2023-01-26,410508163087.6619,370628430000.0
2023-01-27,369868410261.03375,403707760000.0
2023-01-30,427563916821.5688,368003100000.0
2023-01-31,485685314040.7866,430106280000.0
2023-02-01,588627479445.1163,420927340000.0
2023-02-02,483026786795.6452,473329960000.0
2023-02-03,376365383209.54236,496165700000.0
2023-02-06,443890058061.37213,391693170000.0
2023-02-07,406686789217.9954,456930620000.0
2023-02-08,428053576886.8182,449000500000.0
2023-02-09,382054954188.8812,438459730000.0
2023-02-10,351108250865.5791,380279060000.0
2023-02-13,395856514186.7634,384073200000.0
2023-02-14,377577733145.99835,393332000000.0
2023-02-15,406058866197.0521,391437000000.0
2023-02-16,407207461570.0421,411240100000.0
2023-02-17,389725040544.1023,446111780000.0
2023-02-21,379194340269.70435,423540700000.0
2023-02-22,392728869779.9461,397585320000.0
2023-02-23,370088507805.55096,401408130000.0
2023-02-24,342099676092.3339,387395000000.0
2023-02-27,418649967705.6412,368912500000.0
2023-02-28,374960263351.1346,383474430000.0
2023-03-01,373349561815.3444,395612500000.0
2023-03-02,379296746359.43994,372730400000.0
2023-03-03,367357012667.58936,394985180000.0
2023-03-06,366721436494.9701,393130250000.0
2023-03-07,332131518964.35345,370646800000.0
2023-03-08,395503617764.96844,365962000000.0
2023-03-09,478873163574.44086,377239830000.0
2023-03-10,517516864544.8864,404786450000.0
2023-03-13,477211777690.7132,449193250000.0
2023-03-14,506241243858.3554,451997600000.0
2023-03-15,499765711145.5265,496104180000.0
2023-03-16,736767547740.8927,506919600000.0
2023-03-17,401372247143.5621,576683100000.0
2023-03-20,407471737577.979,426015030000.0
2023-03-21,399496411865.7385,397263930000.0
2023-03-22,415992274114.36725,395291160000.0
2023-03-23,368737972423.33923,424535500000.0
2023-03-24,338649951438.5082,389959300000.0
2023-03-27,311060236734.5674,372719700000.0
2023-03-28,344422409331.61584,336251850000.0
2023-03-29,334148886231.4185,352693520000.0
2023-03-30,405579609139.4932,328751500000.0
2023-03-31,380542201488.6286,375529800000.0
