date,actual,pred
2023-01-03,1768937238254.2961,1920157200000.0
2023-01-04,1765618001828.293,1782979100000.0
2023-01-05,1806395170363.2634,1763020400000.0
2023-01-06,1768637427869.9138,1801702700000.0
2023-01-09,1762084415462.3208,1853729000000.0
2023-01-10,1820119273556.559,1717938000000.0
2023-01-11,1810707464257.466,1818762500000.0
2023-01-12,1837503126959.2876,1922128700000.0
2023-01-13,1894817651292.8752,1905661400000.0
2023-01-17,1852213365936.7478,1918476900000.0
2023-01-18,1845928944715.851,1864604800000.0
2023-01-19,1874883476088.4211,1850563800000.0
2023-01-20,1887124792747.576,1954368700000.0
2023-01-23,1864535595638.0881,1871138800000.0
2023-01-24,1961998153697.6091,1888607700000.0
2023-01-25,2076270975303.1125,1971113800000.0
2023-01-26,2282253283656.1675,2039981300000.0
2023-01-27,2354771907364.149,1999978900000.0
2023-01-30,2361268880312.657,1911052200000.0
2023-01-31,2377595021552.465,2116358900000.0
2023-02-01,2298596496729.671,2176815300000.0
2023-02-02,2138022594171.373,2232418800000.0
2023-02-03,2037050761564.6084,2325749200000.0
2023-02-06,2011793629220.6458,2047485000000.0
2023-02-07,1963760085346.04,2315418600000.0
2023-02-08,1934651029274.0386,2083921500000.0
2023-02-09,1912656318584.2734,2107971300000.0
2023-02-10,1937808825965.436,2006443600000.0
2023-02-13,1976425615643.9546,1814493800000.0
2023-02-14,1959763441726.9014,2071888900000.0
2023-02-15,1974914578360.8481,2049278300000.0
2023-02-16,1938944219969.346,1928216700000.0
2023-02-17,1873836434491.6353,2014096900000.0
2023-02-21,1902761361653.175,1973683400000.0
2023-02-22,1898527284734.61,1935915000000.0
2023-02-23,1879147976770.0088,2003911800000.0
2023-02-24,1888356215323.8953,1934645100000.0
2023-02-27,1913613551899.1501,1694445600000.0
2023-02-28,1861685020688.4792,1933796700000.0
2023-03-01,1818856276301.6978,1934493900000.0
2023-03-02,1841010332251.3198,1884487500000.0
2023-03-03,1940586749466.3225,2044667400000.0
2023-03-06,2090746601343.617,1984498100000.0
2023-03-07,2201236942539.362,1897649100000.0
2023-03-08,2375346667433.365,1823048300000.0
2023-03-09,2479608760813.9277,1949908100000.0
2023-03-10,2737503144980.38,2108695100000.0
2023-03-13,2621358527579.053,2317000000000.0
2023-03-14,2551618487466.315,2301048400000.0
2023-03-15,2444873655473.7007,2680083200000.0
2023-03-16,2361100218442.541,2576349100000.0
2023-03-17,1993070643124.987,2763597500000.0
2023-03-20,1930348347419.9324,2141710200000.0
2023-03-21,1833936846576.5222,1802410800000.0
2023-03-22,1778862844042.3982,1947651800000.0
2023-03-23,1697019456159.4475,2069057400000.0
2023-03-24,1733861092875.6057,1966978900000.0
2023-03-27,1775753342925.726,1740643600000.0
2023-03-28,1810031532983.834,1710878100000.0
2023-03-29,1831113180992.103,1780230000000.0
2023-03-30,1821629582121.624,1812909400000.0
2023-03-31,1721311951423.0808,1969287500000.0
2023-04-03,1655370411124.507,1969625600000.0
2023-04-04,1656730524676.8196,1835423800000.0
2023-04-05,1634623486736.6223,1935409200000.0
2023-04-06,1631501286020.6682,1817722100000.0
2023-04-10,1650004831884.1565,1835378300000.0
2023-04-11,1664746264649.0752,1985793100000.0
2023-04-12,1639703625271.0032,1832670700000.0
2023-04-13,1655390279683.3335,1851418200000.0
2023-04-14,1675646488518.0876,1882486600000.0
2023-04-17,1660422887527.9739,1989303500000.0
2023-04-18,1695731533281.0703,1998872900000.0
2023-04-19,1762960568399.425,1994740600000.0
2023-04-20,1815018837232.1628,1924193800000.0
2023-04-21,1864730447123.624,2002093200000.0
2023-04-24,1892289776155.5962,1956013300000.0
2023-04-25,1915489029563.707,1843398300000.0
2023-04-26,1920571467808.6074,1962526900000.0
2023-04-27,1906871262533.8008,2017084000000.0
2023-04-28,1890217225840.0122,2043384700000.0
2023-05-01,1873262554876.1045,1984725300000.0
2023-05-02,1802136804830.9648,1994508500000.0
2023-05-03,1786471684095.832,2123098600000.0
2023-05-04,1738123292027.361,1916706800000.0
2023-05-05,1683930772180.127,2048371700000.0
2023-05-08,1676028931039.9395,1960570100000.0
2023-05-09,1696360299942.5388,1913393800000.0
2023-05-10,1688961620206.8428,1885983500000.0
2023-05-11,1743451207865.0251,1959893400000.0
2023-05-12,1800343186015.656,1946081000000.0
2023-05-15,1842322104670.494,1962699100000.0
2023-05-16,1891067146349.0105,1908531400000.0
2023-05-17,1895229921920.145,1914101800000.0
2023-05-18,1963049969777.0552,1956449900000.0
2023-05-19,2022032178651.7695,1983113300000.0
2023-05-22,2121656068076.319,2032698700000.0
2023-05-23,2387964126553.4727,2069827000000.0
2023-05-24,2450853557653.7583,1875193900000.0
2023-05-25,2417948056560.5166,2119530000000.0
2023-05-26,2373010100177.12,2172331600000.0
2023-05-30,2305743302574.766,2276328000000.0
2023-05-31,2118822541984.206,2360608800000.0
2023-06-01,2068522171762.3354,2214040700000.0
2023-06-02,2015254901307.5227,2214070300000.0
2023-06-05,2020423711878.938,2312607000000.0
2023-06-06,2081629144703.2488,1992721300000.0
2023-06-07,2095513557923.3752,2167663000000.0
