date,actual,pred
2023-01-03,1768937238254.2961,1431721500000.0
2023-01-04,1765618001828.293,1451876000000.0
2023-01-05,1806395170363.2634,1510487100000.0
2023-01-06,1768637427869.9138,1572120600000.0
2023-01-09,1762084415462.3208,1645592700000.0
2023-01-10,1820119273556.559,1720784400000.0
2023-01-11,1810707464257.466,1770579000000.0
2023-01-12,1837503126959.2876,1802524300000.0
2023-01-13,1894817651292.8752,1830134600000.0
2023-01-17,1852213365936.7478,1820581200000.0
2023-01-18,1845928944715.851,1820188900000.0
2023-01-19,1874883476088.4211,1822481600000.0
2023-01-20,1887124792747.576,1812266200000.0
2023-01-23,1864535595638.0881,1813113500000.0
2023-01-24,1961998153697.6091,1817548700000.0
2023-01-25,2076270975303.1125,1796510800000.0
2023-01-26,2282253283656.1675,1781602300000.0
2023-01-27,2354771907364.149,1773868000000.0
2023-01-30,2361268880312.657,1773945700000.0
2023-01-31,2377595021552.465,1772092500000.0
2023-02-01,2298596496729.671,1788073900000.0
2023-02-02,2138022594171.373,1818936100000.0
2023-02-03,2037050761564.6084,1905396000000.0
2023-02-06,2011793629220.6458,1977436200000.0
2023-02-07,1963760085346.04,1997851300000.0
2023-02-08,1934651029274.0386,2012998500000.0
2023-02-09,1912656318584.2734,2016349300000.0
2023-02-10,1937808825965.436,2017441900000.0
2023-02-13,1976425615643.9546,2000886800000.0
2023-02-14,1959763441726.9014,1964669300000.0
2023-02-15,1974914578360.8481,1942309800000.0
2023-02-16,1938944219969.346,1916538300000.0
2023-02-17,1873836434491.6353,1906777700000.0
2023-02-21,1902761361653.175,1910432700000.0
2023-02-22,1898527284734.61,1911989200000.0
2023-02-23,1879147976770.0088,1910454500000.0
2023-02-24,1888356215323.8953,1916121800000.0
2023-02-27,1913613551899.1501,1912784300000.0
2023-02-28,1861685020688.4792,1894550000000.0
2023-03-01,1818856276301.6978,1903721600000.0
2023-03-02,1841010332251.3198,1906748400000.0
2023-03-03,1940586749466.3225,1907054100000.0
2023-03-06,2090746601343.617,1909135900000.0
2023-03-07,2201236942539.362,1904720300000.0
2023-03-08,2375346667433.365,1898514500000.0
2023-03-09,2479608760813.9277,1878616400000.0
2023-03-10,2737503144980.38,1877810200000.0
2023-03-13,2621358527579.053,1916034200000.0
2023-03-14,2551618487466.315,1981366400000.0
2023-03-15,2444873655473.7007,2044667400000.0
2023-03-16,2361100218442.541,2104958100000.0
2023-03-17,1993070643124.987,2153400600000.0
2023-03-20,1930348347419.9324,2241156300000.0
2023-03-21,1833936846576.5222,2260927800000.0
2023-03-22,1778862844042.3982,2249267000000.0
2023-03-23,1697019456159.4475,2208402000000.0
2023-03-24,1733861092875.6057,2165493500000.0
2023-03-27,1775753342925.726,2104303800000.0
2023-03-28,1810031532983.834,2030590800000.0
2023-03-29,1831113180992.103,1945862100000.0
2023-03-30,1821629582121.624,1879315300000.0
2023-03-31,1721311951423.0808,1828547200000.0
2023-04-03,1655370411124.507,1821314000000.0
2023-04-04,1656730524676.8196,1829844800000.0
2023-04-05,1634623486736.6223,1833132100000.0
2023-04-06,1631501286020.6682,1842744400000.0
2023-04-10,1650004831884.1565,1835889300000.0
2023-04-11,1664746264649.0752,1812826400000.0
2023-04-12,1639703625271.0032,1789025700000.0
2023-04-13,1655390279683.3335,1779646000000.0
2023-04-14,1675646488518.0876,1779646000000.0
2023-04-17,1660422887527.9739,1773353700000.0
2023-04-18,1695731533281.0703,1764830300000.0
2023-04-19,1762960568399.425,1758610700000.0
2023-04-20,1815018837232.1628,1749794300000.0
2023-04-21,1864730447123.624,1758144400000.0
2023-04-24,1892289776155.5962,1762680800000.0
2023-04-25,1915489029563.707,1746356700000.0
2023-04-26,1920571467808.6074,1745351100000.0
2023-04-27,1906871262533.8008,1762526100000.0
2023-04-28,1890217225840.0122,1792482200000.0
2023-05-01,1873262554876.1045,1817975200000.0
2023-05-02,1802136804830.9648,1805793200000.0
2023-05-03,1786471684095.832,1811713200000.0
2023-05-04,1738123292027.361,1820088100000.0
2023-05-05,1683930772180.127,1830145200000.0
2023-05-08,1676028931039.9395,1829530900000.0
2023-05-09,1696360299942.5388,1801713000000.0
2023-05-10,1688961620206.8428,1762052100000.0
2023-05-11,1743451207865.0251,1748283000000.0
2023-05-12,1800343186015.656,1734737400000.0
2023-05-15,1842322104670.494,1712899200000.0
2023-05-16,1891067146349.0105,1681640800000.0
2023-05-17,1895229921920.145,1665387500000.0
2023-05-18,1963049969777.0552,1674161600000.0
2023-05-19,2022032178651.7695,1706133400000.0
2023-05-22,2121656068076.319,1740467700000.0
2023-05-23,2387964126553.4727,1762351300000.0
2023-05-24,2450853557653.7583,1787183900000.0
2023-05-25,2417948056560.5166,1805259500000.0
2023-05-26,2373010100177.12,1852873500000.0
2023-05-30,2305743302574.766,1900869600000.0
2023-05-31,2118822541984.206,1948643900000.0
2023-06-01,2068522171762.3354,2042858800000.0
2023-06-02,2015254901307.5227,2096255600000.0
2023-06-05,2020423711878.938,2120322500000.0
2023-06-06,2081629144703.2488,2109620500000.0
2023-06-07,2095513557923.3752,2080355000000.0
2023-06-08,2178252533859.012,2066974800000.0
2023-06-09,2504897467692.758,2035488300000.0
2023-06-12,2539166266091.5796,1997790400000.0
2023-06-13,2517306702739.894,1967609200000.0
2023-06-14,2416948662704.519,1965872400000.0
2023-06-15,2520947901371.2427,1985119000000.0
2023-06-16,2186844886187.286,2013704900000.0
2023-06-20,2148953218493.5232,2104600800000.0
2023-06-21,2118393245548.6472,2149830200000.0
2023-06-22,2101978121228.9702,2168200600000.0
2023-06-23,1952228881600.5425,2149440700000.0
2023-06-26,1801153801394.6123,2173985600000.0
2023-06-27,1779546729855.707,2157355500000.0
2023-06-28,1770724806862.4468,2130688700000.0
2023-06-29,1780146114480.298,2099941300000.0
2023-06-30,1740228409883.354,2056122000000.0
2023-07-03,1885984611483.6057,2035162200000.0
2023-07-05,1949156925015.9001,1928584500000.0
2023-07-06,1984146009490.2434,1875197400000.0
2023-07-07,2040994072136.2131,1858037100000.0
2023-07-10,2054689738964.674,1856057000000.0
2023-07-11,2131887145685.6565,1869155700000.0
2023-07-12,2170013299813.1008,1881266000000.0
2023-07-13,2235808016356.5254,1918253800000.0
2023-07-14,2386264893511.0435,1957804900000.0
2023-07-17,2377026743387.2495,1993302900000.0
2023-07-18,2325407866973.1714,2018315500000.0
2023-07-19,2288154153931.1475,2049571600000.0
2023-07-20,2289770648087.0205,2088525100000.0
2023-07-21,2144519038537.8887,2130229600000.0
2023-07-24,2180632059822.6484,2190221500000.0
2023-07-25,2174123982395.0627,2199120800000.0
2023-07-26,2204025369956.9937,2182448500000.0
2023-07-27,2145650646273.4043,2164139100000.0
2023-07-28,2156386548321.73,2160353200000.0
2023-07-31,2105842555193.6326,2145443000000.0
2023-08-01,2112117357381.372,2124123500000.0
2023-08-02,2040136206388.9558,2078808200000.0
2023-08-03,2010042217288.0437,2069550700000.0
2023-08-04,1909683191127.1877,2060676500000.0
2023-08-07,1897259221747.9187,2061199100000.0
2023-08-08,1856616659025.649,2031659900000.0
2023-08-09,1828424257422.0774,2013282600000.0
