date,actual,pred
2023-01-03,1768937238254.2961,1734575300000.0
2023-01-04,1765618001828.293,1769944100000.0
2023-01-05,1806395170363.2634,1779405000000.0
2023-01-06,1768637427869.9138,1815321000000.0
2023-01-09,1762084415462.3208,1818485000000.0
2023-01-10,1820119273556.559,1872020600000.0
2023-01-11,1810707464257.466,1878827700000.0
2023-01-12,1837503126959.2876,1903064500000.0
2023-01-13,1894817651292.8752,1861129900000.0
2023-01-17,1852213365936.7478,1812304200000.0
2023-01-18,1845928944715.851,1844319600000.0
2023-01-19,1874883476088.4211,1899535900000.0
2023-01-20,1887124792747.576,1936757000000.0
2023-01-23,1864535595638.0881,1942239400000.0
2023-01-24,1961998153697.6091,1952550400000.0
2023-01-25,2076270975303.1125,1936010800000.0
2023-01-26,2282253283656.1675,1930001300000.0
2023-01-27,2354771907364.149,1921622900000.0
2023-01-30,2361268880312.657,1886717500000.0
2023-01-31,2377595021552.465,1910501800000.0
2023-02-01,2298596496729.671,1909230700000.0
2023-02-02,2138022594171.373,1860963100000.0
2023-02-03,2037050761564.6084,1922884000000.0
2023-02-06,2011793629220.6458,1967868100000.0
2023-02-07,1963760085346.04,2037037900000.0
2023-02-08,1934651029274.0386,2056463300000.0
2023-02-09,1912656318584.2734,2107324100000.0
2023-02-10,1937808825965.436,2160106000000.0
2023-02-13,1976425615643.9546,2171246300000.0
2023-02-14,1959763441726.9014,2162595900000.0
2023-02-15,1974914578360.8481,2115495100000.0
2023-02-16,1938944219969.346,2075179500000.0
2023-02-17,1873836434491.6353,2112995000000.0
2023-02-21,1902761361653.175,2122370000000.0
2023-02-22,1898527284734.61,2199217500000.0
2023-02-23,1879147976770.0088,2197104500000.0
2023-02-24,1888356215323.8953,2159236700000.0
2023-02-27,1913613551899.1501,2150818500000.0
2023-02-28,1861685020688.4792,2112846000000.0
2023-03-01,1818856276301.6978,2093973800000.0
2023-03-02,1841010332251.3198,2082769000000.0
2023-03-03,1940586749466.3225,2053523600000.0
2023-03-06,2090746601343.617,2022172700000.0
2023-03-07,2201236942539.362,2023874400000.0
2023-03-08,2375346667433.365,2060829700000.0
2023-03-09,2479608760813.9277,2065630900000.0
2023-03-10,2737503144980.38,2168717400000.0
2023-03-13,2621358527579.053,2261587900000.0
2023-03-14,2551618487466.315,2333191400000.0
2023-03-15,2444873655473.7007,2271539600000.0
2023-03-16,2361100218442.541,2305107400000.0
2023-03-17,1993070643124.987,2209729000000.0
2023-03-20,1930348347419.9324,2239977000000.0
2023-03-21,1833936846576.5222,2197225900000.0
2023-03-22,1778862844042.3982,2103798000000.0
2023-03-23,1697019456159.4475,2086653800000.0
2023-03-24,1733861092875.6057,2084712500000.0
2023-03-27,1775753342925.726,2056604700000.0
2023-03-28,1810031532983.834,2014869200000.0
2023-03-29,1831113180992.103,1981109500000.0
2023-03-30,1821629582121.624,1949424500000.0
2023-03-31,1721311951423.0808,1944738000000.0
2023-04-03,1655370411124.507,1955494800000.0
2023-04-04,1656730524676.8196,1975280100000.0
2023-04-05,1634623486736.6223,2012012100000.0
2023-04-06,1631501286020.6682,2040849100000.0
2023-04-10,1650004831884.1565,2037815000000.0
2023-04-11,1664746264649.0752,2055938000000.0
2023-04-12,1639703625271.0032,2065032000000.0
2023-04-13,1655390279683.3335,2067909400000.0
2023-04-14,1675646488518.0876,2034894200000.0
2023-04-17,1660422887527.9739,2005923300000.0
2023-04-18,1695731533281.0703,1997005400000.0
2023-04-19,1762960568399.425,1998407900000.0
2023-04-20,1815018837232.1628,1996937000000.0
2023-04-21,1864730447123.624,2031586100000.0
2023-04-24,1892289776155.5962,2040288600000.0
2023-04-25,1915489029563.707,2046192900000.0
2023-04-26,1920571467808.6074,2103332600000.0
2023-04-27,1906871262533.8008,2123491700000.0
2023-04-28,1890217225840.0122,2079462700000.0
2023-05-01,1873262554876.1045,2030122000000.0
2023-05-02,1802136804830.9648,2009177900000.0
2023-05-03,1786471684095.832,2060177200000.0
2023-05-04,1738123292027.361,2094753000000.0
2023-05-05,1683930772180.127,2157775300000.0
2023-05-08,1676028931039.9395,2085058500000.0
2023-05-09,1696360299942.5388,2049458000000.0
2023-05-10,1688961620206.8428,2048270300000.0
2023-05-11,1743451207865.0251,2026988000000.0
2023-05-12,1800343186015.656,2019274400000.0
2023-05-15,1842322104670.494,2017145500000.0
2023-05-16,1891067146349.0105,2008128300000.0
2023-05-17,1895229921920.145,2029069300000.0
2023-05-18,1963049969777.0552,2010512100000.0
2023-05-19,2022032178651.7695,1995102000000.0
2023-05-22,2121656068076.319,2027026600000.0
2023-05-23,2387964126553.4727,2058975400000.0
2023-05-24,2450853557653.7583,2116262000000.0
2023-05-25,2417948056560.5166,2176815300000.0
2023-05-26,2373010100177.12,2174922800000.0
2023-05-30,2305743302574.766,2146286200000.0
2023-05-31,2118822541984.206,2130063000000.0
2023-06-01,2068522171762.3354,2156125500000.0
2023-06-02,2015254901307.5227,2111323200000.0
2023-06-05,2020423711878.938,2082824700000.0
2023-06-06,2081629144703.2488,2087107400000.0
2023-06-07,2095513557923.3752,2077456600000.0
2023-06-08,2178252533859.012,2092189500000.0
