date,actual,pred
2023-01-03,8099883911274.946,6728673153082.292
2023-01-04,8216489012625.982,7019290511792.885
2023-01-05,8262160380643.825,7433974856398.434
2023-01-06,8333149613174.889,7777334278324.047
2023-01-09,8360577745867.116,8021720191985.113
2023-01-10,8468969267192.007,7826635017845.731
2023-01-11,8487921772362.319,7938434701498.587
2023-01-12,8467558839501.219,8114853546540.438
2023-01-13,8528272270651.024,7977573685675.364
2023-01-17,8533144359678.842,8025259877812.954
2023-01-18,8561506312219.71,8088006183459.433
2023-01-19,8615023134070.287,7314717170459.12
2023-01-20,8606481328185.884,8047639449324.326
2023-01-23,8593218061085.051,8094744490546.774
2023-01-24,8655845572102.946,7766464981323.368
2023-01-25,8654521587473.224,7843900722053.012
2023-01-26,8613976092473.502,7972647895147.411
2023-01-27,8622117897091.473,8176796742436.702
2023-01-30,8627209750181.582,8024355404730.474
2023-01-31,8572995395175.349,8195022142835.914
2023-02-01,8466606827494.018,8378395124421.295
2023-02-02,8245336360716.474,8753663131523.01
2023-02-03,8129031010415.793,9067828713680.71
2023-02-06,8084797146170.608,8438821220292.705
2023-02-07,8036410705874.217,8748202006911.171
2023-02-08,8108597080230.643,8593257222605.491
2023-02-09,8198060367888.714,8714226914026.924
2023-02-10,8293217191390.542,8551236839250.468
2023-02-13,8448350184383.345,8258011635485.618
2023-02-14,8552259381342.094,8351213337327.613
2023-02-15,8911449195937.002,8286266496681.291
2023-02-16,8906762576883.512,8399610606021.803
2023-02-17,8907026852891.45,8567995797760.493
2023-02-21,8916798224213.068,8693169276837.182
2023-02-22,8953596158057.738,8625252367252.516
2023-02-23,8929605260701.123,8706630802529.772
2023-02-24,8898166704334.088,8422994169097.527
2023-02-27,8867127264976.318,8099615712272.899
2023-02-28,8792899706602.288,8465703250098.442
2023-03-01,8752088329482.589,8372255207510.17
2023-03-02,8784318376806.74,8184065320227.552
2023-03-03,8785563831935.92,8290616306674.681
2023-03-06,8763545246061.002,8243147636051.153
2023-03-07,8762327866905.922,8254552711261.791
2023-03-08,8754861635302.509,7879709940738.129
2023-03-09,8664619995978.494,7963655999385.87
2023-03-10,8500347493594.11,8149949776663.215
2023-03-13,8329529169394.2,8544208330832.059
2023-03-14,8195714411103.186,8890750923411.463
2023-03-15,8011016253889.801,9484575945131.695
2023-03-16,7835016067048.71,10005744824212.658
2023-03-17,7427590613262.8125,10268055406016.13
2023-03-20,7347874267086.17,9247047765488.475
2023-03-21,7299486203320.197,8989026674737.135
2023-03-22,7241789086934.198,8795676562579.517
2023-03-23,7134338736134.156,8862630017160.766
2023-03-24,7130251503418.881,8809643565162.713
2023-03-27,7180486488065.648,8563391905268.498
2023-03-28,7280568193975.828,8427121805698.791
2023-03-29,7327656690015.436,8109431433613.114
2023-03-30,7329609056130.3,7968325444395.526
2023-03-31,7311879440106.99,8225138488179.053
2023-04-03,7325304612948.525,8117576284489.499
2023-04-04,7377407923525.817,7938741317337.902
2023-04-05,7386760734863.338,8060962506018.852
2023-04-06,7381242028884.785,7925625446912.192
2023-04-10,7392704293514.875,7862720359038.713
2023-04-11,7456405885919.867,7811227096347.232
2023-04-12,7458800690876.361,7753358356578.211
2023-04-13,7436068020306.84,7755860596239.5205
2023-04-14,7425769673904.032,7765174351789.166
2023-04-17,7439059761573.263,7681329666053.006
2023-04-18,7480621241477.633,7635498232857.389
2023-04-19,7562548273470.363,7872082055438.397
2023-04-20,7581020926639.163,8075099040470.638
2023-04-21,7592445290056.44,8036748804089.42
2023-04-24,7669704020394.289,7948775693980.627
2023-04-25,7680119630116.693,8034654327966.541
2023-04-26,7762637674848.008,8087300224116.084
2023-04-27,7788034268058.771,8156001653995.009
2023-04-28,7849370911009.155,8091085577493.335
2023-05-01,8165378370792.168,7967424045027.921
2023-05-02,8215484158206.751,7968436021723.671
2023-05-03,8260014263599.913,8065675969278.549
2023-05-04,8254173105702.081,8073088678373.039
2023-05-05,8264896987743.909,7971983359595.123
2023-05-08,8410938357900.267,7723916040468.724
2023-05-09,8481869525138.125,7571128376497.937
2023-05-10,8488797480811.607,7795048773688.356
2023-05-11,8536473525553.659,7750510438161.159
2023-05-12,8662595360267.004,7662228507227.488
2023-05-15,8830422984783.71,7646002700932.728
2023-05-16,8963761759054.584,7739835403749.166
2023-05-17,9304733328297.52,7837339412600.392
2023-05-18,9332188583780.205,7826524023435.8
2023-05-19,9379558876991.248,7889891697276.033
2023-05-22,9405049542817.762,7892594103496.43
2023-05-23,9593642514076.826,7927288082619.338
2023-05-24,9596348292564.635,7902618555812.615
2023-05-25,9518091832496.693,8082602675582.143
2023-05-26,9475919943888.146,8174072863388.611
2023-05-30,9385371595970.4,8427549086048.242
2023-05-31,9157907269123.883,8822972642137.305
2023-06-01,8946648536305.514,8781418627904.79
2023-06-02,8879690505791.875,8625016344721.595
2023-06-05,8873634650573.463,8362667478219.083
2023-06-06,8859774407875.945,8259697669043.439
2023-06-07,8779313137023.045,8607984431866.005
2023-06-08,8764110976026.76,8479986877061.065
2023-06-09,8813592529500.248,8458620133638.846
2023-06-12,8837356948184.77,8506482295762.81
2023-06-13,8819139335308.904,8790908156934.659
2023-06-14,8738489318064.353,8834858361139.408
2023-06-15,8717745587853.41,9083122105908.475
2023-06-16,8478708361620.594,9830424470232.5
2023-06-20,8533998698449.688,9487178672153.676
2023-06-21,8688097526080.067,9507463810369.816
2023-06-22,8698567398747.064,8887731029247.172
2023-06-23,8522205553455.357,9461085527731.742
2023-06-26,8580017629364.466,8989814109890.557
2023-06-27,8674816128043.186,8925774443962.703
2023-06-28,8714223319069.283,8857277885475.842
2023-06-29,8777221337340.757,8473048317094.221
2023-06-30,8744100654249.883,8655498767456.761
2023-07-03,8982889197926.852,7740528328015.672
2023-07-05,9040920044460.89,7993252273676.172
2023-07-06,9099885060528.578,8259467740892.779
2023-07-07,9102917778054.076,8222539806425.003
2023-07-10,9115989601747.89,7818403046975.103
2023-07-11,9137040792832.18,8312769082172.809
2023-07-12,9101805336733.041,8669487447019.753
2023-07-13,9025422242165.523,8717881320176.644
2023-07-14,8959182927665.775,8872523471375.873
2023-07-17,8917916521808.854,8670656294730.634
2023-07-18,8833577904568.611,8812639670885.951
2023-07-19,8754592435417.368,8698294137127.179
