date,actual,pred
2023-01-03,1768937238254.2961,1374419661590.9878
2023-01-04,1765618001828.293,1397062590208.7434
2023-01-05,1806395170363.2634,1615970183730.8044
2023-01-06,1768637427869.9138,1729420746515.6602
2023-01-09,1762084415462.3208,1847338807812.2776
2023-01-10,1820119273556.559,1641325154440.1492
2023-01-11,1810707464257.466,1753097552529.0212
2023-01-12,1837503126959.2876,1783786918909.8508
2023-01-13,1894817651292.8752,1823351592029.9155
2023-01-17,1852213365936.7478,1823006136475.2559
2023-01-18,1845928944715.851,1852368573886.236
2023-01-19,1874883476088.4211,1792008718136.0115
2023-01-20,1887124792747.576,1949997298549.5237
2023-01-23,1864535595638.0881,1981075151627.7568
2023-01-24,1961998153697.6091,1737392560685.4114
2023-01-25,2076270975303.1125,1899926979749.3608
2023-01-26,2282253283656.1675,1912143683401.7778
2023-01-27,2354771907364.149,2008440531597.806
2023-01-30,2361268880312.657,1957137410999.3923
2023-01-31,2377595021552.465,2116675581573.719
2023-02-01,2298596496729.671,2143813647267.7214
2023-02-02,2138022594171.373,2272243869268.765
2023-02-03,2037050761564.6084,2390056860595.6694
2023-02-06,2011793629220.6458,2093098972850.9631
2023-02-07,1963760085346.04,2160700661506.0994
2023-02-08,1934651029274.0386,2140984269872.6082
2023-02-09,1912656318584.2734,2133054290470.967
2023-02-10,1937808825965.436,2068609382393.104
2023-02-13,1976425615643.9546,1905406065854.4607
2023-02-14,1959763441726.9014,1980392385289.5103
2023-02-15,1974914578360.8481,1952646188613.3728
2023-02-16,1938944219969.346,2022303728676.517
2023-02-17,1873836434491.6353,2110647116230.4163
2023-02-21,1902761361653.175,2028744765536.4006
2023-02-22,1898527284734.61,1997135315815.4304
2023-02-23,1879147976770.0088,2031165593719.3057
2023-02-24,1888356215323.8953,1966949269036.3613
2023-02-27,1913613551899.1501,1757329955308.9607
2023-02-28,1861685020688.4792,1965099023836.7346
2023-03-01,1818856276301.6978,1875810170814.0457
2023-03-02,1841010332251.3198,1870431884304.3013
2023-03-03,1940586749466.3225,1988921532962.363
2023-03-06,2090746601343.617,1961660258880.3884
2023-03-07,2201236942539.362,1896336389446.0623
2023-03-08,2375346667433.365,1776369933600.9998
2023-03-09,2479608760813.9277,1921878766614.11
2023-03-10,2737503144980.38,2050435824374.896
2023-03-13,2621358527579.053,2172294979790.5447
2023-03-14,2551618487466.315,2259499659332.9966
2023-03-15,2444873655473.7007,2715041894309.354
2023-03-16,2361100218442.541,2540352424886.829
2023-03-17,1993070643124.987,2732357119011.0386
2023-03-20,1930348347419.9324,2271329388236.1924
2023-03-21,1833936846576.5222,2119904860965.372
2023-03-22,1778862844042.3982,2121977959049.3076
2023-03-23,1697019456159.4475,2107005528901.4746
2023-03-24,1733861092875.6057,2013983253339.4233
2023-03-27,1775753342925.726,1783151116920.7493
2023-03-28,1810031532983.834,1667532019412.7444
2023-03-29,1831113180992.103,1720812439904.8284
2023-03-30,1821629582121.624,1748719922755.1416
2023-03-31,1721311951423.0808,1882565911200.9587
2023-04-03,1655370411124.507,1865628129933.0361
2023-04-04,1656730524676.8196,1800208012260.3333
2023-04-05,1634623486736.6223,1864425972302.767
2023-04-06,1631501286020.6682,1733286120738.864
2023-04-10,1650004831884.1565,1673884888386.1182
2023-04-11,1664746264649.0752,1747459579842.2183
2023-04-12,1639703625271.0032,1755194066703.3564
2023-04-13,1655390279683.3335,1746025158574.6821
2023-04-14,1675646488518.0876,1740673267325.3232
2023-04-17,1660422887527.9739,1832379679758.6807
2023-04-18,1695731533281.0703,1834922581077.2246
2023-04-19,1762960568399.425,1785151711849.7622
2023-04-20,1815018837232.1628,1872772850217.6597
2023-04-21,1864730447123.624,1813540278582.357
2023-04-24,1892289776155.5962,1726473959260.4248
2023-04-25,1915489029563.707,1786257715497.4124
2023-04-26,1920571467808.6074,1862493328737.0847
2023-04-27,1906871262533.8008,1976532543637.7908
2023-04-28,1890217225840.0122,2027297367492.7402
2023-05-01,1873262554876.1045,1864399058825.6418
2023-05-02,1802136804830.9648,1973132405420.0737
2023-05-03,1786471684095.832,2024429976520.423
2023-05-04,1738123292027.361,1983023538020.0393
2023-05-05,1683930772180.127,1981829516971.339
2023-05-08,1676028931039.9395,1844755532532.117
2023-05-09,1696360299942.5388,1806675212756.4648
2023-05-10,1688961620206.8428,1860953912769.755
2023-05-11,1743451207865.0251,1853270411467.0078
2023-05-12,1800343186015.656,1752865953283.5056
2023-05-15,1842322104670.494,1818420346277.9758
2023-05-16,1891067146349.0105,1818980508379.3396
2023-05-17,1895229921920.145,1805936826250.4553
2023-05-18,1963049969777.0552,1863453352104.532
2023-05-19,2022032178651.7695,1960992906736.365
2023-05-22,2121656068076.319,1967284319505.825
2023-05-23,2387964126553.4727,2021283020557.3752
2023-05-24,2450853557653.7583,1918125615634.4148
2023-05-25,2417948056560.5166,2048696745016.6448
2023-05-26,2373010100177.12,2109894526734.3755
2023-05-30,2305743302574.766,2236687112561.5415
2023-05-31,2118822541984.206,2427665278112.9995
2023-06-01,2068522171762.3354,2212849619872.115
2023-06-02,2015254901307.5227,2183317616217.703
2023-06-05,2020423711878.938,2024849972388.7908
2023-06-06,2081629144703.2488,1902707308039.9119
2023-06-07,2095513557923.3752,1995588376995.124
2023-06-08,2178252533859.012,1964413667149.449
2023-06-09,2504897467692.758,1913449227023.601
2023-06-12,2539166266091.5796,2025750661617.2441
2023-06-13,2517306702739.894,2027477075934.2832
2023-06-14,2416948662704.519,2066850483069.865
2023-06-15,2520947901371.2427,2184588720445.6309
2023-06-16,2186844886187.286,2286417062591.4023
2023-06-20,2148953218493.5232,2232366617381.3643
2023-06-21,2118393245548.6472,2131389291976.7803
2023-06-22,2101978121228.9702,1976636078616.0825
2023-06-23,1952228881600.5425,2013593770304.9163
2023-06-26,1801153801394.6123,1958313981058.0125
2023-06-27,1779546729855.707,1915915856670.9927
2023-06-28,1770724806862.4468,1971109777254.8516
2023-06-29,1780146114480.298,1889446076396.7656
2023-06-30,1740228409883.354,1970358699387.1855
2023-07-03,1885984611483.6057,1351713972461.6438
2023-07-05,1949156925015.9001,1523982771020.8647
2023-07-06,1984146009490.2434,1727385238424.4294
2023-07-07,2040994072136.2131,1569621573075.4695
2023-07-10,2054689738964.674,1961692421411.642
2023-07-11,2131887145685.6565,1935553868165.6123
2023-07-12,2170013299813.1008,1919518670919.4346
2023-07-13,2235808016356.5254,2015106880292.037
2023-07-14,2386264893511.0435,2044333601476.1794
2023-07-17,2377026743387.2495,1995862983720.5361
2023-07-18,2325407866973.1714,2036407335014.3027
2023-07-19,2288154153931.1475,2129994508154.2131
2023-07-20,2289770648087.0205,2179065319506.3374
2023-07-21,2144519038537.8887,2324387402098.7046
2023-07-24,2180632059822.6484,2050670911270.3198
2023-07-25,2174123982395.0627,1970621287721.536
2023-07-26,2204025369956.9937,2018745437899.163
2023-07-27,2145650646273.4043,2105924648434.2407
2023-07-28,2156386548321.73,2052829837701.8325
2023-07-31,2105842555193.6326,2073703138791.1658
2023-08-01,2112117357381.372,1999856493351.8242
2023-08-02,2040136206388.9558,2198535901493.7622
2023-08-03,2010042217288.0437,2162475321671.1963
2023-08-04,1909683191127.1877,2205104328577.63
2023-08-07,1897259221747.9187,2077806276273.941
2023-08-08,1856616659025.649,2059326752492.567
2023-08-09,1828424257422.0774,2066791610132.2566
2023-08-10,1822800398497.4214,2069629546397.574
2023-08-11,1877981004565.9404,1773488391786.1848
2023-08-14,1906859301607.95,1819393299224.255
2023-08-15,1899315995885.58,1902297091003.171
2023-08-16,1917649417899.6702,1876341395745.666
2023-08-17,1934537938761.0466,2043224624266.2473
2023-08-18,1907204115049.2148,2045988273061.8267
2023-08-21,1827623349901.1165,2022425549711.4524
2023-08-22,1857521691890.9001,1895702801999.7307
2023-08-23,1830594920400.141,1941056801369.078
2023-08-24,1847305021452.706,2106160930684.444
2023-08-25,1830610380362.0212,1927456228886.5269
2023-08-28,1889229302001.1804,1786881216762.4885
2023-08-29,1876536675397.6106,1783655475132.2383
2023-08-30,1919714447714.5254,1742560560637.496
2023-08-31,1839595450285.8982,1830107472603.8594
2023-09-01,1860761540475.9646,1836475308088.399
2023-09-05,1854857604883.832,1846953267702.6526
2023-09-06,1859854686218.9546,1893008968323.322
2023-09-07,1851860055658.3936,1894650730775.3396
2023-09-08,2213231696057.533,1765491211561.7776
2023-09-11,2175250962599.727,1782314841362.8933
2023-09-12,2151765484579.4792,1789261352846.3987
2023-09-13,2122321867314.1943,1733732573730.994
2023-09-14,2141380128901.4626,1861588129089.6365
2023-09-15,1792277620408.8582,1943951816704.4324
2023-09-18,1771248367228.9773,1776923315860.9824
2023-09-19,1789241416488.8503,1723365311191.373
2023-09-20,1837775600208.4067,1757737772691.9812
2023-09-21,1807367976449.7058,1961302996854.2993
2023-09-22,1843748264537.7146,1876635963551.8188
2023-09-25,1903073305253.4353,1775338686610.4714
2023-09-26,1927215997584.8013,1822137207137.8813
2023-09-27,1910439803710.1204,1893229800556.5515
2023-09-28,1886786346239.7412,1914464640794.2068
2023-09-29,1903432989860.2273,2053436654068.668
2023-10-02,1853703516956.5706,2024861483328.2512
2023-10-03,1839892132501.5776,1941917419990.0955
2023-10-04,1831251688846.8562,1977938305685.0662
2023-10-05,1865444132612.3667,1945275064957.244
2023-10-06,1830925045655.0076,2055510015348.0078
2023-10-09,1857868667009.1284,1841818549254.4773
2023-10-10,1899857311147.4229,1884737473404.133
2023-10-11,1926824638073.6318,1846162859434.7156
2023-10-12,1978618810344.3145,1925533638589.515
2023-10-13,2019695914490.6428,1925508451649.445
2023-10-16,2050469262959.0256,1912260981311.3723
2023-10-17,2020287253428.9458,2088127567948.4333
2023-10-18,2055008793637.4084,2069644867392.4084
2023-10-19,2068114422261.886,2111381391378.4902
2023-10-20,2050504421143.0261,2158892226036.935
2023-10-23,2051232360712.9124,2031669344545.1665
2023-10-24,2069428074755.395,1984994315682.806
2023-10-25,2080128909588.3386,2092459530263.596
2023-10-26,2087131376260.9727,2128377728740.7246
2023-10-27,2131911235555.359,2109248366770.3384
2023-10-30,2118469786046.8909,1984422094500.613
2023-10-31,2107625077335.4268,2032054602403.5142
2023-11-01,2036812859187.112,2124224387577.5896
2023-11-02,1980841892165.8745,2166266138834.7751
2023-11-03,1929683365758.8076,2134127572292.9646
2023-11-06,1901675713411.1707,2010505108502.3484
2023-11-07,1980166055314.6074,1936184209467.8398
2023-11-08,2066844945280.885,1918344741922.6936
2023-11-09,2072302859331.8135,2069291947584.6726
2023-11-10,2072487792519.2197,1977546198529.691
2023-11-13,2119393919468.1777,1795610783451.1187
2023-11-14,2023299174785.575,1894896442370.1882
2023-11-15,1922881499767.7405,1981622640619.2368
2023-11-16,1681211163814.9949,2019235287577.045
2023-11-17,1649584266770.845,2009278229499.7322
2023-11-20,1640153590667.9285,1964306800453.3225
2023-11-21,1700011542497.9106,1943252685023.5925
2023-11-22,1907736222677.7566,1858168855472.276
2023-11-24,2177609251078.9692,1211725395559.7349
2023-11-27,2255963364470.6733,1371692795911.4956
2023-11-28,2283320656660.165,1551208601740.1667
2023-11-29,2263778094961.7266,1534614467652.309
2023-11-30,2118068173949.2808,1976331201772.859
2023-12-01,2083348225614.418,2042409436380.35
2023-12-04,2082107371912.7998,2143345627566.3335
2023-12-05,2084315211316.995,2099656189008.7925
2023-12-06,2206331246090.3174,1974874959194.171
2023-12-07,2444371619050.296,2008436737064.6873
2023-12-08,2956004081951.661,2023987508724.5332
2023-12-11,2964056178146.722,2049746604526.6914
2023-12-12,2985051126853.739,2020782802027.1174
2023-12-13,2911772321886.384,2097129334084.189
2023-12-14,2642805715913.5083,2171388665569.584
2023-12-15,2056423882831.3906,2207953087315.066
2023-12-18,1884028118589.8694,2281714825521.8228
2023-12-19,1767317889853.5046,2225815213681.0728
2023-12-20,1603639439880.0896,2231443603296.79
2023-12-21,1558149472471.283,1961689676909.112
2023-12-22,1673256943549.202,1754462096974.4116
2023-12-26,1831000538267.445,1503863672963.6487
2023-12-27,1925202755391.8755,1516905756491.2092
2023-12-28,2019874401734.9346,1484975322087.0354
2023-12-29,2117731209408.9775,1546560521427.3105
2024-01-02,2082415069199.186,1748146497107.4937
2024-01-03,2046152256283.6565,1834737541966.9697
2024-01-04,2076573799920.0059,1982031051169.0295
2024-01-05,2064563469166.7324,1957773730762.863
2024-01-08,2086159133678.7944,2010543858561.1248
2024-01-09,2095531190601.4238,2019699870186.7932
2024-01-10,2164078435084.392,1992048709487.802
2024-01-11,2247746517467.2383,2022402035801.857
2024-01-12,2359057553350.6,1938634915119.074
2024-01-16,2319752285105.279,2038453378518.9375
2024-01-17,2403640467448.1724,2074944968414.3977
2024-01-18,2449788343124.9683,2130041553003.4258
2024-01-19,2346577555212.144,2196524534531.0227
2024-01-22,2292215049497.2563,2198355340246.9595
2024-01-23,2329125963303.541,2148129014946.042
2024-01-24,2383415145806.828,2209238815809.3525
2024-01-25,2369848127360.716,2264512023470.6665
2024-01-26,2489208922805.289,2075615562728.998
2024-01-29,2561319906703.817,2189832904056.3062
2024-01-30,2592109434417.546,2248122744506.2666
2024-01-31,2519139363135.9673,2224117683799.348
2024-02-01,2495332006656.0186,2306082612355.3184
2024-02-02,2418370501684.1597,2314014634301.191
2024-02-05,2392413964605.857,2314187284192.8364
2024-02-06,2442138796202.562,2332768485323.9243
2024-02-07,2436274924640.3584,2341499662477.3545
2024-02-08,2471720573275.8584,2335241666632.1045
2024-02-09,2518695909387.718,2286226099736.6997
2024-02-12,2564450866143.2935,2313046258336.3267
2024-02-13,2499737066365.7,2570346327243.1597
2024-02-14,2592694877504.532,2305587428733.3335
2024-02-15,2566720623603.256,2354943820558.2534
2024-02-16,2521082739114.618,2340067077226.7246
2024-02-20,2443429487638.961,2553593794013.1104
2024-02-21,2413430369144.365,2449718436770.0117
2024-02-22,2476660660876.949,2375841194563.905
2024-02-23,2520454356013.356,2347465054112.119
2024-02-26,2626832885052.2876,2299034864331.999
2024-02-27,2727468290460.513,2349418568430.884
2024-02-28,2829986555851.3076,2310341465223.2983
2024-02-29,2721020678251.271,2302534945650.318
2024-03-01,2797340116024.482,2283726802886.416
2024-03-04,2715726657279.136,2297312069228.83
2024-03-05,2668400151405.471,2316560331438.1685
2024-03-06,2622322485255.5347,2345458073223.759
2024-03-07,2645228571272.071,2337805462990.4014
2024-03-08,2945626860702.632,2337811068047.206
2024-03-11,2960231659222.159,2431991749914.3037
2024-03-12,2932726348867.066,2342910474923.796
2024-03-13,2913618133307.3037,2352003881765.376
2024-03-14,2885134901234.7485,2356442747009.5776
2024-03-15,2409399816328.9053,2354519510052.8315
2024-03-18,2339024539787.577,2357809354942.2925
2024-03-19,2315242679688.8813,2302391586292.038
2024-03-20,2296911425188.0327,2341266403276.2246
2024-03-21,2243079941649.6733,2338033492925.1562
2024-03-22,2233215226012.379,2208399845761.707
2024-03-25,2263611961255.8965,2189105680605.0554
2024-03-26,2248397822437.6045,2235346270892.604
2024-03-27,2288508903353.5405,2127047890114.5945
2024-03-28,2262347105408.4517,2209695922095.364
