date,actual,pred
2023-01-03,366421685444.583,281904989916.2485
2023-01-04,330694015191.7134,307879422459.6359
2023-01-05,372900825530.29346,327603673004.1822
2023-01-06,379258656525.76697,354286707282.502
2023-01-09,319662055561.93866,376063758429.8738
2023-01-10,363102449018.5793,334943546766.72253
2023-01-11,371471183726.68274,352067778688.05206
2023-01-12,335143083036.9447,353509354877.4065
2023-01-13,372705644118.1733,362078891607.14746
2023-01-17,377696913656.18256,363511042030.787
2023-01-18,353690639719.4868,373661150031.7165
2023-01-19,398266846428.50397,373394131349.1517
2023-01-20,392457607370.5275,390423838500.707
2023-01-23,330101358762.0445,397718726429.72675
2023-01-24,371412492435.28625,333357980037.57715
2023-01-25,382645171092.05817,369932200699.97345
2023-01-26,410508163087.6619,375199937850.4967
2023-01-27,369868410261.03375,411721601879.64575
2023-01-30,427563916821.5688,389117017996.62317
2023-01-31,485685314040.7866,415399838553.4889
2023-02-01,588627479445.1163,433230781307.5099
2023-02-02,483026786795.6452,466447626868.2207
2023-02-03,376365383209.54236,490842036294.3983
2023-02-06,443890058061.37213,413548665725.3995
2023-02-07,406686789217.9954,431886115300.95874
2023-02-08,428053576886.8182,432379013395.85596
2023-02-09,382054954188.8812,419424148330.59924
2023-02-10,351108250865.5791,396649928663.9427
2023-02-13,395856514186.7634,371334407670.9756
2023-02-14,377577733145.99835,388716942603.8894
2023-02-15,406058866197.0521,385797081432.8554
2023-02-16,407207461570.0421,422189666398.262
2023-02-17,389725040544.1023,414325280177.97974
2023-02-21,379194340269.70435,404954759037.00653
2023-02-22,392728869779.9461,392622650860.2409
2023-02-23,370088507805.55096,398939853543.7773
2023-02-24,342099676092.3339,396485226823.6926
2023-02-27,418649967705.6412,351506901637.1259
2023-02-28,374960263351.1346,398252678522.4405
2023-03-01,373349561815.3444,373519965015.44934
2023-03-02,379296746359.43994,369919250172.7835
2023-03-03,367357012667.58936,383290953488.4601
2023-03-06,366721436494.9701,383874368421.361
2023-03-07,332131518964.35345,374745625565.6502
2023-03-08,395503617764.96844,342986732134.231
2023-03-09,478873163574.44086,384496770359.2566
2023-03-10,517516864544.8864,404061426456.4305
2023-03-13,477211777690.7132,452745639658.1083
2023-03-14,506241243858.3554,441316457049.5311
2023-03-15,499765711145.5265,562839843847.3081
2023-03-16,736767547740.8927,511361961801.4335
2023-03-17,401372247143.5621,585188054059.5294
2023-03-20,407471737577.979,433499128316.03827
2023-03-21,399496411865.7385,415701635132.07446
2023-03-22,415992274114.36725,431229401029.2101
2023-03-23,368737972423.33923,417954036356.41077
2023-03-24,338649951438.5082,386489810584.98834
2023-03-27,311060236734.5674,360436936656.0931
2023-03-28,344422409331.61584,331614464158.1448
2023-03-29,334148886231.4185,343204625061.3466
2023-03-30,405579609139.4932,334297113745.4254
2023-03-31,380542201488.6286,385627585717.8016
2023-04-03,345338426792.674,371511667154.46686
2023-04-04,365504057339.88745,367172375474.81805
2023-04-05,324665287360.93774,365512029392.8664
2023-04-06,305261978440.9528,333646274266.6264
2023-04-10,314600661190.0587,309717028371.75055
2023-04-11,346698540344.98584,323468965803.66254
2023-04-12,343397019399.6878,357283380294.2317
2023-04-13,321543086644.9851,349524146321.55023
2023-04-14,323765524304.4371,328973931621.3428
2023-04-17,329342093954.9813,328453662342.45496
2023-04-18,321655900966.9133,331893426265.56793
2023-04-19,359083673812.0182,335246333007.6922
2023-04-20,341799295479.73816,360166118746.0659
2023-04-21,308541923314.3221,352272529526.56555
2023-04-24,364650739708.0753,321623204917.3563
2023-04-25,388884936085.2681,346857762683.62933
2023-04-26,411141942644.75867,373822742141.99225
2023-04-27,391510905371.1983,405988917564.7869
2023-04-28,336101252346.2915,383441280096.52313
2023-05-01,387849993116.19135,367785035120.47253
2023-05-02,393967374330.1714,387786026604.53577
2023-05-03,397441737369.9509,402682705450.3767
2023-05-04,374856868677.4047,414473887896.1184
2023-05-05,319146581382.3841,387918011182.57697
2023-05-08,316724243071.0545,351787693358.4867
2023-05-09,378302253595.03906,334013429267.31635
2023-05-10,349093345301.4786,360141972146.343
2023-05-11,320664348830.1723,370742462086.2134
2023-05-12,311244740242.1935,332398677646.3434
2023-05-15,337055611973.6547,326316759942.22046
2023-05-16,370903573859.34393,333815322560.2342
2023-05-17,403582932959.6633,367522149204.6033
2023-05-18,377556326980.8022,396133595413.069
2023-05-19,353223658897.0286,393950267467.04004
2023-05-22,385800653652.17096,382363955138.2668
2023-05-23,375066349430.4821,388119703218.7132
2023-05-24,471402980816.5732,393096798602.1494
2023-05-25,436538535855.5134,409386349637.1922
2023-05-26,452847548321.58044,411999339722.30115
2023-05-30,652108712129.3252,445790364905.4879
2023-05-31,437955780530.76666,500319736332.77234
2023-06-01,438497479723.33014,442768544695.58405
2023-06-02,391600579472.12134,430163373065.61145
2023-06-05,385580750719.22217,390289947306.671
2023-06-06,465187951538.7633,371108369173.2311
2023-06-07,387655410308.8996,400182747248.6203
2023-06-08,385230209268.5184,368933924291.6557
2023-06-09,396769390043.5354,376060578803.18494
2023-06-12,446786183543.5291,399925897169.3531
2023-06-13,479072364758.89545,395904996945.64777
2023-06-14,470394386244.52936,408054901823.0985
2023-06-15,711875143102.2666,428236225378.32263
2023-06-16,431038188442.35864,473192221838.78156
2023-06-20,424926620191.83936,430475418581.7449
2023-06-21,378714324723.52704,413094117556.4238
2023-06-22,574393624911.2495,372277516725.21704
2023-06-23,377772127918.3098,435237566862.836
2023-06-26,393146520748.6012,384483740070.70593
2023-06-27,394366647246.9637,380961330860.0611
2023-06-28,362299200403.84906,381071399397.7414
2023-06-29,424644385282.81836,357580852035.77527
2023-06-30,226697047712.38104,382781680530.00775
2023-07-03,371539449209.69653,255257104172.86154
2023-07-05,385544724253.70123,302697129185.44666
2023-07-06,371720508021.70337,323276010202.5588
2023-07-07,384726680685.8697,333066800739.7231
2023-07-10,372453249312.6318,374801233503.93915
2023-07-11,434711762741.99695,365987452247.24915
2023-07-12,420533808728.0416,378896914464.74927
2023-07-13,428568570667.67554,387499453457.40576
2023-07-14,398422347514.32935,404817842796.786
2023-07-17,449650656033.6139,398762150183.5447
2023-07-18,472837916869.4394,411917568592.9016
2023-07-19,486328525271.46606,441365942660.10156
2023-07-20,579025447822.1926,430072072677.4486
2023-07-21,389184197390.54175,481647605243.85205
2023-07-24,398031779619.5343,400480946874.94446
2023-07-25,435584203827.4178,391625196657.0405
2023-07-26,487945019427.3354,395826912044.74176
2023-07-27,433773838273.0596,417673474930.5752
2023-07-28,425297218675.30225,396226101746.52325
2023-07-31,391523702191.9463,418155451536.6507
