date,actual,pred
2023-01-03,366421685444.583,276463500000.0
2023-01-04,330694015191.7134,312598500000.0
2023-01-05,372900825530.29346,313123600000.0
2023-01-06,379258656525.76697,365029950000.0
2023-01-09,319662055561.93866,365678030000.0
2023-01-10,363102449018.5793,327867960000.0
2023-01-11,371471183726.68274,356433300000.0
2023-01-12,335143083036.9447,364714700000.0
2023-01-13,372705644118.1733,353249620000.0
2023-01-17,377696913656.18256,365484870000.0
2023-01-18,353690639719.4868,366144950000.0
2023-01-19,398266846428.50397,367888700000.0
2023-01-20,392457607370.5275,391225000000.0
2023-01-23,330101358762.0445,396795150000.0
2023-01-24,371412492435.28625,346433650000.0
2023-01-25,382645171092.05817,366910440000.0
2023-01-26,410508163087.6619,358588100000.0
2023-01-27,369868410261.03375,411851600000.0
2023-01-30,427563916821.5688,384184550000.0
2023-01-31,485685314040.7866,423627130000.0
2023-02-01,588627479445.1163,407685070000.0
2023-02-02,483026786795.6452,503715860000.0
2023-02-03,376365383209.54236,516580570000.0
2023-02-06,443890058061.37213,384357530000.0
2023-02-07,406686789217.9954,468591540000.0
2023-02-08,428053576886.8182,435052580000.0
2023-02-09,382054954188.8812,418124330000.0
2023-02-10,351108250865.5791,388918640000.0
2023-02-13,395856514186.7634,370804500000.0
2023-02-14,377577733145.99835,403066060000.0
2023-02-15,406058866197.0521,388524180000.0
2023-02-16,407207461570.0421,406106500000.0
2023-02-17,389725040544.1023,408979500000.0
2023-02-21,379194340269.70435,395837400000.0
2023-02-22,392728869779.9461,390339560000.0
2023-02-23,370088507805.55096,393394260000.0
2023-02-24,342099676092.3339,384758740000.0
2023-02-27,418649967705.6412,356289200000.0
2023-02-28,374960263351.1346,390828260000.0
2023-03-01,373349561815.3444,383909130000.0
2023-03-02,379296746359.43994,392903850000.0
2023-03-03,367357012667.58936,381546140000.0
2023-03-06,366721436494.9701,382382500000.0
2023-03-07,332131518964.35345,378502580000.0
2023-03-08,395503617764.96844,349461250000.0
2023-03-09,478873163574.44086,384392720000.0
2023-03-10,517516864544.8864,400028570000.0
2023-03-13,477211777690.7132,514012400000.0
2023-03-14,506241243858.3554,452794880000.0
2023-03-15,499765711145.5265,499976100000.0
2023-03-16,736767547740.8927,525171100000.0
2023-03-17,401372247143.5621,543053380000.0
2023-03-20,407471737577.979,440118740000.0
2023-03-21,399496411865.7385,407554460000.0
2023-03-22,415992274114.36725,445786850000.0
2023-03-23,368737972423.33923,421482500000.0
2023-03-24,338649951438.5082,392146200000.0
2023-03-27,311060236734.5674,365732430000.0
2023-03-28,344422409331.61584,336492430000.0
2023-03-29,334148886231.4185,344397220000.0
2023-03-30,405579609139.4932,347148680000.0
2023-03-31,380542201488.6286,377097400000.0
2023-04-03,345338426792.674,373494000000.0
2023-04-04,365504057339.88745,363418940000.0
2023-04-05,324665287360.93774,370507580000.0
2023-04-06,305261978440.9528,343700340000.0
2023-04-10,314600661190.0587,312421450000.0
2023-04-11,346698540344.98584,332056850000.0
2023-04-12,343397019399.6878,332565840000.0
2023-04-13,321543086644.9851,355910200000.0
2023-04-14,323765524304.4371,327144570000.0
2023-04-17,329342093954.9813,324051270000.0
2023-04-18,321655900966.9133,324284970000.0
2023-04-19,359083673812.0182,371371440000.0
2023-04-20,341799295479.73816,401409670000.0
2023-04-21,308541923314.3221,339800420000.0
2023-04-24,364650739708.0753,366524330000.0
2023-04-25,388884936085.2681,353585300000.0
2023-04-26,411141942644.75867,377416160000.0
2023-04-27,391510905371.1983,402897730000.0
2023-04-28,336101252346.2915,390648630000.0
2023-05-01,387849993116.19135,370051350000.0
2023-05-02,393967374330.1714,366561400000.0
2023-05-03,397441737369.9509,392618400000.0
2023-05-04,374856868677.4047,411454300000.0
2023-05-05,319146581382.3841,392787700000.0
2023-05-08,316724243071.0545,348557250000.0
2023-05-09,378302253595.03906,332141100000.0
2023-05-10,349093345301.4786,356927860000.0
2023-05-11,320664348830.1723,367982050000.0
2023-05-12,311244740242.1935,327749140000.0
2023-05-15,337055611973.6547,332253900000.0
2023-05-16,370903573859.34393,338764370000.0
2023-05-17,403582932959.6633,415371660000.0
2023-05-18,377556326980.8022,387397200000.0
2023-05-19,353223658897.0286,385502150000.0
2023-05-22,385800653652.17096,366067420000.0
2023-05-23,375066349430.4821,369616800000.0
2023-05-24,471402980816.5732,381756500000.0
2023-05-25,436538535855.5134,397689230000.0
2023-05-26,452847548321.58044,404940100000.0
2023-05-30,652108712129.3252,458062400000.0
2023-05-31,437955780530.76666,487287850000.0
2023-06-01,438497479723.33014,434262500000.0
2023-06-02,391600579472.12134,442321080000.0
2023-06-05,385580750719.22217,409895530000.0
2023-06-06,465187951538.7633,390659080000.0
2023-06-07,387655410308.8996,424139720000.0
2023-06-08,385230209268.5184,371562020000.0
2023-06-09,396769390043.5354,404930070000.0
2023-06-12,446786183543.5291,408094300000.0
2023-06-13,479072364758.89545,420802920000.0
2023-06-14,470394386244.52936,464123560000.0
2023-06-15,711875143102.2666,443963380000.0
2023-06-16,431038188442.35864,513470530000.0
2023-06-20,424926620191.83936,452358960000.0
2023-06-21,378714324723.52704,426312530000.0
2023-06-22,574393624911.2495,387116530000.0
2023-06-23,377772127918.3098,492027580000.0
2023-06-26,393146520748.6012,406649080000.0
2023-06-27,394366647246.9637,439100800000.0
2023-06-28,362299200403.84906,423367050000.0
2023-06-29,424644385282.81836,378017740000.0
2023-06-30,226697047712.38104,405584770000.0
2023-07-03,371539449209.69653,232919290000.0
2023-07-05,385544724253.70123,352762130000.0
2023-07-06,371720508021.70337,317088460000.0
2023-07-07,384726680685.8697,334504230000.0
2023-07-10,372453249312.6318,371157600000.0
2023-07-11,434711762741.99695,383266750000.0
2023-07-12,420533808728.0416,400981160000.0
2023-07-13,428568570667.67554,413823300000.0
2023-07-14,398422347514.32935,432981380000.0
2023-07-17,449650656033.6139,422798950000.0
2023-07-18,472837916869.4394,450639200000.0
2023-07-19,486328525271.46606,479851200000.0
2023-07-20,579025447822.1926,448418500000.0
2023-07-21,389184197390.54175,515528360000.0
2023-07-24,398031779619.5343,442675560000.0
2023-07-25,435584203827.4178,411451160000.0
2023-07-26,487945019427.3354,447611860000.0
2023-07-27,433773838273.0596,446291350000.0
2023-07-28,425297218675.30225,419828070000.0
2023-07-31,391523702191.9463,458768000000.0
2023-08-01,465485591389.3529,398060320000.0
2023-08-02,429570295743.74567,462268270000.0
2023-08-03,444509740321.3839,422441840000.0
2023-08-04,374753225547.20514,453326340000.0
2023-08-07,397798504379.6815,402850100000.0
2023-08-08,393504440396.93774,421347460000.0
2023-08-09,399476306642.8337,414407800000.0
2023-08-10,344150714160.52954,419307900000.0
2023-08-11,362329256167.9346,365133000000.0
2023-08-14,357155941657.4157,362444260000.0
2023-08-15,365312038793.36304,357184630000.0
2023-08-16,393852447718.17725,369817100000.0
2023-08-17,399331320229.05176,398241070000.0
2023-08-18,391207553209.93866,415763200000.0
2023-08-21,349612635935.0503,399940800000.0
2023-08-22,383645460807.44995,366238530000.0
2023-08-23,410740968579.55865,369616800000.0
2023-08-24,371997496517.21936,409694670000.0
2023-08-25,311626788061.8368,384184550000.0
2023-08-28,379510977924.8356,352468900000.0
2023-08-29,356718689316.6943,375713230000.0
2023-08-30,427451069632.1224,366564180000.0
2023-08-31,355302855426.5323,384829200000.0
2023-09-01,370245709700.9933,369416630000.0
2023-09-05,366818351321.268,380715240000.0
2023-09-06,399896461633.61066,390598720000.0
2023-09-07,347332072203.49133,400426270000.0
2023-09-08,376468945616.5986,364662520000.0
2023-09-11,364341774108.8636,370537270000.0
2023-09-12,371815432656.3913,366307000000.0
2023-09-13,391901831073.04504,369951100000.0
2023-09-14,708703712602.6359,386414250000.0
2023-09-15,338488212158.79193,376638080000.0
2023-09-18,340856296088.6158,330675880000.0
2023-09-19,342371815391.1078,356716200000.0
2023-09-20,410960092660.30756,282525040000.0
2023-09-21,359601204110.0307,382728370000.0
2023-09-22,317458958978.9116,369795920000.0
2023-09-25,358849345348.4908,331758700000.0
2023-09-26,390905999110.66693,359148680000.0
2023-09-27,380552468901.6064,373317370000.0
2023-09-28,395981492198.0412,378337260000.0
2023-09-29,376783999694.62885,407739500000.0
2023-10-02,382992037679.86127,390376800000.0
2023-10-03,374129805235.9813,376353720000.0
2023-10-04,356899011431.23065,383981620000.0
2023-10-05,412628135818.5249,366486600000.0
2023-10-06,327054526790.9746,390883400000.0
2023-10-09,369180653224.8631,347270550000.0
2023-10-10,365489361581.2605,370714000000.0
2023-10-11,391091455196.7395,367113440000.0
2023-10-12,378109048861.1663,377303900000.0
2023-10-13,353998148145.096,383394000000.0
2023-10-16,411169297363.1595,370711170000.0
2023-10-17,392456688507.46985,392205270000.0
2023-10-18,442885627467.4189,391316080000.0
2023-10-19,419186153007.4966,440252240000.0
2023-10-20,384771496613.4807,429732360000.0
2023-10-23,380987287833.08167,388338220000.0
2023-10-24,427178228715.9345,390337300000.0
2023-10-25,455991256091.8965,413019770000.0
2023-10-26,401576151888.6358,416148000000.0
2023-10-27,385499436183.3657,402764820000.0
2023-10-30,399183001875.5596,395668320000.0
2023-10-31,437879063548.8818,425067840000.0
2023-11-01,462993722764.52795,417619020000.0
2023-11-02,446356011183.0232,470568240000.0
2023-11-03,372057986674.89813,429452130000.0
2023-11-06,388338293164.09436,408554570000.0
2023-11-07,367066845400.5713,402237400000.0
2023-11-08,407022755743.2863,388025780000.0
2023-11-09,395197484775.9606,400939100000.0
2023-11-10,344050334327.257,407702180000.0
2023-11-13,466828635067.5311,371028750000.0
2023-11-14,453745735366.8487,424725020000.0
2023-11-15,412480669794.21277,399288370000.0
2023-11-16,395382417963.36646,475067420000.0
2023-11-17,390956461276.2159,415183140000.0
2023-11-20,370733890384.9325,413618140000.0
2023-11-21,353328060349.0106,387871100000.0
2023-11-22,170810333841.46683,369894700000.0
2023-11-24,363755520919.219,218253480000.0
2023-11-27,381525785173.2973,299403050000.0
2023-11-28,430591842214.91736,290353600000.0
2023-11-29,561052740528.8568,343441470000.0
2023-11-30,440683362242.67834,422647370000.0
2023-12-01,442109634310.9223,452100200000.0
2023-12-04,408883077362.7934,470115200000.0
2023-12-05,411049280516.4802,433223430000.0
2023-12-06,415342819516.4092,420848660000.0
2023-12-07,405963413907.81696,426369450000.0
2023-12-08,440868780609.2981,417420700000.0
2023-12-11,411090916766.99255,448860060000.0
