date,actual,pred
2023-01-03,8099883911274.946,7707198000000.0
2023-01-04,8216489012625.982,7848348600000.0
2023-01-05,8262160380643.825,7671427000000.0
2023-01-06,8333149613174.889,7857814600000.0
2023-01-09,8360577745867.116,7916831600000.0
2023-01-10,8468969267192.007,7706419000000.0
2023-01-11,8487921772362.319,7888012600000.0
2023-01-12,8467558839501.219,7905605000000.0
2023-01-13,8528272270651.024,7778009000000.0
2023-01-17,8533144359678.842,7888012600000.0
2023-01-18,8561506312219.71,7916831600000.0
2023-01-19,8615023134070.287,7483834000000.0
2023-01-20,8606481328185.884,7637279000000.0
2023-01-23,8593218061085.051,7612236000000.0
2023-01-24,8655845572102.946,7277888700000.0
2023-01-25,8654521587473.224,7406979400000.0
2023-01-26,8613976092473.502,7916831600000.0
2023-01-27,8622117897091.473,8215936000000.0
2023-01-30,8627209750181.582,8008625000000.0
2023-01-31,8572995395175.349,8293082000000.0
2023-02-01,8466606827494.018,8238925300000.0
2023-02-02,8245336360716.474,8640695600000.0
2023-02-03,8129031010415.793,8855073000000.0
2023-02-06,8084797146170.608,8174841000000.0
2023-02-07,8036410705874.217,9001797000000.0
2023-02-08,8108597080230.643,8678717500000.0
2023-02-09,8198060367888.714,8559875000000.0
2023-02-10,8293217191390.542,8329860500000.0
2023-02-13,8448350184383.345,8064482000000.0
2023-02-14,8552259381342.094,8287057600000.0
2023-02-15,8911449195937.002,8225908300000.0
2023-02-16,8906762576883.512,8434499000000.0
2023-02-17,8907026852891.45,8409584000000.0
2023-02-21,8916798224213.068,8359719700000.0
2023-02-22,8953596158057.738,8249665400000.0
2023-02-23,8929605260701.123,8459052000000.0
2023-02-24,8898166704334.088,8339828000000.0
2023-02-27,8867127264976.318,8023532600000.0
2023-02-28,8792899706602.288,8470354000000.0
2023-03-01,8752088329482.589,8305872700000.0
2023-03-02,8784318376806.74,8223351400000.0
2023-03-03,8785563831935.92,8197856300000.0
2023-03-06,8763545246061.002,8014264000000.0
2023-03-07,8762327866905.922,7999205700000.0
2023-03-08,8754861635302.509,7779745000000.0
2023-03-09,8664619995978.494,8093313000000.0
2023-03-10,8500347493594.11,8259773700000.0
2023-03-13,8329529169394.2,8490977300000.0
2023-03-14,8195714411103.186,9097577000000.0
2023-03-15,8011016253889.801,9203185000000.0
2023-03-16,7835016067048.71,9563357000000.0
2023-03-17,7427590613262.8125,10269557000000.0
2023-03-20,7347874267086.17,9320891000000.0
2023-03-21,7299486203320.197,9084330000000.0
2023-03-22,7241789086934.198,8844861000000.0
2023-03-23,7134338736134.156,8773402400000.0
2023-03-24,7130251503418.881,8694922000000.0
2023-03-27,7180486488065.648,8594705000000.0
2023-03-28,7280568193975.828,8584187300000.0
2023-03-29,7327656690015.436,8136868500000.0
2023-03-30,7329609056130.3,8133253500000.0
2023-03-31,7311879440106.99,8610178000000.0
2023-04-03,7325304612948.525,8343217000000.0
2023-04-04,7377407923525.817,8155280400000.0
2023-04-05,7386760734863.338,8296815700000.0
2023-04-06,7381242028884.785,8136868500000.0
2023-04-10,7392704293514.875,8136868500000.0
2023-04-11,7456405885919.867,7927575300000.0
2023-04-12,7458800690876.361,8047089000000.0
2023-04-13,7436068020306.84,7871721000000.0
2023-04-14,7425769673904.032,7815902000000.0
2023-04-17,7439059761573.263,7678366000000.0
2023-04-18,7480621241477.633,7681720500000.0
2023-04-19,7562548273470.363,7701467000000.0
2023-04-20,7581020926639.163,7908289400000.0
2023-04-21,7592445290056.44,7761456000000.0
2023-04-24,7669704020394.289,7653028000000.0
2023-04-25,7680119630116.693,7888012600000.0
2023-04-26,7762637674848.008,8028645500000.0
2023-04-27,7788034268058.771,8234291000000.0
2023-04-28,7849370911009.155,8217236600000.0
2023-05-01,8165378370792.168,7741231000000.0
2023-05-02,8215484158206.751,7826374000000.0
2023-05-03,8260014263599.913,8025139600000.0
2023-05-04,8254173105702.081,8040031500000.0
2023-05-05,8264896987743.909,7942286300000.0
2023-05-08,8410938357900.267,7716877000000.0
2023-05-09,8481869525138.125,7678366000000.0
2023-05-10,8488797480811.607,7876827000000.0
2023-05-11,8536473525553.659,7781407500000.0
2023-05-12,8662595360267.004,7698104000000.0
2023-05-15,8830422984783.71,7678366000000.0
2023-05-16,8963761759054.584,7733202400000.0
2023-05-17,9304733328297.52,7911744500000.0
2023-05-18,9332188583780.205,8128942000000.0
2023-05-19,9379558876991.248,7941740600000.0
2023-05-22,9405049542817.762,7768357500000.0
2023-05-23,9593642514076.826,7888012600000.0
2023-05-24,9596348292564.635,7916831600000.0
2023-05-25,9518091832496.693,8207713000000.0
