date,actual,pred
2023-01-03,1768937238254.2961,1359345600000.0
2023-01-04,1765618001828.293,1333775800000.0
2023-01-05,1806395170363.2634,1568900400000.0
2023-01-06,1768637427869.9138,1845012900000.0
2023-01-09,1762084415462.3208,1886562700000.0
2023-01-10,1820119273556.559,1730903400000.0
2023-01-11,1810707464257.466,1857845700000.0
2023-01-12,1837503126959.2876,1809675700000.0
2023-01-13,1894817651292.8752,1810204000000.0
2023-01-17,1852213365936.7478,1861545200000.0
2023-01-18,1845928944715.851,1885659700000.0
2023-01-19,1874883476088.4211,1843546000000.0
2023-01-20,1887124792747.576,1985315900000.0
2023-01-23,1864535595638.0881,1959056200000.0
2023-01-24,1961998153697.6091,1800184400000.0
2023-01-25,2076270975303.1125,1908662500000.0
2023-01-26,2282253283656.1675,1889789500000.0
2023-01-27,2354771907364.149,2007358500000.0
2023-01-30,2361268880312.657,1960203600000.0
2023-01-31,2377595021552.465,2062693700000.0
2023-02-01,2298596496729.671,2166018000000.0
2023-02-02,2138022594171.373,2295980400000.0
2023-02-03,2037050761564.6084,2377186300000.0
2023-02-06,2011793629220.6458,2087358400000.0
2023-02-07,1963760085346.04,2205367000000.0
2023-02-08,1934651029274.0386,2170070500000.0
2023-02-09,1912656318584.2734,2142727700000.0
2023-02-10,1937808825965.436,2034067800000.0
2023-02-13,1976425615643.9546,1878354800000.0
2023-02-14,1959763441726.9014,2025929000000.0
2023-02-15,1974914578360.8481,1930910800000.0
2023-02-16,1938944219969.346,1935006900000.0
2023-02-17,1873836434491.6353,2068189300000.0
2023-02-21,1902761361653.175,2005227000000.0
2023-02-22,1898527284734.61,1963515300000.0
2023-02-23,1879147976770.0088,1940776700000.0
2023-02-24,1888356215323.8953,1949818800000.0
2023-02-27,1913613551899.1501,1812211000000.0
2023-02-28,1861685020688.4792,2008009500000.0
2023-03-01,1818856276301.6978,1924917000000.0
2023-03-02,1841010332251.3198,1863111800000.0
2023-03-03,1940586749466.3225,1895514900000.0
2023-03-06,2090746601343.617,1909900700000.0
2023-03-07,2201236942539.362,1912715100000.0
2023-03-08,2375346667433.365,1793152500000.0
2023-03-09,2479608760813.9277,1996518000000.0
2023-03-10,2737503144980.38,2094273500000.0
2023-03-13,2621358527579.053,2316836500000.0
2023-03-14,2551618487466.315,2402090500000.0
2023-03-15,2444873655473.7007,2615134700000.0
2023-03-16,2361100218442.541,2588945000000.0
2023-03-17,1993070643124.987,2538139300000.0
2023-03-20,1930348347419.9324,2334455500000.0
2023-03-21,1833936846576.5222,2038732600000.0
2023-03-22,1778862844042.3982,2067089000000.0
2023-03-23,1697019456159.4475,2115709200000.0
2023-03-24,1733861092875.6057,1962863800000.0
2023-03-27,1775753342925.726,1809123500000.0
2023-03-28,1810031532983.834,1756797000000.0
2023-03-29,1831113180992.103,1759070300000.0
2023-03-30,1821629582121.624,1790141800000.0
2023-03-31,1721311951423.0808,1948684800000.0
2023-04-03,1655370411124.507,1888650800000.0
2023-04-04,1656730524676.8196,1812297400000.0
2023-04-05,1634623486736.6223,1883542500000.0
2023-04-06,1631501286020.6682,1758282000000.0
2023-04-10,1650004831884.1565,1718233000000.0
2023-04-11,1664746264649.0752,1759529900000.0
2023-04-12,1639703625271.0032,1830944800000.0
2023-04-13,1655390279683.3335,1781269300000.0
2023-04-14,1675646488518.0876,1745407700000.0
2023-04-17,1660422887527.9739,1816263100000.0
2023-04-18,1695731533281.0703,1838394900000.0
2023-04-19,1762960568399.425,1823330000000.0
2023-04-20,1815018837232.1628,1915785600000.0
2023-04-21,1864730447123.624,1851012200000.0
2023-04-24,1892289776155.5962,1742789700000.0
2023-04-25,1915489029563.707,1761326400000.0
2023-04-26,1920571467808.6074,1906592200000.0
2023-04-27,1906871262533.8008,1991923300000.0
2023-04-28,1890217225840.0122,1992816300000.0
2023-05-01,1873262554876.1045,1875408600000.0
2023-05-02,1802136804830.9648,1950529200000.0
2023-05-03,1786471684095.832,2003594600000.0
2023-05-04,1738123292027.361,1932211300000.0
2023-05-05,1683930772180.127,1893888700000.0
2023-05-08,1676028931039.9395,1819994500000.0
2023-05-09,1696360299942.5388,1784452200000.0
2023-05-10,1688961620206.8428,1879777600000.0
2023-05-11,1743451207865.0251,1874661100000.0
2023-05-12,1800343186015.656,1800630800000.0
2023-05-15,1842322104670.494,1773272600000.0
2023-05-16,1891067146349.0105,1835798400000.0
2023-05-17,1895229921920.145,1871178100000.0
2023-05-18,1963049969777.0552,1889130000000.0
2023-05-19,2022032178651.7695,1938727000000.0
2023-05-22,2121656068076.319,1870974700000.0
2023-05-23,2387964126553.4727,1963590300000.0
2023-05-24,2450853557653.7583,1926411800000.0
2023-05-25,2417948056560.5166,2053974100000.0
2023-05-26,2373010100177.12,2126365000000.0
2023-05-30,2305743302574.766,2248263600000.0
