date,total_sh_volume,total_dollar_volume,vix_close,target_volume
2004-01-02,3213291345.0,71773100953.6998,18.22,102617655495.5233
2004-01-05,4529997306.0,102617655495.5233,17.49,96439810562.3496
2004-01-06,4308224839.0,96439810562.3496,16.73,104191802326.78693
2004-01-07,4697460900.0,104191802326.78693,15.5,112087151785.23424
2004-01-08,5293303509.0,112087151785.23424,15.61,107420012331.6235
2004-01-09,4770807712.0,107420012331.6235,16.75,95780480569.69998
2004-01-12,4286809999.0,95780480569.69998,16.82,102242982534.4549
2004-01-13,4557797162.0,102242982534.4549,18.04,93921855529.5874
2004-01-14,4202375643.0,93921855529.5874,16.75,112092604543.6795
2004-01-15,4606945208.0,112092604543.6795,15.56,110382656890.21632
2004-01-16,5058902452.0,110382656890.21632,15.0,108445935683.8784
2004-01-20,4980387216.0,108445935683.8784,15.21,112551967630.42368
2004-01-21,4929565556.0,112551967630.42368,14.34,110595431646.13606
2004-01-22,4713406493.0,110595431646.13606,14.71,103823667293.16284
2004-01-23,4361591322.0,103823667293.16284,14.84,96224745774.34537
2004-01-26,3945427354.0,96224745774.34537,14.55,105254129839.19724
2004-01-27,4425628756.0,105254129839.19724,15.35,116942079268.02795
2004-01-28,4838757204.0,116942079268.02795,16.78,126034868874.4
2004-01-29,5258864359.0,126034868874.4,17.14,98283921155.90907
2004-01-30,4126700500.0,98283921155.90907,16.63,100735799907.5124
2004-02-02,4067243281.0,100735799907.5124,17.11,94394232567.55531
2004-02-03,3842992795.0,94394232567.55531,17.34,108339877247.45271
2004-02-04,4521470349.0,108339877247.45271,17.87,100131191928.2814
2004-02-05,4062883709.0,100131191928.2814,17.71,94704370563.1034
2004-02-06,3825733909.0,94704370563.1034,16.0,84608855412.37341
2004-02-09,3471101897.0,84608855412.37341,16.39,86986321802.82567
2004-02-10,3528945004.0,86986321802.82567,15.94,113328793802.13304
2004-02-11,4546551243.0,113328793802.13304,15.39,92361719042.55
2004-02-12,3943919559.0,92361719042.55,15.31,86847900647.80661
2004-02-13,3584611727.0,86847900647.80661,15.58,85228616512.4368
2004-02-17,3554673748.0,85228616512.4368,15.4,88752468615.46275
2004-02-18,3691287297.0,88752468615.46275,15.59,100039256556.6965
2004-02-19,4165426662.0,100039256556.6965,15.8,96469391196.19733
2004-02-20,3937231199.0,96469391196.19733,16.04,92996710087.5
2004-02-23,3872871860.0,92996710087.5,16.29,101086998477.0916
2004-02-24,4162113672.0,101086998477.0916,15.9,87762386697.44049
2004-02-25,3524203084.0,87762386697.44049,14.93,91700324521.90623
2004-02-26,3619073627.0,91700324521.90623,14.83,102095434012.94232
2004-02-27,3907591702.0,102095434012.94232,14.55,94972117274.1261
2004-03-01,3651411806.0,94972117274.1261,14.44,97406085689.89902
2004-03-02,3809115666.0,97406085689.89902,14.86,86107493804.21384
