date,sh_volume,vix_close,target_volume
2004-01-02,3213291345.0,18.22,4529997306.0
2004-01-05,4529997306.0,17.49,4308224839.0
2004-01-06,4308224839.0,16.73,4697460900.0
2004-01-07,4697460900.0,15.5,5293303509.0
2004-01-08,5293303509.0,15.61,4770807712.0
2004-01-09,4770807712.0,16.75,4286809999.0
2004-01-12,4286809999.0,16.82,4557797162.0
2004-01-13,4557797162.0,18.04,4202375643.0
2004-01-14,4202375643.0,16.75,4606945208.0
2004-01-15,4606945208.0,15.56,5058902452.0
2004-01-16,5058902452.0,15.0,4980387216.0
2004-01-20,4980387216.0,15.21,4929565556.0
2004-01-21,4929565556.0,14.34,4713406493.0
2004-01-22,4713406493.0,14.71,4361591322.0
2004-01-23,4361591322.0,14.84,3945427354.0
2004-01-26,3945427354.0,14.55,4425628756.0
2004-01-27,4425628756.0,15.35,4838757204.0
2004-01-28,4838757204.0,16.78,5258864359.0
2004-01-29,5258864359.0,17.14,4126700500.0
2004-01-30,4126700500.0,16.63,4067243281.0
2004-02-02,4067243281.0,17.11,3842992795.0
2004-02-03,3842992795.0,17.34,4521470349.0
2004-02-04,4521470349.0,17.87,4062883709.0
2004-02-05,4062883709.0,17.71,3825733909.0
2004-02-06,3825733909.0,16.0,3471101897.0
2004-02-09,3471101897.0,16.39,3528945004.0
2004-02-10,3528945004.0,15.94,4546551243.0
2004-02-11,4546551243.0,15.39,3943919559.0
2004-02-12,3943919559.0,15.31,3584611727.0
2004-02-13,3584611727.0,15.58,3554673748.0
2004-02-17,3554673748.0,15.4,3691287297.0
2004-02-18,3691287297.0,15.59,4165426662.0
2004-02-19,4165426662.0,15.8,3937231199.0
2004-02-20,3937231199.0,16.04,3872871860.0
2004-02-23,3872871860.0,16.29,4162113672.0
2004-02-24,4162113672.0,15.9,3524203084.0
2004-02-25,3524203084.0,14.93,3619073627.0
2004-02-26,3619073627.0,14.83,3907591702.0
2004-02-27,3907591702.0,14.55,3651411806.0
2004-03-01,3651411806.0,14.44,3809115666.0
2004-03-02,3809115666.0,14.86,3454364192.0
2004-03-03,3454364192.0,14.55,3457794052.0
2004-03-04,3457794052.0,14.4,3936849642.0
2004-03-05,3936849642.0,14.48,3766612963.0
2004-03-08,3766612963.0,15.79,4103058898.0
2004-03-09,4103058898.0,16.6,4357970916.0
2004-03-10,4357970916.0,18.67,4725840404.0
2004-03-11,4725840404.0,20.67,3558647066.0
2004-03-12,3558647066.0,18.3,3838148280.0
2004-03-15,3838148280.0,21.13,3963834719.0
2004-03-16,3963834719.0,20.34,3694909996.0
2004-03-17,3694909996.0,18.11,3477140630.0
2004-03-18,3477140630.0,18.53,3561723403.0
2004-03-19,3561723403.0,19.15,3967538307.0
2004-03-22,3967538307.0,21.58,3852424375.0
2004-03-23,3852424375.0,20.67,3860476140.0
2004-03-24,3860476140.0,19.81,4042977242.0
2004-03-25,4042977242.0,17.88,3392984811.0
2004-03-26,3392984811.0,17.33,3564397940.0
2004-03-29,3564397940.0,16.5,3388345741.0
2004-03-30,3388345741.0,16.28,3919926529.0
2004-03-31,3919926529.0,16.74,3863440184.0
2004-04-01,3863440184.0,16.65,4394734478.0
2004-04-02,4394734478.0,15.64,3641691137.0
2004-04-05,3641691137.0,14.97,3728185440.0
2004-04-06,3728185440.0,15.32,3761229765.0
2004-04-07,3761229765.0,15.76,3281114925.0
2004-04-08,3281114925.0,16.26,3012553640.0
2004-04-12,3012553640.0,15.28,3941077378.0
2004-04-13,3941077378.0,17.26,3863488897.0
2004-04-14,3863488897.0,15.62,4041209636.0
2004-04-15,4041209636.0,15.74,3807018221.0
2004-04-16,3807018221.0,14.94,3276481863.0
2004-04-19,3276481863.0,15.42,4037030099.0
2004-04-20,4037030099.0,16.67,4360651001.0
2004-04-21,4360651001.0,15.6,4557654509.0
2004-04-22,4557654509.0,14.61,3767621917.0
2004-04-23,3767621917.0,14.01,3418491270.0
2004-04-26,3418491270.0,14.77,3972688642.0
2004-04-27,3972688642.0,15.07,4611499328.0
2004-04-28,4611499328.0,16.29,5008719921.0
2004-04-29,5008719921.0,16.6,4345679961.0
2004-04-30,4345679961.0,17.19,4181581157.0
2004-05-03,4181581157.0,16.62,4043477751.0
2004-05-04,4043477751.0,16.55,3546827457.0
2004-05-05,3546827457.0,15.77,3728100028.0
2004-05-06,3728100028.0,17.05,3764522508.0
2004-05-07,3764522508.0,18.13,4425519813.0
2004-05-10,4425519813.0,19.77,3647480228.0
2004-05-11,3647480228.0,18.57,4136188700.0
2004-05-12,4136188700.0,18.14,3428596621.0
2004-05-13,3428596621.0,18.86,3338327776.0
2004-05-14,3338327776.0,18.47,3456450490.0
2004-05-17,3456450490.0,19.96,3259493362.0
2004-05-18,3259493362.0,19.33,3889312560.0
2004-05-19,3889312560.0,18.93,3115453410.0
2004-05-20,3115453410.0,18.67,3066224522.0
2004-05-21,3066224522.0,18.49,3017663275.0
2004-05-24,3017663275.0,18.08,3808089604.0
2004-05-25,3808089604.0,15.96,3429113997.0
2004-05-26,3429113997.0,15.97,3589308235.0
2004-05-27,3589308235.0,15.28,2738088619.0
