date,total_sh_volume,total_dollar_volume
2000-01-03,2693960527.0,145170335616.45953
2000-01-04,2735844583.0,138326453418.95105
2000-01-05,3057963361.0,167020492740.419
2000-01-06,2906863811.0,137717506990.42712
2000-01-07,3118736941.0,154711951197.88977
2000-01-10,3045530150.0,155467759759.41016
2000-01-11,2946214566.0,141186898161.25632
2000-01-12,2730198571.0,132078862254.80368
2000-01-13,2711438016.0,128666110556.0722
2000-01-14,2964148275.0,147311518006.17084
2000-01-18,2851221013.0,138788086909.30032
2000-01-19,2949194291.0,140645255633.2481
2000-01-20,3188945609.0,153841927173.90915
2000-01-21,3363846379.0,158697528824.64734
2000-01-24,3361409523.0,150862185300.1569
2000-01-25,3021438224.0,141072282048.03397
2000-01-26,3063352466.0,138875632045.67395
2000-01-27,3135840067.0,145950117634.9422
2000-01-28,2886751958.0,139613172015.3302
2000-01-31,2684984407.0,136627503759.80539
2000-02-01,2590222784.0,127923145153.47952
2000-02-02,2751571506.0,133220337562.52255
2000-02-03,3049162608.0,149615268118.1312
2000-02-04,3009442097.0,141074589135.67508
2000-02-07,2736200032.0,119974190165.2128
2000-02-08,3261299696.0,151100892135.25644
2000-02-09,3054417048.0,143709913200.6183
2000-02-10,3107970372.0,140025886208.7229
2000-02-11,2997848430.0,136947923664.56284
2000-02-14,2733260098.0,121693163091.76773
2000-02-15,3019883228.0,142306864419.06375
2000-02-16,3031391597.0,144566463306.02298
2000-02-17,3255478038.0,153840214909.68518
2000-02-18,3141601368.0,147228453391.40274
2000-02-22,2985997810.0,142737476926.7151
2000-02-23,3106656304.0,155540254083.3969
2000-02-24,3382082967.0,174759155728.31708
2000-02-25,3130116594.0,157810813299.92548
2000-02-28,3050279854.0,154016481056.75946
2000-02-29,3519347248.0,168264078472.46906
2000-03-01,3778113654.0,184094364197.4734
2000-03-02,3576959550.0,172635350451.00568
2000-03-03,3561038595.0,173371548419.18958
2000-03-06,3309487731.0,162026468340.21484
2000-03-07,3776352394.0,189253293980.20346
2000-03-08,3491647009.0,180250740559.24866
2000-03-09,3361624633.0,171327384028.65665
2000-03-10,3388081305.0,173458511094.92322
2000-03-13,2974363593.0,155451045472.61185
2000-03-14,3326470313.0,172179258254.70535
2000-03-15,3524808054.0,186388244654.83893
2000-03-16,3857660293.0,211227583710.5702
2000-03-17,3239966170.0,166152310362.49173
2000-03-20,2687676504.0,136589066265.30548
2000-03-21,3046359160.0,165882225190.0095
2000-03-22,3091553904.0,166303951377.3208
2000-03-23,2992889624.0,160624800729.15503
2000-03-24,2954603868.0,157289466759.5894
2000-03-27,2471651329.0,127222167654.89948
2000-03-28,2655063913.0,133467060407.60422
2000-03-29,3027790886.0,158517670988.86322
2000-03-30,3359512428.0,178338750084.49713
2000-03-31,3558166792.0,186572993074.0979
2000-04-03,3028436427.0,156665923186.62094
2000-04-04,4761620974.0,250903787179.77313
2000-04-05,3301803652.0,167961038757.85388
2000-04-06,2981078911.0,147556118776.30505
2000-04-07,2665021684.0,132836505875.70781
2000-04-10,2534086410.0,126970149954.91016
2000-04-11,2889485986.0,148069360523.8904
2000-04-12,3331732759.0,158574339903.51086
2000-04-13,3209924668.0,152144786860.34552
2000-04-14,4156049530.0,178027075682.9301
2000-04-17,3966771836.0,179549487812.04572
2000-04-18,3520858320.0,164473720028.78937
2000-04-19,2983572964.0,135925859332.8463
2000-04-20,2499168842.0,110084254235.60059
2000-04-24,2624850854.0,123723585442.11038
2000-04-25,2909090672.0,139284498853.3067
2000-04-26,2795036468.0,129205731104.95888
2000-04-27,2883475726.0,139155327093.81198
2000-04-28,2770105165.0,128137741461.93689
2000-05-01,2673270421.0,125944162773.32341
2000-05-02,2658732253.0,118631214260.23958
2000-05-03,2681468522.0,120675298559.7674
2000-05-04,2387987130.0,110482751998.52097
2000-05-05,2167238741.0,99888645382.9214
2000-05-08,2087000918.0,92775528062.45299
2000-05-09,2537905178.0,113010848486.9652
2000-05-10,2793642652.0,128573910572.18987
2000-05-11,2507114647.0,112401410361.16983
2000-05-12,2263593734.0,98098206350.16325
2000-05-15,2178210642.0,95703943910.90364
2000-05-16,2653467191.0,123142520650.9803
2000-05-17,2204937161.0,100568861232.86867
2000-05-18,2237996329.0,97828754933.92311
2000-05-19,2410090077.0,108899059389.44203
2000-05-22,2684459144.0,124795371338.99368
2000-05-23,2377946453.0,99735578653.35248
2000-05-24,3477697486.0,151919846027.89548
2000-05-25,2740175164.0,115922302274.55493
2000-05-26,1944899066.0,76319724963.70976
2000-05-30,2485525951.0,110371245455.29147
2000-05-31,2690058568.0,118347641544.03766
2000-06-01,2735563875.0,124931072929.76526
2000-06-02,3302956384.0,156585865050.6679
2000-06-05,2495565092.0,116476029293.30995
2000-06-06,2732604435.0,121059402251.80933
2000-06-07,2460954986.0,113379006157.71579
2000-06-08,2420765469.0,112661404109.30774
2000-06-09,2241580314.0,99333943893.54913
2000-06-12,2216604417.0,97324444198.90756
2000-06-13,2459966006.0,116629236365.67075
2000-06-14,2528097444.0,114432607166.97856
2000-06-15,2615797267.0,119185327597.16196
2000-06-16,2884445167.0,132132480208.86499
2000-06-19,2502758063.0,122760842426.86768
2000-06-20,2904597263.0,143413418608.18793
2000-06-21,2725395160.0,128102388152.68832
2000-06-22,2846506633.0,126806546640.602
2000-06-23,2408270004.0,107581060191.07352
2000-06-26,2399840153.0,110971867391.66333
2000-06-27,2703473676.0,116407819572.37875
2000-06-28,2935608757.0,126443090176.04498
2000-06-29,2901948380.0,128938170112.17447
2000-06-30,3763982758.0,159620585813.8544
2000-07-03,1267555815.0,55439361020.1261
2000-07-05,2549051417.0,115584557083.68091
2000-07-06,2634251194.0,123884157756.37389
2000-07-07,2621026132.0,119762487074.84494
2000-07-10,2404904777.0,115484114222.50002
2000-07-11,2886745048.0,130687987927.00793
2000-07-12,2983438457.0,136141404963.82765
2000-07-13,3142616546.0,154768400353.64398
2000-07-14,2832284463.0,136278710024.84566
2000-07-17,2687235386.0,129069894405.94443
2000-07-18,2600401662.0,122094512039.30386
2000-07-19,2549166946.0,122150334604.83722
2000-07-20,2988402852.0,153238623603.55804
2000-07-21,2688571025.0,131101552529.55165
2000-07-24,2539897728.0,126256404583.5761
2000-07-25,2638016787.0,125409035575.3346
2000-07-26,3199537080.0,167830839699.762
2000-07-27,3149494683.0,139534523013.27487
2000-07-28,2976698985.0,133491479391.30278
2000-07-31,2636437260.0,120230133381.0591
2000-08-01,2440246333.0,100625056378.21652
2000-08-02,2667373729.0,112705042824.58878
2000-08-03,3106972926.0,137322710813.67987
2000-08-04,2564051532.0,113324995621.12106
2000-08-07,2356654472.0,105215724387.94601
2000-08-08,2647290697.0,113389235529.00461
2000-08-09,2784333063.0,126253070859.06868
2000-08-10,2499450168.0,105846604125.91127
2000-08-11,2336354859.0,98570147808.04108
2000-08-14,2188304824.0,94018543132.54675
2000-08-15,2442324384.0,103334652690.72574
2000-08-16,2532722527.0,106723063806.70358
2000-08-17,2519940951.0,112145132528.03883
2000-08-18,2435071348.0,108757986678.97267
2000-08-21,2183352723.0,94839066426.13422
2000-08-22,2400166307.0,106127999408.60007
2000-08-23,2483835164.0,110774484819.49304
2000-08-24,2545325012.0,111794469967.47539
2000-08-25,2096900250.0,91204504541.0398
2000-08-28,2269854063.0,100379937348.33911
2000-08-29,2454980841.0,105321450390.79597
2000-08-30,2534698428.0,111663080315.39798
2000-08-31,3208108524.0,140581546974.71246
2000-09-01,2422294704.0,108685713044.39041
2000-09-05,2709236218.0,120503103362.88022
2000-09-06,2978618824.0,136075971631.27982
2000-09-07,2811894053.0,128151239547.14719
2000-09-08,2695562891.0,120206472572.68335
2000-09-11,2572477707.0,120568463908.562
2000-09-12,2779840974.0,127831200547.4335
2000-09-13,2966092745.0,142022656123.37354
2000-09-14,2920476495.0,133297883914.3258
2000-09-15,3213949071.0,144329604597.38214
2000-09-18,2783268166.0,124955433207.07236
2000-09-19,2908460468.0,134172449517.28532
2000-09-20,3129625027.0,145039452694.45758
2000-09-21,2925817292.0,125461955886.49677
2000-09-22,3584075887.0,168566233065.66925
2000-09-25,2960937368.0,135111014184.34882
2000-09-26,3146896559.0,137790056295.04285
2000-09-27,3342870477.0,145797043812.33447
2000-09-28,3437800481.0,153595476538.8922
2000-09-29,3385304876.0,136408011523.962
2000-10-02,3040804983.0,133662488748.50708
2000-10-03,3258202687.0,139780860352.27435
2000-10-04,3535638491.0,157689051766.74515
2000-10-05,3274727074.0,134579378287.43036
2000-10-06,3263635855.0,131380234934.82072
2000-10-09,2317314039.0,98365892584.34486
2000-10-10,3130524960.0,133841508973.8386
2000-10-11,4026613762.0,168555877361.6838
2000-10-12,3819083528.0,153382368800.50638
2000-10-13,3577283463.0,146741027532.5549
2000-10-16,3010777732.0,130227948862.24423
2000-10-17,3385933204.0,135783227511.90695
2000-10-18,4197783220.0,170984714992.23038
2000-10-19,3900542474.0,165732929353.3274
2000-10-20,3590378356.0,150991287810.85046
2000-10-23,2938861957.0,126886638308.12
2000-10-24,3303399620.0,136748104306.72157
2000-10-25,3770207322.0,171221822847.17307
2000-10-26,3884463971.0,180388395163.41064
2000-10-27,3306105312.0,145470534918.25238
2000-10-30,3171957089.0,131272142597.27258
2000-10-31,3779440921.0,155622553782.4463
2000-11-01,3472943386.0,141694466218.0492
2000-11-02,3606133081.0,139392894471.50366
2000-11-03,3061136727.0,124939838179.6064
2000-11-06,2744817175.0,110632669474.49948
2000-11-07,2778104734.0,120226048445.18579
2000-11-08,2775435381.0,120261960092.09982
2000-11-09,3289000983.0,141052250994.20132
2000-11-10,2934330903.0,113777887285.55997
2000-11-13,3446978955.0,140066763011.06586
2000-11-14,3141359782.0,127249916766.3438
2000-11-15,2998155121.0,121692472535.06987
2000-11-16,2674691087.0,100942054861.52792
2000-11-17,3058513339.0,123572704009.67535
2000-11-20,2894745882.0,111187893328.74927
2000-11-21,3134853487.0,116063583344.26462
2000-11-22,3088767513.0,110164898235.34508
2000-11-24,1312987288.0,47576298525.102036
2000-11-27,2848398907.0,103083483044.11407
2000-11-28,3189851821.0,112488595064.37991
2000-11-29,3463536324.0,124245458330.21405
2000-11-30,4617868960.0,161713986680.55804
2000-12-01,3678594482.0,129049751478.45856
2000-12-04,3204459680.0,112929343341.65575
2000-12-05,4222818254.0,161984608993.07355
2000-12-06,4003661345.0,148735329014.12128
2000-12-07,3116686414.0,110132217072.72186
2000-12-08,4016145212.0,152898225314.6188
2000-12-11,3952368561.0,151569039488.78125
2000-12-12,3282740960.0,119183132483.9424
2000-12-13,3499785433.0,126846839181.34235
2000-12-14,3066836864.0,111309343581.92856
2000-12-15,4672074050.0,176899845755.31372
2000-12-18,3507175865.0,119796549158.4092
2000-12-19,3972376741.0,134074682286.59746
2000-12-20,4698268467.0,144528251637.87067
2000-12-21,4499514141.0,134242947662.92236
2000-12-22,3615402894.0,112505806018.86523
2000-12-26,2596222178.0,75266408309.36055
2000-12-27,3340590908.0,96893157990.94911
2000-12-28,3502667295.0,96652548150.54028
2000-12-29,3933002392.0,103623480739.85599
2001-01-02,3347788090.0,110528164342.98734
2001-01-03,5478233075.0,205588829032.04297
2001-01-04,5102790130.0,178853296510.59418
2001-01-05,3829796594.0,130996010619.86029
2001-01-08,3205644621.0,108792793068.47365
2001-01-09,3474317891.0,115284882155.80249
2001-01-10,4081538507.0,141591974135.2378
2001-01-11,4539700118.0,151063345259.23477
2001-01-12,4085897074.0,135487352189.32588
2001-01-16,3524537827.0,110520074042.59534
2001-01-17,4459450130.0,151743240286.8104
2001-01-18,4247123542.0,153516405035.29752
2001-01-19,4439413479.0,160829446526.49078
2001-01-22,3462703353.0,124410097594.14447
2001-01-23,3799735686.0,140510329768.0031
2001-01-24,4145079649.0,153406383814.88937
2001-01-25,3848595808.0,136972574403.86653
2001-01-26,3606327283.0,130841943927.69641
2001-01-29,3218762287.0,112108959155.07913
2001-01-30,3476070074.0,120918879229.38016
2001-01-31,3948208738.0,140047245312.06964
2001-02-01,3133363364.0,115015691932.33862
2001-02-02,2983057001.0,106002150561.63617
2001-02-05,2855972278.0,102651334534.97821
2001-02-06,3079973553.0,108953856278.36115
2001-02-07,3477562837.0,126909951164.03839
2001-02-08,3204060235.0,111402307344.44312
2001-02-09,3202730242.0,107033515838.388
2001-02-12,3015932615.0,106948798205.46304
2001-02-13,3054962690.0,104306042511.7107
2001-02-14,3369944916.0,117719604238.06393
2001-02-15,3539581792.0,124124596761.66696
2001-02-16,3426818397.0,114372701882.66016
2001-02-20,3243563365.0,104761747735.4162
2001-02-21,3511684856.0,112183998153.8532
2001-02-22,4169822819.0,135949401439.60367
2001-02-23,3788475479.0,123193921511.67929
2001-02-26,3240547477.0,107625244991.40973
2001-02-27,3172130828.0,101666541027.08456
2001-02-28,3575037302.0,112420870700.18207
2001-03-01,3849439692.0,122211272533.15567
2001-03-02,3942021265.0,118779099526.92136
2001-03-05,2629619896.0,80284840529.8165
2001-03-06,3323183901.0,101583455219.65883
2001-03-07,3161512196.0,100339682254.21234
2001-03-08,3127368046.0,96537016841.94775
2001-03-09,3351381415.0,97657668455.88113
2001-03-12,3688381246.0,104443650499.18668
2001-03-13,3765943023.0,111606853982.01299
2001-03-14,3848936741.0,113636114868.98013
2001-03-15,3466319872.0,97531732663.11646
2001-03-16,4004689665.0,115106096412.0316
2001-03-19,3154124630.0,89651634826.6271
2001-03-20,3605462161.0,100034132537.40219
2001-03-21,3750488372.0,104696284770.49171
2001-03-22,4658883502.0,136948409790.8888
2001-03-23,4116568351.0,115469518405.72571
2001-03-26,3177173386.0,88726592883.23834
2001-03-27,3567649158.0,107332854518.36221
2001-03-28,3665068390.0,97683727264.49219
2001-03-29,3597981452.0,96415971235.28334
2001-03-30,3690719577.0,98077022878.54141
2001-04-02,3345181790.0,87399469769.63197
2001-04-03,4264985967.0,97995378283.01573
2001-04-04,4292077595.0,102801583222.63889
2001-04-05,3998426419.0,104177255994.95001
2001-04-06,3392911308.0,90523178976.92735
2001-04-09,2684745051.0,70678550097.99754
2001-04-10,3893721675.0,108348939067.28519
2001-04-11,3982335133.0,111171890149.89801
2001-04-12,3262585065.0,94381904688.939
2001-04-16,2721059946.0,76714620322.25519
2001-04-17,3315589225.0,94216161229.2237
2001-04-18,5564253037.0,168835253639.5927
2001-04-19,4624046257.0,143219260686.2955
2001-04-20,4166179976.0,126441071787.3502
2001-04-23,3106674041.0,89628769553.87851
2001-04-24,3508840380.0,101453009290.07901
2001-04-25,3437397655.0,101709892296.535
2001-04-26,3604213521.0,107063879342.29749
2001-04-27,3144709372.0,94161779509.6842
2001-04-30,3563589651.0,105969151304.6053
2001-05-01,3367635430.0,103349510224.586
2001-05-02,4259760597.0,125596429956.4719
2001-05-03,3388727205.0,97599160573.906
2001-05-04,3378599328.0,103121883226.1967
2001-05-07,2913109462.0,84876810276.15149
2001-05-08,3153047312.0,92273766594.93729
2001-05-09,3144510192.0,93866966124.4375
2001-05-10,3049066227.0,90439252299.518
2001-05-11,2540274890.0,74132635216.0659
2001-05-14,2401022220.0,69207950524.6768
2001-05-15,3023846479.0,88940376759.86389
2001-05-16,3775275690.0,117828610768.5446
2001-05-17,3818391839.0,120421871671.51529
2001-05-18,3133184928.0,93229911242.0204
2001-05-21,3830218769.0,118179026623.994
2001-05-22,3887841439.0,117338236085.7442
2001-05-23,3301381747.0,100206091001.3754
2001-05-24,3234451636.0,99284141989.6767
2001-05-25,2392894053.0,67149399278.4935
2001-05-29,2914136363.0,83320900289.6979
2001-05-30,3444183920.0,99675290036.70999
2001-05-31,3250706187.0,92977603918.4594
2001-06-01,2803281849.0,83185580685.5954
2001-06-04,2349717288.0,68306009878.364
2001-06-05,3237816471.0,98669088298.78601
2001-06-06,3104271508.0,93928990665.9969
2001-06-07,3032352790.0,93646839123.6765
2001-06-08,2375127891.0,68008604542.1737
2001-06-11,2478457539.0,72235515609.25299
2001-06-12,3138790659.0,92961705006.8642
2001-06-13,2857316875.0,83011356216.318
2001-06-14,3308161401.0,93581580208.53369
2001-06-15,3995433040.0,114870089012.7556
2001-06-18,2938498675.0,76027575976.07849
2001-06-19,3443323770.0,89857528439.47299
2001-06-20,3790085396.0,102381479922.3862
2001-06-21,3954803625.0,109454563866.5971
2001-06-22,3236241894.0,87342199793.883
2001-06-25,2738329222.0,74826107706.15625
2001-06-26,3103572039.0,86844315277.7508
2001-06-27,3130472965.0,87183485937.2294
2001-06-28,3575218765.0,104014741719.1233
2001-06-29,4616425577.0,123158878324.6264
2001-07-02,2856795356.0,81279403133.1585
2001-07-03,1623109293.0,47143271035.196
2001-07-05,2424724589.0,67628073613.8125
2001-07-06,2712670784.0,74875905621.3511
2001-07-09,2697275054.0,76060966882.6792
2001-07-10,3162946648.0,87593191278.0289
2001-07-11,3439924375.0,97314302748.23221
2001-07-12,3556881811.0,103033805993.6575
2001-07-13,2912357477.0,82248948280.92801
2001-07-16,2781550309.0,79118547141.0839
2001-07-17,3180986559.0,93078306292.9432
2001-07-18,3300999133.0,96613560104.4534
2001-07-19,3536825946.0,100718462307.4597
2001-07-20,3040266019.0,83647801206.4742
2001-07-23,2565005205.0,70663833928.445
2001-07-24,3087759896.0,83394553768.14145
2001-07-25,3196078690.0,87782111385.02899
2001-07-26,3268270431.0,89270291912.2197
2001-07-27,2829543914.0,75416354687.9514
2001-07-30,2460856200.0,66098193869.9973
2001-07-31,3010117748.0,82777160278.6286
2001-08-01,3395355640.0,89173062085.25964
2001-08-02,3207872436.0,86387640788.42648
2001-08-03,2420912854.0,64170270431.71682
2001-08-06,2122136525.0,56848449170.394104
2001-08-07,2515191575.0,65859633803.66789
2001-08-08,3044610912.0,78514500462.92145
2001-08-09,2820671319.0,73054430362.4778
2001-08-10,2566590320.0,66578414697.9149
2001-08-13,2186168148.0,59290594994.310196
2001-08-14,2417761350.0,65393120785.99971
2001-08-15,2762593326.0,72969328186.57816
2001-08-16,2926119349.0,75910705591.8566
2001-08-17,2500473772.0,64329325945.2184
2001-08-20,2250754249.0,58212655646.4557
2001-08-21,2598033339.0,67902752346.82541
2001-08-22,2909155306.0,77063783096.8526
2001-08-23,2673389617.0,68454204186.8165
2001-08-24,2815312352.0,73844839808.64569
2001-08-27,2265839954.0,59056151020.3636
2001-08-28,2658811136.0,67024846481.3968
2001-08-29,2667086281.0,67426933219.67709
2001-08-30,3176389665.0,79763408372.03781
2001-08-31,2376836406.0,61654567322.945816
2001-09-04,2987305854.0,75931982802.5751
2001-09-05,3643450060.0,91076918234.38611
2001-09-06,3520810849.0,86500248207.5909
2001-09-07,3480274982.0,87438890600.1879
2001-09-10,3147777033.0,78686537509.4749
2001-09-17,5049630430.0,122333889605.20401
2001-09-18,3890805652.0,90841656267.51251
2001-09-19,5043116246.0,116563545423.1716
2001-09-20,4405720032.0,99780721294.75351
2001-09-21,5372351407.0,119474507948.88591
2001-09-24,4177561835.0,93069544084.7827
2001-09-25,4167432718.0,89880913107.40619
2001-09-26,3609193922.0,78380115705.1375
2001-09-27,3806941627.0,80834547896.38571
2001-09-28,4085709889.0,90703440749.4951
2001-10-01,2920471199.0,66796815355.4835
2001-10-02,3342334112.0,72621263899.17981
2001-10-03,4770675554.0,106371113449.2308
2001-10-04,4538306957.0,100635614829.43991
2001-10-05,3471356609.0,77638362893.10129
2001-10-08,2653998175.0,61218093533.21001
2001-10-09,3019504653.0,67162023876.4035
2001-10-10,3482363938.0,78680421324.25461
2001-10-11,4637118526.0,108432937298.21371
2001-10-12,3857799624.0,89336003611.7349
2001-10-15,2894812522.0,67835649122.0358
2001-10-16,3373982411.0,80059680158.7716
2001-10-17,4142493134.0,95499225010.7089
2001-10-18,3401271549.0,81608032029.91
2001-10-19,3151153915.0,76880807286.3728
2001-10-22,2903676778.0,71522789831.6293
2001-10-23,3501356681.0,84956597514.0563
2001-10-24,3548378092.0,86816110704.5597
2001-10-25,4001309686.0,97348825132.3199
2001-10-26,3523801791.0,85521953589.387
2001-10-29,3109223329.0,74361516957.8589
2001-10-30,3449951989.0,80717560762.44229
2001-10-31,3576534637.0,82098179245.1865
2001-11-01,3425678191.0,85220370120.1273
2001-11-02,3032579846.0,73091468903.49509
2001-11-05,3213703390.0,78425919403.84656
2001-11-06,3678526977.0,90071998777.92398
2001-11-07,3871890265.0,92174968510.9461
2001-11-08,4217817407.0,101163369735.4892
2001-11-09,2913185072.0,70931166909.0179
2001-11-12,2908882536.0,70860701081.17029
2001-11-13,3915741969.0,93225796303.3072
2001-11-14,3993888720.0,97635985886.99231
2001-11-15,3891912709.0,94448698716.3701
2001-11-16,3397239157.0,82663166795.21451
2001-11-19,3592995695.0,85161510987.29114
2001-11-20,3685344568.0,84940267995.4148
2001-11-21,2887984114.0,67948968456.61367
2001-11-23,1103180883.0,26246814644.048103
2001-11-26,3148108875.0,78612970527.3334
2001-11-27,3816790511.0,96433778017.29727
2001-11-28,3807316040.0,85776271413.91516
2001-11-29,3749075732.0,88175827156.6803
2001-11-30,3586520082.0,85250812166.34421
2001-12-03,3077044238.0,74716200093.08151
2001-12-04,3695699539.0,87243308152.55121
2001-12-05,5132459586.0,129181993209.6975
2001-12-06,4121546431.0,104969290025.51608
2001-12-07,3553924027.0,87339336950.9426
2001-12-10,3222116944.0,78975113223.83011
2001-12-11,3696054659.0,91863246163.2227
2001-12-12,3727315871.0,94841595752.61569
2001-12-13,3964285457.0,98090731649.08151
2001-12-14,3536897582.0,89455577536.1529
2001-12-17,3441710518.0,87218151766.021
2001-12-18,3558130531.0,89327798841.38629
2001-12-19,3768859656.0,94144359056.8768
2001-12-20,3877600901.0,94047862941.70938
2001-12-21,4579218240.0,113394041654.18323
2001-12-24,1154754254.0,26687371584.8583
2001-12-26,2186299288.0,51210563635.151505
2001-12-27,2387958962.0,55969312641.535904
2001-12-28,2576997599.0,60442801865.3448
2001-12-31,2708461411.0,61728530355.8131
2002-01-02,3030181039.0,80873724033.63208
2002-01-03,4018526858.0,103698457302.48654
2002-01-04,4143648374.0,107441929868.38828
2002-01-07,3872723378.0,93622132614.8635
2002-01-08,3462834599.0,88308513941.40979
2002-01-09,4183524278.0,104620182936.09732
2002-01-10,3417978212.0,87545200548.23344
2002-01-11,3159162794.0,81602771457.9796
2002-01-14,3381052556.0,85293462392.49677
2002-01-15,3389315850.0,91835599697.36676
2002-01-16,3805591357.0,94616662836.2762
2002-01-17,3623770243.0,93339535849.46655
2002-01-18,3359989747.0,89187156391.7494
2002-01-22,3529743662.0,85033107145.5719
2002-01-23,3707640787.0,94884110287.5361
2002-01-24,3807844396.0,100880319117.27972
2002-01-25,3326420736.0,86151533458.6124
2002-01-28,2981058622.0,77419958212.7762
2002-01-29,4282703179.0,107331798879.10867
2002-01-30,4608625709.0,121467570624.5974
2002-01-31,3733258636.0,98436843237.55002
2002-02-01,3420819623.0,86609901006.4288
2002-02-04,3619129600.0,86915374657.5175
2002-02-05,4329190032.0,99164314127.1734
2002-02-06,4236216968.0,97882021282.2625
2002-02-07,3836799135.0,91938461458.57129
