date,actual,pred
2023-01-03,366421685444.583,268080966588.0739
2023-01-04,330694015191.7134,307436464049.1153
2023-01-05,372900825530.29346,337068957773.9257
2023-01-06,379258656525.76697,363567634367.16766
2023-01-09,319662055561.93866,357606820541.0646
2023-01-10,363102449018.5793,339035495217.40704
2023-01-11,371471183726.68274,352849941888.12775
2023-01-12,335143083036.9447,352593269972.8566
2023-01-13,372705644118.1733,379432240907.679
2023-01-17,377696913656.18256,371165446649.4909
2023-01-18,353690639719.4868,360628629169.6938
2023-01-19,398266846428.50397,381891022408.121
2023-01-20,392457607370.5275,390095121988.4185
2023-01-23,330101358762.0445,401272533693.59564
2023-01-24,371412492435.28625,326998403562.8864
2023-01-25,382645171092.05817,371484983685.29803
2023-01-26,410508163087.6619,350477358766.48114
2023-01-27,369868410261.03375,406779028626.18744
2023-01-30,427563916821.5688,375824668840.65796
2023-01-31,485685314040.7866,415780959455.5378
2023-02-01,588627479445.1163,423479123462.83154
2023-02-02,483026786795.6452,484111436221.51044
2023-02-03,376365383209.54236,507204932992.6439
2023-02-06,443890058061.37213,397325958357.6314
2023-02-07,406686789217.9954,438553959146.0533
2023-02-08,428053576886.8182,440391884252.8768
2023-02-09,382054954188.8812,412640707402.49054
2023-02-10,351108250865.5791,400793434560.7605
2023-02-13,395856514186.7634,373274115946.5878
2023-02-14,377577733145.99835,388053509189.7642
2023-02-15,406058866197.0521,399216778518.3699
2023-02-16,407207461570.0421,427008292200.88293
2023-02-17,389725040544.1023,426000536434.61743
2023-02-21,379194340269.70435,389324593691.1599
2023-02-22,392728869779.9461,395550800213.2161
2023-02-23,370088507805.55096,402578759226.6733
2023-02-24,342099676092.3339,388688473883.6277
2023-02-27,418649967705.6412,356513420678.3699
2023-02-28,374960263351.1346,394683356770.12573
2023-03-01,373349561815.3444,387479615440.20667
2023-03-02,379296746359.43994,378268290356.36273
2023-03-03,367357012667.58936,374984023720.7051
2023-03-06,366721436494.9701,379257041188.9502
2023-03-07,332131518964.35345,376674053823.96594
2023-03-08,395503617764.96844,356100585994.0617
2023-03-09,478873163574.44086,374878149463.63666
2023-03-10,517516864544.8864,390976936198.50806
2023-03-13,477211777690.7132,470472222363.2193
2023-03-14,506241243858.3554,445338772818.3843
2023-03-15,499765711145.5265,517374255455.1606
2023-03-16,736767547740.8927,517721672259.0495
2023-03-17,401372247143.5621,554565232672.656
2023-03-20,407471737577.979,420496532130.49536
2023-03-21,399496411865.7385,424361741533.084
2023-03-22,415992274114.36725,432447923929.24585
2023-03-23,368737972423.33923,425696507713.1836
2023-03-24,338649951438.5082,399671233367.22455
2023-03-27,311060236734.5674,365401962684.9688
2023-03-28,344422409331.61584,335491859540.2286
2023-03-29,334148886231.4185,350951869417.62695
2023-03-30,405579609139.4932,333928614466.85284
2023-03-31,380542201488.6286,383867469226.13354
2023-04-03,345338426792.674,359546988680.4699
2023-04-04,365504057339.88745,368147659926.9209
2023-04-05,324665287360.93774,363874066800.33856
2023-04-06,305261978440.9528,342307959412.6196
2023-04-10,314600661190.0587,305654055274.0996
2023-04-11,346698540344.98584,340719993824.7134
2023-04-12,343397019399.6878,362922720619.43225
2023-04-13,321543086644.9851,355991425336.20245
2023-04-14,323765524304.4371,328981642620.17584
2023-04-17,329342093954.9813,318601924652.26184
2023-04-18,321655900966.9133,317226157789.50476
2023-04-19,359083673812.0182,340992675214.8216
2023-04-20,341799295479.73816,368163686366.5738
2023-04-21,308541923314.3221,343799195186.66797
2023-04-24,364650739708.0753,318967553618.8604
2023-04-25,388884936085.2681,349446095122.26154
2023-04-26,411141942644.75867,362971578191.61224
2023-04-27,391510905371.1983,402784439268.18616
2023-04-28,336101252346.2915,382808678679.7824
2023-05-01,387849993116.19135,354672016360.0195
2023-05-02,393967374330.1714,371094912041.5498
2023-05-03,397441737369.9509,385892134172.4714
2023-05-04,374856868677.4047,413675800413.7323
2023-05-05,319146581382.3841,393865312983.8327
2023-05-08,316724243071.0545,347151009641.5698
2023-05-09,378302253595.03906,333829571683.4961
2023-05-10,349093345301.4786,351208529003.2087
2023-05-11,320664348830.1723,363268456717.1416
2023-05-12,311244740242.1935,327495680224.47327
2023-05-15,337055611973.6547,328572672340.40375
2023-05-16,370903573859.34393,341647896073.0362
2023-05-17,403582932959.6633,373300932161.84155
2023-05-18,377556326980.8022,384453403565.532
2023-05-19,353223658897.0286,390029194798.66016
2023-05-22,385800653652.17096,378622881799.6315
2023-05-23,375066349430.4821,373720029690.11316
2023-05-24,471402980816.5732,391065949858.5349
2023-05-25,436538535855.5134,405720821465.3309
2023-05-26,452847548321.58044,406042781215.2447
2023-05-30,652108712129.3252,442748495363.0954
2023-05-31,437955780530.76666,507878536458.60516
2023-06-01,438497479723.33014,433689853531.87775
2023-06-02,391600579472.12134,449688529055.68396
2023-06-05,385580750719.22217,400068938874.8137
2023-06-06,465187951538.7633,387491904748.3363
2023-06-07,387655410308.8996,421839465125.52386
2023-06-08,385230209268.5184,386101993870.2002
2023-06-09,396769390043.5354,400906277738.514
2023-06-12,446786183543.5291,401415239456.86993
2023-06-13,479072364758.89545,418167641126.9041
2023-06-14,470394386244.52936,442437445641.72186
2023-06-15,711875143102.2666,449601470138.0271
2023-06-16,431038188442.35864,515767484178.3642
2023-06-20,424926620191.83936,450804436508.6288
2023-06-21,378714324723.52704,439695918254.965
2023-06-22,574393624911.2495,397599908150.85657
2023-06-23,377772127918.3098,477461034516.5131
